osmid,oneway,lanes,highway,maxspeed,reversed,length,ref,name,geometry,junction,width,bridge
679443924,False,1,residential,50,True,66.025,,,"LINESTRING (24.2386118 44.973662, 24.239076 44.9741567)",,,
266380480,False,2,secondary,50,False,65.854,DJ646,Strada Bistriței,"LINESTRING (24.2386118 44.973662, 24.2385232 44.9737787, 24.238472 44.9738284, 24.238391 44.9738734, 24.2382714 44.9739157, 24.2379623 44.9739896)",,,
229284160,False,,residential,RO:urban,False,70.493,,Strada Parcului,"LINESTRING (24.2352104 44.9754395, 24.2354435 44.9753431, 24.2360014 44.975142)",,,
1031907806,False,2,secondary,50,False,64.46300000000001,DJ646,Strada Dragoș Vrânceanu,"LINESTRING (24.2352104 44.9754395, 24.2351085 44.9755459, 24.2349821 44.975658, 24.2348471 44.9757578, 24.2346606 44.9758645)",,,
1031907806,False,2,secondary,50,True,90.424,DJ646,Strada Dragoș Vrânceanu,"LINESTRING (24.2352104 44.9754395, 24.2353364 44.9750556, 24.2353787 44.9749266, 24.2354198 44.9747965, 24.2354502 44.9747267, 24.2354882 44.974651)",,,
229282694,False,2,secondary,50,False,63.187000000000005,,Strada Dragoș Vrânceanu,"LINESTRING (24.2355075 44.9745058, 24.2354521 44.9743781, 24.2353556 44.9741353, 24.2353234 44.9740398, 24.2353019 44.9739569)",,,
229282704,True,,secondary,30,False,10.471,,,"LINESTRING (24.2355075 44.9745058, 24.2355437 44.9745084, 24.2355764 44.9745195, 24.2356018 44.9745379, 24.235613 44.974553)",roundabout,,
229282694,False,2,secondary,50,False,270.22400000000005,,Strada Dragoș Vrânceanu,"LINESTRING (24.2353019 44.9739569, 24.2352984 44.9739102, 24.235302 44.9738636, 24.2353127 44.9738203, 24.2353176 44.9738046, 24.2353717 44.9736305, 24.2354376 44.9734451, 24.2354629 44.9733345, 24.2354667 44.9732484, 24.2354636 44.973167, 24.235436 44.9729778, 24.2354159 44.9728723, 24.2353896 44.9727625, 24.2353556 44.972678, 24.2353096 44.9725814, 24.2352697 44.972511, 24.2352107 44.972434, 24.2351735 44.9723922, 24.2351332 44.972357, 24.2350819 44.9723177, 24.23505 44.9722974, 24.2350337 44.9722871, 24.2347117 44.9720972, 24.2346239 44.9720474, 24.2345454 44.9719976, 24.2345014 44.9719662, 24.2344543 44.9719228, 24.2344186 44.9718829, 24.2343953 44.9718431, 24.2343814 44.9718122)",,,
229282694,False,2,secondary,50,True,63.187000000000005,,Strada Dragoș Vrânceanu,"LINESTRING (24.2353019 44.9739569, 24.2353234 44.9740398, 24.2353556 44.9741353, 24.2354521 44.9743781, 24.2355075 44.9745058)",,,
476034418,False,2,residential,RO:urban,True,108.477,,Strada Unirii,"LINESTRING (24.2353019 44.9739569, 24.2351175 44.9739114, 24.2345096 44.9737089, 24.2344081 44.9736771, 24.2340434 44.9735595)",,,
229284164,False,1,residential,50,False,204.576,,Strada Iacobești,"LINESTRING (24.2328782 44.9757191, 24.2330865 44.975297, 24.2331679 44.975143, 24.2332563 44.9750088, 24.2334601 44.9747318, 24.2334709 44.9746938, 24.2334628 44.9746521, 24.2334333 44.9745914, 24.2329558 44.974068)",,,
676459125,False,2,tertiary,50,False,21.947,DC129,Strada Ungureni,"LINESTRING (24.2328782 44.9757191, 24.2330082 44.9757819, 24.2331058 44.9758332)",,,
676459125,False,2,tertiary,50,True,144.29600000000002,DC129,Strada Ungureni,"LINESTRING (24.2328782 44.9757191, 24.2321157 44.9754426, 24.2313545 44.9751787, 24.2313052 44.9751612, 24.2312364 44.9751406)",,,
229282704,True,,secondary,30,False,4.344,,,"LINESTRING (24.235613 44.974553, 24.2356179 44.9745659, 24.2356199 44.9745782, 24.2356186 44.9745915)",roundabout,,
266380480,False,2,secondary,50,True,195.13,DJ646,Strada Bistriței,"LINESTRING (24.235613 44.974553, 24.2357626 44.9745171, 24.2379623 44.9739896)",,,
229282704,True,,secondary,30,False,22.941,,,"LINESTRING (24.2354882 44.974651, 24.2354553 44.9746401, 24.2354296 44.9746219, 24.2354144 44.9745986, 24.2354109 44.9745772, 24.2354151 44.9745599, 24.2354256 44.9745417, 24.2354494 44.9745223, 24.2354811 44.9745097, 24.2355075 44.9745058)",roundabout,,
1031907806,False,2,secondary,50,False,90.424,DJ646,Strada Dragoș Vrânceanu,"LINESTRING (24.2354882 44.974651, 24.2354502 44.9747267, 24.2354198 44.9747965, 24.2353787 44.9749266, 24.2353364 44.9750556, 24.2352104 44.9754395)",,,
229282702,True,2,tertiary_link,50,False,36.791,DC129,Strada Ungureni,"LINESTRING (24.2329946 44.9761227, 24.2330637 44.9760853, 24.2331116 44.9760378, 24.2331405 44.9759732, 24.2331376 44.9759111, 24.2331058 44.9758332)",,,
229282707,False,2,secondary,50,False,266.776,DJ646,Strada Petrolului,"LINESTRING (24.2329946 44.9761227, 24.2329438 44.9761492, 24.2322651 44.9765416, 24.2321868 44.9765809, 24.2321043 44.9766091, 24.2320321 44.9766222, 24.23195 44.9766272, 24.2318483 44.9766191, 24.230188 44.976408, 24.2300277 44.9763955, 24.2298711 44.976401)",,,
1031907806,False,2,secondary,50,True,41.313,DJ646,Strada Dragoș Vrânceanu,"LINESTRING (24.2329946 44.9761227, 24.2330968 44.9760944, 24.2332096 44.9760802, 24.2333134 44.976075, 24.2335101 44.9760698)",,,
476034411,False,2,tertiary,50,True,41.274,DC129,Strada Ungureni,"LINESTRING (24.2335101 44.9760698, 24.2331058 44.9758332)",,,
1031907806,False,2,secondary,50,False,41.313,DJ646,Strada Dragoș Vrânceanu,"LINESTRING (24.2335101 44.9760698, 24.2333134 44.976075, 24.2332096 44.9760802, 24.2330968 44.9760944, 24.2329946 44.9761227)",,,
