osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,name,ref,bridge
225473087,residential,30,roundabout,True,False,6.739,"LINESTRING (23.2805182 46.3799877, 23.2805164 46.3800079, 23.2805053 46.3800265, 23.2804859 46.3800417)",,,,
225473665,residential,50,,False,True,151.41899999999998,"LINESTRING (23.2847262 46.3819447, 23.2847463 46.3817818, 23.2847704 46.3816541, 23.2848053 46.3815339, 23.284816 46.3814525, 23.2848026 46.3813785, 23.284765 46.3812582, 23.2846792 46.3809473, 23.2846198 46.3807704, 23.2845644 46.3806053)",2,Strada Uzinei,,
250586369,tertiary,50,,False,False,126.69,"LINESTRING (23.2847262 46.3819447, 23.2846377 46.3819048, 23.2844379 46.3818059, 23.2842984 46.3817421, 23.2840703 46.3816421, 23.2838639 46.381557, 23.2833094 46.3813628)",2,Strada Republicii,DC1,
250586369,tertiary,50,,False,True,121.482,"LINESTRING (23.2847262 46.3819447, 23.2848723 46.3820058, 23.2850762 46.3820733, 23.2851929 46.3820992, 23.2852961 46.3821093, 23.2853873 46.3821112, 23.2855268 46.3820982, 23.2857454 46.3820529, 23.2860739 46.3819854, 23.2862296 46.3819724)",2,Strada Republicii,DC1,
"[225473085, 225473078, 250586382]",tertiary,50,,False,True,130.42399999999998,"LINESTRING (23.2812592 46.3819328, 23.2813332 46.3818423, 23.2814069 46.3817522, 23.281482 46.3816467, 23.2815864 46.3814367, 23.28171 46.3811323, 23.2817678 46.3809874, 23.2818196 46.380918, 23.2818866 46.3808508)",2,Calea Turzii,DC1,yes
225473086,residential,50,,True,False,11.267000000000001,"LINESTRING (23.2804591 46.3799363, 23.280499 46.3799333, 23.2805473 46.3799287, 23.2806049 46.3799241)",,Strada 22 Decembrie 1989,,
225473087,residential,30,roundabout,True,False,7.668,"LINESTRING (23.2804591 46.3799363, 23.2804813 46.3799443, 23.2804994 46.3799561, 23.2805121 46.379971, 23.2805182 46.3799877)",,,,
250586380,residential,50,,False,True,10.641,"LINESTRING (23.2806049 46.3799241, 23.2806732 46.3799244, 23.2807433 46.379929)",2,Strada 22 Decembrie 1989,,
443254103,residential,50,,True,False,9.866,"LINESTRING (23.2806049 46.3799241, 23.280566 46.3799416, 23.2805379 46.3799676, 23.2805182 46.3799877)",,Strada 22 Decembrie 1989,,
124336325,residential,50,,False,True,158.82,"LINESTRING (23.2802714 46.379954, 23.2802053 46.3799648, 23.2801436 46.379974, 23.2800604 46.3800018, 23.2799397 46.3800425, 23.2797252 46.3800999, 23.2794569 46.3801628, 23.2791565 46.3802294, 23.2788132 46.3803052, 23.2784672 46.3803811, 23.2783114 46.3804064)",2,Strada Valea Hărmănesei,,
225473084,residential,50,,True,False,8.414,"LINESTRING (23.2802714 46.379954, 23.2803067 46.3799552, 23.2803434 46.3799509, 23.2803791 46.3799439)",,Strada Valea Hărmănesei,,
250567118,residential,50,,False,False,101.472,"LINESTRING (23.2802714 46.379954, 23.2802302 46.3798896, 23.280232 46.379448, 23.2808124 46.3794594)",,Piața Băii,,
225473083,residential,RO:urban,,False,False,124.40199999999999,"LINESTRING (23.2792746 46.3788712, 23.2793631 46.3788749, 23.2795374 46.3788749, 23.2797198 46.3788527, 23.279878 46.3788175, 23.280047 46.3787713, 23.280165 46.3787528, 23.2802884 46.3787435, 23.2804494 46.3787509, 23.2806532 46.3787713, 23.2807873 46.3787898, 23.2808597 46.3788064)",2,Strada Moților,,
250567117,residential,50,,False,True,97.788,"LINESTRING (23.2792746 46.3788712, 23.2792105 46.3789374, 23.2790925 46.3790114, 23.2788082 46.3791372, 23.2784488 46.3792631, 23.2783844 46.3792705, 23.2781913 46.3792816)",,Strada Moților,,
250586375,residential,50,,False,False,73.316,"LINESTRING (23.2792746 46.3788712, 23.2792427 46.3788338, 23.279189 46.3787894, 23.2790871 46.3787783, 23.2789906 46.3787894, 23.2789155 46.3788116, 23.2784595 46.3789929)",,Strada Moților,,
250586368,residential,50,,False,False,4.595,"LINESTRING (23.2829519 46.3777387, 23.2829605 46.3777796)",2,Strada Minerilor,,
225473082,residential,50,,False,True,151.416,"LINESTRING (23.2829519 46.3777387, 23.2829143 46.3776943, 23.2828499 46.377624, 23.2826461 46.377302, 23.2825388 46.3770911, 23.2824476 46.3769837, 23.2823189 46.3768616, 23.2821633 46.3767247, 23.282056 46.3766543, 23.2819165 46.3766247)",2,Strada Bazinelor,,
250567107,residential,50,,False,False,100.512,"LINESTRING (23.2829519 46.3777387, 23.2829978 46.3776939, 23.2830579 46.3776494, 23.2831713 46.3776084, 23.2832575 46.3775887, 23.2834269 46.3775903, 23.2835986 46.3776125, 23.2838185 46.3776236, 23.283958 46.3776014, 23.2840492 46.3775718, 23.2841511 46.3775348)",,Strada Minerilor,,
225473087,residential,30,roundabout,True,False,6.414000000000001,"LINESTRING (23.2803791 46.3799439, 23.2803976 46.3799371, 23.2804178 46.3799335, 23.2804387 46.3799332, 23.2804591 46.3799363)",,,,
225473083,residential,RO:urban,,False,True,124.40200000000002,"LINESTRING (23.2808597 46.3788064, 23.2807873 46.3787898, 23.2806532 46.3787713, 23.2804494 46.3787509, 23.2802884 46.3787435, 23.280165 46.3787528, 23.280047 46.3787713, 23.279878 46.3788175, 23.2797198 46.3788527, 23.2795374 46.3788749, 23.2793631 46.3788749, 23.2792746 46.3788712)",2,Strada Moților,,
225475017,residential,RO:urban,,False,False,72.761,"LINESTRING (23.2808597 46.3788064, 23.2808651 46.378873, 23.2808597 46.3790063, 23.2808436 46.3791562, 23.2808222 46.3793356, 23.2808124 46.3794594)",2,,,
225475017,residential,RO:urban,,False,True,235.64200000000005,"LINESTRING (23.2808597 46.3788064, 23.280849 46.3787009, 23.2808276 46.3785899, 23.2807739 46.3784678, 23.2807042 46.3783383, 23.2806237 46.3782457, 23.280554 46.3781791, 23.2804681 46.3781273, 23.2803555 46.3780644, 23.280275 46.3780274, 23.2801999 46.377983, 23.2801409 46.3779201, 23.2800819 46.377846, 23.2799371 46.3776943, 23.2798405 46.377624, 23.2797278 46.3775315, 23.2796259 46.3774426, 23.2795401 46.3773575, 23.2794489 46.3772539, 23.279347 46.377191, 23.2792719 46.3771355, 23.279186 46.3771096)",2,,,
250586369,tertiary,50,,False,False,123.27999999999999,"LINESTRING (23.2833094 46.3813628, 23.2831852 46.3813063, 23.2828928 46.381199, 23.2826353 46.3810991, 23.2824181 46.3810158, 23.2821848 46.3809437, 23.2820131 46.3808844, 23.2818866 46.3808508)",2,Strada Republicii,DC1,
