osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,bridge
269579331,True,2,Strada Dealului,residential,50,False,248.91200000000003,"LINESTRING (25.347388 46.9255808, 25.3473834 46.9262176, 25.3473888 46.9263503, 25.347432 46.9265051, 25.3475183 46.9266377, 25.3476154 46.9267372, 25.3478529 46.9269252, 25.3482468 46.92722, 25.3485831 46.9274242, 25.3486838 46.9274853)",,,
272994110,False,2,Strada Ștefan cel Mare,trunk,50,False,33.912,"LINESTRING (25.347388 46.9255808, 25.3471968 46.9256444, 25.3469936 46.9257235)",DN15,,
272994110,False,2,Strada Ștefan cel Mare,trunk,50,True,123.931,"LINESTRING (25.347388 46.9255808, 25.347559 46.925534, 25.3479089 46.9254605, 25.3482194 46.9254007, 25.3485581 46.925333, 25.3488082 46.9252784, 25.3489439 46.9252464)",DN15,,
272994110,False,2,Strada Ștefan cel Mare,trunk,50,False,12.482,"LINESTRING (25.3490937 46.9252002, 25.3489439 46.9252464)",DN15,,
272994110,False,2,Strada Ștefan cel Mare,trunk,50,True,189.513,"LINESTRING (25.3490937 46.9252002, 25.3492242 46.9251468, 25.3493566 46.9250734, 25.3494741 46.9249949, 25.3495687 46.9249278, 25.3497161 46.9248243, 25.3498929 46.9247218, 25.3500095 46.9246667, 25.3500741 46.9246405, 25.3501765 46.9246048, 25.3503245 46.9245698, 25.3504854 46.924546, 25.3506437 46.9245295, 25.3508452 46.924511, 25.3509628 46.9244984, 25.3510701 46.9244856, 25.351248 46.924453)",DN15,,
5184048,True,2,Strada Nicolae Bălcescu,trunk,50,False,184.406,"LINESTRING (25.3526572 46.9240755, 25.35276 46.924172, 25.3528825 46.9242546, 25.35304 46.9243347, 25.3532421 46.9244087, 25.3533469 46.9244443, 25.3538591 46.924615, 25.3547297 46.9249051)",DN15,,
876302987,True,2,,trunk,30,False,24.285999999999998,"LINESTRING (25.3526572 46.9240755, 25.3526679 46.924111, 25.3526647 46.9241473, 25.3526479 46.9241817, 25.3526186 46.924212, 25.3525788 46.924236, 25.3525298 46.9242517)",DN15,roundabout,
"[271081880, 271081894, 269534150]",False,2,"['Strada Nicolae Bălcescu', 'Strada Ștefan cel Mare']",trunk,50,False,51.201,"LINESTRING (25.3518543 46.9242525, 25.3517404 46.9242881, 25.3515789 46.924335, 25.3513145 46.9244325, 25.3512835 46.9244427, 25.351248 46.924453)",DN15,,yes
713321613,True,2,Strada Nicolae Bălcescu,trunk,30,False,38.887,"LINESTRING (25.3518543 46.9242525, 25.3521787 46.9241064, 25.3522818 46.92406)",DN15,,
267650903,False,,Strada Cerbului,residential,RO:urban,True,47.639,"LINESTRING (25.351248 46.924453, 25.3515917 46.9248114)",,,
