osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,access,bridge,ref
24453025,2,Strada Slătinioara,residential,50,False,False,101.825,"LINESTRING (23.3777425 45.4109138, 23.3765801 45.4109678, 23.376441 45.4109751)",,,
24453025,2,Strada Slătinioara,residential,50,False,True,23.86,"LINESTRING (23.3777425 45.4109138, 23.3778971 45.4109337, 23.378027 45.4109842)",,,
215105826,1,Strada Rovine,residential,50,False,False,74.375,"LINESTRING (23.3777425 45.4109138, 23.3777405 45.410864, 23.3777259 45.4108002, 23.3776884 45.4107231, 23.3776213 45.4106289, 23.3775006 45.4104839, 23.3773638 45.4103088)",,,
24453025,2,Strada Slătinioara,residential,50,False,True,101.825,"LINESTRING (23.376441 45.4109751, 23.3765801 45.4109678, 23.3777425 45.4109138)",,,
1118432950,4,Strada 1 Decembrie 1918,secondary,50,False,False,75.152,"LINESTRING (23.376441 45.4109751, 23.3764188 45.4110477, 23.3763866 45.4111136, 23.3763256 45.4112198, 23.3760859 45.4116018)",,,
"[197252798, 239716911]",2,"['Strada Avram Iancu', 'Aleea Florilor']",residential,50,False,False,191.623,"LINESTRING (23.3718253 45.4133126, 23.3722536 45.4126429, 23.3726082 45.4121001, 23.3726416 45.4120439, 23.372482 45.4119913, 23.3722143 45.4119036)",,,
202530143,2,Strada Ion Creangă,tertiary,50,False,True,47.88199999999999,"LINESTRING (23.3718253 45.4133126, 23.3716821 45.4132652, 23.371515 45.4132099, 23.3713664 45.4131607, 23.3712705 45.4131289)",,,
202530144,4,Strada Avram Iancu,tertiary,50,False,True,168.50400000000002,"LINESTRING (23.3718253 45.4133126, 23.3717731 45.4133928, 23.3714596 45.4138748, 23.3709634 45.4146383, 23.3709287 45.4146911)",,,
202530144,4,Strada Avram Iancu,tertiary,50,False,False,152.61599999999999,"LINESTRING (23.3701267 45.4159428, 23.3701853 45.4158474, 23.370213 45.4158022, 23.3702438 45.4157521, 23.3702737 45.4157051, 23.3703802 45.4155428, 23.3705502 45.4152763, 23.3709287 45.4146911)",,,
"[217697761, 217697762]",2,Strada Carol Schreter,tertiary,50,False,True,98.436,"LINESTRING (23.3701267 45.4159428, 23.370072 45.4160364, 23.3700537 45.4160657, 23.3700191 45.4161267, 23.3697413 45.4165795, 23.3697043 45.416637, 23.369627 45.4167555)",yes,yes,
819545807,4,Strada Nicolae Bălcescu,residential,50,False,True,111.97300000000001,"LINESTRING (23.3701267 45.4159428, 23.3702854 45.4159924, 23.3703247 45.4160047, 23.3714371 45.4163526)",,,
25350739,2,Strada Avram Iancu,residential,50,True,False,73.152,"LINESTRING (23.3709287 45.4146911, 23.370827 45.4146593, 23.3700725 45.4144236)",,,
202530144,4,Strada Avram Iancu,tertiary,50,False,False,168.504,"LINESTRING (23.3709287 45.4146911, 23.3709634 45.4146383, 23.3714596 45.4138748, 23.3717731 45.4133928, 23.3718253 45.4133126)",,,
202530144,4,Strada Avram Iancu,tertiary,50,False,True,152.61599999999999,"LINESTRING (23.3709287 45.4146911, 23.3705502 45.4152763, 23.3703802 45.4155428, 23.3702737 45.4157051, 23.3702438 45.4157521, 23.370213 45.4158022, 23.3701853 45.4158474, 23.3701267 45.4159428)",,,
27046663,,Aleea Trandafirilor,residential,50,True,False,154.937,"LINESTRING (23.370021 45.4144075, 23.3698833 45.4146301, 23.3696573 45.4149954, 23.3693749 45.4154517, 23.3692113 45.4156793)",,,
217519475,2,Aleea Trandafirilor,residential,50,True,False,75.024,"LINESTRING (23.370021 45.4144075, 23.3696001 45.4142694, 23.3694193 45.414213, 23.3691448 45.4141303)",,,
"[202530146, 32974420]",2,"['Strada Nicolae Bălcescu', 'Strada 9 Mai']",residential,"['50', 'RO:urban']",False,False,232.832,"LINESTRING (23.3692113 45.4156793, 23.3687739 45.4155299, 23.3687629 45.4155262, 23.3682872 45.4153638, 23.3691448 45.4141303)",,,
32974420,2,Strada 9 Mai,residential,50,False,False,140.803,"LINESTRING (23.3691448 45.4141303, 23.3698435 45.4130921, 23.3699139 45.4129849)",,,
"[202530146, 32974420]",2,"['Strada Nicolae Bălcescu', 'Strada 9 Mai']",residential,"['50', 'RO:urban']",False,True,232.832,"LINESTRING (23.3691448 45.4141303, 23.3682872 45.4153638, 23.3687629 45.4155262, 23.3687739 45.4155299, 23.3692113 45.4156793)",,,
"[217697582, 35071692, 217697580]",2,Strada Timișoarei,tertiary,50,False,False,121.77099999999999,"LINESTRING (23.3717294 45.418545, 23.3716151 45.4184775, 23.3709963 45.4181078, 23.3707418 45.4179694, 23.370657 45.4179234, 23.3705296 45.4178454)",,yes,
746227026,4,Strada 1 Decembrie 1918,secondary,50,False,True,46.215,"LINESTRING (23.3717294 45.418545, 23.371854 45.4183297, 23.3719514 45.4181597)",,,
"[217697088, 217697089, 1119238740]",4,Strada 1 Decembrie 1918,secondary,50,False,False,34.382999999999996,"LINESTRING (23.3717294 45.418545, 23.3716938 45.4186068, 23.3715856 45.4187877, 23.3715609 45.4188307)",,yes,
85204817,,,residential,50,True,False,54.881,"LINESTRING (23.3759341 45.4130205, 23.3754097 45.4128537, 23.3752937 45.4128168)",,,
85204849,2,,residential,50,False,True,87.77600000000001,"LINESTRING (23.3759341 45.4130205, 23.3758554 45.4131463, 23.3757561 45.4133052, 23.3756077 45.4135425, 23.3755005 45.4137485)",,,
952241041,2,Strada 6 August,residential,50,True,False,78.986,"LINESTRING (23.3762956 45.4147782, 23.3758878 45.4154283)",,,
239706848,2,Strada Universității,residential,50,False,True,91.19800000000001,"LINESTRING (23.3723445 45.417482, 23.3724771 45.4175173, 23.3725183 45.4175291, 23.3732576 45.4177499, 23.37342 45.4178022)",,,
746227026,4,Strada 1 Decembrie 1918,secondary,50,False,False,81.367,"LINESTRING (23.3723445 45.417482, 23.3723054 45.4175447, 23.3719514 45.4181597)",,,
"[1118432648, 439776939]",4,Strada 1 Decembrie 1918,secondary,50,False,True,86.385,"LINESTRING (23.3723445 45.417482, 23.3726703 45.416925, 23.372684 45.4169016, 23.3727197 45.4168405, 23.3727684 45.4167644)",,,
202529400,2,Strada Carol Schreter,tertiary,50,False,False,48.8,"LINESTRING (23.3693449 45.4171861, 23.3696015 45.4167859)",yes,,
217697582,2,Strada Timișoarei,tertiary,50,False,True,23.397,"LINESTRING (23.3693449 45.4171861, 23.3694335 45.4172324, 23.3695853 45.4173118)",,,
317098122,2,Strada Carol Schreter,tertiary,50,False,True,51.55200000000001,"LINESTRING (23.3693449 45.4171861, 23.3693033 45.4172704, 23.3691645 45.4175658, 23.3691434 45.4176274)",yes,,
85204782,2,Strada Ștefan Octavian Iosif,residential,50,True,False,49.768,"LINESTRING (23.3755005 45.4137485, 23.3756073 45.4137804, 23.3760822 45.4139317)",,,
85204849,2,,residential,50,False,False,87.77600000000001,"LINESTRING (23.3755005 45.4137485, 23.3756077 45.4135425, 23.3757561 45.4133052, 23.3758554 45.4131463, 23.3759341 45.4130205)",,,
"[217697088, 217697089, 1119238740]",4,Strada 1 Decembrie 1918,secondary,50,False,True,34.383,"LINESTRING (23.3715609 45.4188307, 23.3715856 45.4187877, 23.3716938 45.4186068, 23.3717294 45.418545)",,yes,
1087558578,4,Strada 1 Decembrie 1918,secondary,50,False,False,241.07700000000003,"LINESTRING (23.3752937 45.4128168, 23.3749816 45.4133143, 23.3745201 45.4140222, 23.3744332 45.4141556, 23.3744036 45.4142004, 23.374022 45.4147925)",,,
1087558578,4,Strada 1 Decembrie 1918,secondary,50,False,True,113.114,"LINESTRING (23.3752937 45.4128168, 23.3758307 45.4120012, 23.3758449 45.4119828, 23.3758985 45.4118925)",,,
85204835,,Strada Ștefan Octavian Iosif,residential,50,True,False,81.346,"LINESTRING (23.3758878 45.4154283, 23.3749489 45.4151108)",,,
85204857,2,Strada Ștefan Octavian Iosif,residential,50,True,False,80.747,"LINESTRING (23.3758878 45.4154283, 23.3754623 45.4160902)",,,
85204796,,Strada General Dragalina,residential,50,False,True,82.015,"LINESTRING (23.3755142 45.4169264, 23.3757291 45.4165924, 23.3759467 45.4162542)",,,
210723284,2,Strada General Dragalina,residential,50,False,True,42.134,"LINESTRING (23.3755142 45.4169264, 23.3753251 45.4168643, 23.3750252 45.4167659)",,,
952268179,2,Strada General Dragalina,residential,50,False,False,41.396,"LINESTRING (23.3755142 45.4169264, 23.3758871 45.4170602, 23.3759869 45.4170952)",,,
746227026,4,Strada 1 Decembrie 1918,secondary,50,False,False,46.215,"LINESTRING (23.3719514 45.4181597, 23.371854 45.4183297, 23.3717294 45.418545)",,,
746227026,4,Strada 1 Decembrie 1918,secondary,50,False,True,81.367,"LINESTRING (23.3719514 45.4181597, 23.3723054 45.4175447, 23.3723445 45.417482)",,,
825770734,,,living_street,,False,False,67.309,"LINESTRING (23.3719514 45.4181597, 23.3720502 45.4181869, 23.3724252 45.4182842, 23.3724429 45.4182842, 23.3724642 45.4182817, 23.3724819 45.4182755, 23.3724996 45.4182631, 23.3726004 45.4180855)",,,
85204805,2,Aleea Poporului,residential,30,False,False,25.897,"LINESTRING (23.3714371 45.4163526, 23.3714837 45.4162773, 23.3714891 45.4162686, 23.3715703 45.4161393)",,,
439776937,4,Strada Nicolae Bălcescu,residential,50,False,True,113.55299999999998,"LINESTRING (23.3714371 45.4163526, 23.3716236 45.4164103, 23.3720292 45.4165358, 23.3726436 45.4167258, 23.372671 45.4167343, 23.3727684 45.4167644)",,,
819545807,4,Strada Nicolae Bălcescu,residential,50,False,False,111.973,"LINESTRING (23.3714371 45.4163526, 23.3703247 45.4160047, 23.3702854 45.4159924, 23.3701267 45.4159428)",,,
85204863,2,,residential,50,False,True,41.977,"LINESTRING (23.3759467 45.4162542, 23.3754623 45.4160902)",,,
210722715,2,Strada Muncii,residential,50,False,True,40.863,"LINESTRING (23.3759467 45.4162542, 23.3764193 45.4164123)",,,
85204796,,Strada General Dragalina,residential,50,False,False,82.015,"LINESTRING (23.3759467 45.4162542, 23.3757291 45.4165924, 23.3755142 45.4169264)",,,
210723195,,Strada Muncii,living_street,50,False,True,75.561,"LINESTRING (23.3759467 45.4162542, 23.3760749 45.4160454, 23.376327 45.4156293)",,,
85204857,2,Strada Ștefan Octavian Iosif,residential,50,True,False,82.518,"LINESTRING (23.3754623 45.4160902, 23.3750252 45.4167659)",,,
85204863,2,,residential,50,False,False,41.977,"LINESTRING (23.3754623 45.4160902, 23.3759467 45.4162542)",,,
210723284,2,Strada General Dragalina,residential,50,False,False,42.134,"LINESTRING (23.3750252 45.4167659, 23.3753251 45.4168643, 23.3755142 45.4169264)",,,
210723284,2,Strada General Dragalina,residential,50,False,True,66.482,"LINESTRING (23.3750252 45.4167659, 23.3745426 45.4166075, 23.3742536 45.4165127)",,,
"[210722427, 317075597]",2,Aleea Poporului,residential,30,False,"[False, True]",157.32200000000003,"LINESTRING (23.3722869 45.4150229, 23.3725217 45.4146561, 23.3725932 45.4145503, 23.3727952 45.4142513, 23.3730712 45.4138428, 23.3731277 45.4137591, 23.3731399 45.4137411)",,,
