osmid,oneway,lanes,ref,name,highway,maxspeed,est_width,reversed,length,geometry,junction
14030318,True,2,DN79,Bulevardul Revoluției,primary,50,5,False,111.746,"LINESTRING (21.3195985 46.1785995, 21.3195494 46.1785117, 21.3194181 46.1782657, 21.3190898 46.1776583)",
15738099,False,,DN79,Bulevardul Revoluției,secondary,RO:urban,,True,72.87,"LINESTRING (21.3195985 46.1785995, 21.3199364 46.1784834, 21.3201162 46.1784203, 21.3204442 46.1783053)",
16066557,True,,,Strada Crișan,secondary,RO:urban,,False,186.201,"LINESTRING (21.3195985 46.1785995, 21.3195116 46.1786317, 21.3190972 46.1787852, 21.3188227 46.1788869, 21.3174661 46.1793895)",
174691251,True,1,,Strada Lucian Blaga,tertiary,,,False,221.577,"LINESTRING (21.3155843 46.1718627, 21.3154598 46.1719608, 21.3153091 46.1720855, 21.3152385 46.1721483, 21.3151567 46.1722284, 21.3151058 46.1722864, 21.3150619 46.1723337, 21.3147772 46.1727052, 21.314403 46.1731808, 21.3141302 46.1735732)",
533223971,True,2,DN79,Bulevardul Revoluției,primary,RO:urban,5,False,26.086,"LINESTRING (21.3155843 46.1718627, 21.3155123 46.1717339, 21.3154621 46.1716439)",
13970514,True,,,Strada Romul Veliciu,primary_link,RO:urban,,False,39.507999999999996,"LINESTRING (21.318789 46.1760025, 21.318626 46.1760543, 21.3184595 46.1761035, 21.3183202 46.1761469)",
"[608272179, 253660750]",True,"['1', '2']",DN79,Bulevardul Revoluției,primary,50,5,False,286.05,"LINESTRING (21.318789 46.1760025, 21.3188264 46.1760526, 21.3191955 46.1765474, 21.3198084 46.1774034, 21.3199944 46.1776682, 21.3201554 46.1779126, 21.3203799 46.1782179, 21.3204442 46.1783053)",
13267282,True,2,,Bulevardul General Vasile Milea,secondary,RO:urban,,False,184.533,"LINESTRING (21.3201198 46.1755941, 21.3206274 46.1763947, 21.320725 46.1765486, 21.3208815 46.1767572, 21.3211359 46.1770962)",
"[1106556797, 172818127]",True,,,Strada Romul Veliciu,tertiary,,,False,112.08,"LINESTRING (21.3201198 46.1755941, 21.3188747 46.1759762, 21.318789 46.1760025)",
19796811,True,2,DN79,Bulevardul Revoluției,primary,RO:urban,5,False,14.632,"LINESTRING (21.316049 46.1715443, 21.3160364 46.1716756)",
47188485,True,1,,Strada Unirii,residential,RO:urban,,False,94.375,"LINESTRING (21.316049 46.1715443, 21.3161719 46.1714952, 21.3162286 46.171494, 21.3167998 46.1714813, 21.3169747 46.1714684, 21.3172519 46.1714431)",
13267282,True,2,,Bulevardul General Vasile Milea,secondary,RO:urban,,False,114.024,"LINESTRING (21.3219356 46.1777753, 21.3228869 46.1785612)",
24065383,True,,,Strada Nicolae Grigorescu,secondary,RO:urban,,False,129.072,"LINESTRING (21.3219356 46.1777753, 21.3209568 46.1781188, 21.3205475 46.1782686, 21.3204442 46.1783053)",
13266873,True,1,,Bulevardul General Ion Dragalina,secondary,RO:urban,,False,33.563,"LINESTRING (21.3200142 46.1747563, 21.3198546 46.1748506, 21.3197948 46.1748857, 21.319776 46.1748968, 21.319767 46.174908, 21.3197652 46.1749257, 21.319776 46.1749798)",
46037443,True,,,Piața George Enescu,tertiary,RO:urban,,False,55.51799999999999,"LINESTRING (21.3200142 46.1747563, 21.3197918 46.1748278, 21.3197125 46.1748477, 21.319664 46.1748503, 21.3196356 46.1748472, 21.3196144 46.1748399, 21.3196103 46.1748385, 21.3195787 46.1748181, 21.3195475 46.1747979, 21.3194831 46.1747545, 21.3194091 46.1746981)",
13266873,True,1,,Bulevardul General Ion Dragalina,secondary,RO:urban,,False,161.58399999999997,"LINESTRING (21.3200342 46.1733346, 21.3201164 46.1743576, 21.3201231 46.1744147, 21.3201265 46.1744677, 21.3201372 46.1745651, 21.3201358 46.1746162, 21.3201281 46.1746463, 21.3201123 46.1746747, 21.3200781 46.1747191, 21.3200507 46.174739, 21.3200142 46.1747563)",
947503768,True,1,,Strada 1 Decembrie 1918,residential,,,False,104.658,"LINESTRING (21.3200342 46.1733346, 21.3194726 46.1733485, 21.3186758 46.1733666)",
608846233,False,2,,Strada Horia,tertiary,RO:urban,,False,27.216,"LINESTRING (21.3153839 46.1766524, 21.3150764 46.1767731)",
13970446,False,2,,Strada Gheorghe Popa de Teiuș,tertiary,RO:urban,,False,212.591,"LINESTRING (21.3153839 46.1766524, 21.3160314 46.1774704, 21.3166902 46.1783367)",
608846233,False,2,,Strada Horia,tertiary,RO:urban,,True,137.24599999999998,"LINESTRING (21.3153839 46.1766524, 21.3164005 46.1762175, 21.3168961 46.175999)",
1106556798,True,1,DN79,Bulevardul Revoluției,primary,50,5,False,75.829,"LINESTRING (21.3183202 46.1761469, 21.3179938 46.1755035)",
73035232,True,,,Strada Mihai Eminescu,tertiary,RO:urban,8,False,46.705999999999996,"LINESTRING (21.3154621 46.1716439, 21.3156743 46.1716157, 21.315926 46.1715791, 21.3159891 46.1715652, 21.316049 46.1715443)",
533223971,True,2,DN79,Bulevardul Revoluției,primary,RO:urban,5,False,53.20700000000001,"LINESTRING (21.3154621 46.1716439, 21.315367 46.1714911, 21.3153493 46.1714467, 21.3153416 46.1714058, 21.3153382 46.1713426, 21.3153538 46.1711814)",
35875812,False,2,,Strada General Praporgescu,tertiary,RO:urban,,True,49.073,"LINESTRING (21.3256161 46.1792203, 21.3250548 46.1790112)",
