osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,junction
467576676,Strada Aurel Vlaicu,residential,RO:urban,False,True,122.618,"LINESTRING (21.2213429 45.3931485, 21.2212649 45.3930633, 21.2211777 45.3929474, 21.2211 45.3929013, 21.2209779 45.3928589, 21.2199815 45.3927883)",,,
"[1114850354, 467576677]",Strada Mihai Eminescu,secondary,,False,False,195.00900000000001,"LINESTRING (21.2213429 45.3931485, 21.2214111 45.393106, 21.2215383 45.3930742, 21.2236999 45.3925848)",,,
713820877,Strada Victoriei,primary,RO:urban,True,False,17.021,"LINESTRING (21.2240258 45.3923515, 21.2241013 45.3924951)",1,,
"[713820872, 713820871, 1081416015, 713820880]",Strada Victoriei,primary,RO:urban,False,False,153.517,"LINESTRING (21.2240258 45.3923515, 21.2239385 45.391861, 21.2238732 45.3915863, 21.2238665 45.3915599, 21.2237209 45.390988)",2,yes,
467576665,Strada Nicolae Titulescu,residential,RO:urban,False,True,259.894,"LINESTRING (21.2237428 45.3867847, 21.2236058 45.3867966, 21.2235045 45.3868103, 21.2204676 45.3871984)",2,,
1081383184,Strada Victoriei,primary,RO:urban,False,False,139.348,"LINESTRING (21.2237428 45.3867847, 21.2238757 45.385586, 21.2238814 45.3855353)",2,,
1081383184,Strada Victoriei,primary,RO:urban,False,True,364.89799999999997,"LINESTRING (21.2237428 45.3867847, 21.2237268 45.386934, 21.2235021 45.3890275, 21.2234835 45.3897642, 21.2235042 45.3900064, 21.2235087 45.3900593)",2,,
467576676,Strada Aurel Vlaicu,residential,RO:urban,False,True,53.145,"LINESTRING (21.2199815 45.3927883, 21.2193359 45.3929396)",,,
167599705,Strada Bistriței,residential,RO:urban,False,False,67.67699999999999,"LINESTRING (21.2199815 45.3927883, 21.2198878 45.3927086, 21.2198524 45.392651, 21.2198769 45.3925822, 21.2198659 45.3925021, 21.2197147 45.392231)",,,
467576676,Strada Aurel Vlaicu,residential,RO:urban,False,False,122.618,"LINESTRING (21.2199815 45.3927883, 21.2209779 45.3928589, 21.2211 45.3929013, 21.2211777 45.3929474, 21.2212649 45.3930633, 21.2213429 45.3931485)",,,
67123197,Strada Vasile Alecsandri,residential,RO:urban,False,True,48.82,"LINESTRING (21.2193359 45.3929396, 21.2188097 45.3931767)",,,
467576676,Strada Aurel Vlaicu,residential,RO:urban,False,False,53.145,"LINESTRING (21.2193359 45.3929396, 21.2199815 45.3927883)",,,
167599698,Strada Aurel Vlaicu,residential,,False,False,43.559000000000005,"LINESTRING (21.2193359 45.3929396, 21.2188561 45.3929816, 21.2187818 45.3929802)",2,,
67123197,Strada Vasile Alecsandri,residential,RO:urban,False,False,48.82,"LINESTRING (21.2188097 45.3931767, 21.2193359 45.3929396)",,,
467576675,Strada Vasile Alecsandri,residential,,False,False,21.958,"LINESTRING (21.2188097 45.3931767, 21.2187818 45.3929802)",,,
167599677,Strada Unirii,residential,RO:urban,False,True,366.375,"LINESTRING (21.2204676 45.3871984, 21.2208217 45.3884897, 21.2213521 45.3904342)",,,
467576665,Strada Nicolae Titulescu,residential,RO:urban,False,False,259.894,"LINESTRING (21.2204676 45.3871984, 21.2235045 45.3868103, 21.2236058 45.3867966, 21.2237428 45.3867847)",2,,
125737260,Strada Marin Damaschin,residential,RO:urban,False,False,166.684,"LINESTRING (21.2235087 45.3900593, 21.2232903 45.3900974, 21.2232366 45.3901068, 21.2214371 45.3904206)",2,,
