osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access
904841291,False,2,DJ602,Strada Știrbei Vodă,secondary,50,False,27.908,"LINESTRING (25.9525512 44.5572674, 25.9522362 44.5573797)",
899033120,False,2,DN1A,Șoseaua București-Târgoviște,primary,50,True,52.625,"LINESTRING (25.9525512 44.5572674, 25.9524152 44.5573817, 25.9523257 44.5574666, 25.9522273 44.5575584, 25.9521386 44.5576381)",
22973627,False,,,Strada Viilor,residential,50,False,162.395,"LINESTRING (25.9512763 44.5588374, 25.9492376 44.5586865)",
899033119,False,2,DN1A,Șoseaua București-Târgoviște,primary,50,False,15.998,"LINESTRING (25.9512763 44.5588374, 25.9513613 44.5587069)",
16207761,False,2,DN1A,Șoseaua București-Târgoviște,primary,50,True,176.459,"LINESTRING (25.9512763 44.5588374, 25.9509594 44.5593241, 25.9503391 44.560277)",
22973636,True,,,Strada Viilor,secondary,RO:urban,False,25.019,"LINESTRING (25.9515716 44.5589171, 25.9512763 44.5588374)",
219811558,False,,DJ101,Strada Viilor,secondary,RO:urban,False,349.577,"LINESTRING (25.9515716 44.5589171, 25.9534439 44.5598663, 25.9542051 44.5602853, 25.9550935 44.5608084)",
22974183,False,,,Strada Iuliu Maniu,residential,50,False,290.563,"LINESTRING (25.9437763 44.5603946, 25.9437665 44.5603037, 25.9438223 44.5601228, 25.9445448 44.5578435)",
899033122,False,2,,Strada Știrbei Vodă,tertiary,RO:urban,True,175.525,"LINESTRING (25.9437763 44.5603946, 25.9439215 44.5603426, 25.9455185 44.5597735, 25.9457576 44.5596883)",
407741342,True,,,,tertiary,RO:urban,False,16.507,"LINESTRING (25.9458831 44.5598002, 25.9458553 44.5597924, 25.9458237 44.5597743, 25.9458022 44.5597525, 25.9457576 44.5596883)",
219811513,False,,,Strada Vlăsiei,residential,50,True,26.839,"LINESTRING (25.9492458 44.5584452, 25.9492376 44.5586865)",
338880167,False,2,DJ602,Strada Vlăsiei,secondary,50,True,189.369,"LINESTRING (25.9492458 44.5584452, 25.949293 44.5567425)",
22974154,False,2,,Strada Artelor,residential,50,True,245.775,"LINESTRING (25.9492458 44.5584452, 25.9490883 44.5583685, 25.9466904 44.5571922)",
219811509,False,2,,Strada Știrbei Vodă,tertiary,50,False,289.318,"LINESTRING (25.9492458 44.5584452, 25.9491086 44.5584942, 25.9484932 44.5587245, 25.9462644 44.5595077, 25.94598 44.559609)",
904841291,False,2,DJ602,Strada Știrbei Vodă,secondary,50,True,239.705,"LINESTRING (25.9492458 44.5584452, 25.9507104 44.5579234, 25.9509616 44.5578339, 25.9519517 44.557481)",
400748096,False,2,,Strada Oltului,residential,50,True,62.908,"LINESTRING (25.9449624 44.5629269, 25.9450743 44.562944, 25.9455529 44.5630171, 25.9457388 44.5630455)",
400748109,True,1,,Strada 23 August,residential,50,False,208.185,"LINESTRING (25.9449624 44.5629269, 25.9449796 44.5628685, 25.945501 44.5610944)",
400748096,False,2,,Strada Oltului,residential,50,False,115.214,"LINESTRING (25.9471559 44.5632783, 25.9457388 44.5630455)",
22955081,False,2,,Strada Oltului,residential,50,True,94.421,"LINESTRING (25.9471559 44.5632783, 25.9481254 44.5634799, 25.9483 44.5635162)",
22973304,True,,,Strada Luceafărului,residential,50,False,124.888,"LINESTRING (25.9474044 44.5621692, 25.9471559 44.5632783)",
400748089,False,,,,residential,50,True,29.746,"LINESTRING (25.9474044 44.5621692, 25.9470372 44.5621134)",
16207761,False,2,DN1A,Șoseaua București-Târgoviște,primary,50,False,39.375,"LINESTRING (25.9491242 44.5622126, 25.9493189 44.5618868)",
16207761,False,2,DN1A,Șoseaua București-Târgoviște,primary,50,True,86.304,"LINESTRING (25.9491242 44.5622126, 25.9490207 44.5623784, 25.9488592 44.5626373, 25.9486816 44.5629218)",
