osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,access
111580243,False,2,DJ542,Strada Caracal,secondary,50,True,2.925,"LINESTRING (24.0917941 43.8024758, 24.0917937 43.8025021)",
111580243,False,2,DJ542,Strada Caracal,secondary,50,False,128.74200000000002,"LINESTRING (24.0917941 43.8024758, 24.0918417 43.8017432, 24.0918702 43.8013193)",
122186379,False,,,Strada Tudor Vladimirescu,residential,RO:urban,False,314.922,"LINESTRING (24.0917941 43.8024758, 24.0919004 43.8025012, 24.0923774 43.8024884, 24.0939202 43.8022225, 24.0948254 43.8021343, 24.0956401 43.8020015)",
111580243,False,2,DJ542,Strada Caracal,secondary,50,True,30.818,"LINESTRING (24.0919212 43.8010446, 24.0918702 43.8013193)",
105663276,False,2,DN54A,Strada Victoriei,primary,50,False,383.974,"LINESTRING (24.0919212 43.8010446, 24.0912849 43.8009137, 24.0899094 43.8006488, 24.0890309 43.8004719, 24.087823 43.8002574, 24.0872889 43.8001861)",
111580261,False,2,DN54A,Strada Unirii,primary,50,True,266.546,"LINESTRING (24.0919212 43.8010446, 24.0923574 43.8010898, 24.0925628 43.8011097, 24.0927644 43.8011097, 24.0930198 43.8010634, 24.0932161 43.8010173, 24.0937213 43.8008986, 24.0946939 43.80067, 24.0951217 43.8005745)",
"[666636633, 177942860]",False,,DC39,Strada Pârâul Morilor,residential,RO:urban,True,154.432,"LINESTRING (24.0919212 43.8010446, 24.0919844 43.8006745, 24.0919886 43.8005649, 24.0919731 43.8004893, 24.0919584 43.8004081, 24.0917561 43.7998457, 24.0917058 43.7997968, 24.0916193 43.7997111)",
111580243,False,2,DJ542,Strada Caracal,secondary,50,True,75.29,"LINESTRING (24.09192 43.8038072, 24.0922772 43.8044333)",
111580243,False,2,DJ542,Strada Caracal,secondary,50,False,45.247,"LINESTRING (24.09192 43.8038072, 24.0918285 43.8036266, 24.0917574 43.8034182)",
122077865,False,,,Strada A.I. Cuza,residential,RO:urban,False,303.729,"LINESTRING (24.09192 43.8038072, 24.0910073 43.803991, 24.0903529 43.804106, 24.0892363 43.8043087, 24.0882504 43.8044744)",
111580261,False,2,DN54A,Strada Unirii,primary,50,True,25.396,"LINESTRING (24.0951217 43.8005745, 24.095424 43.800507)",
111580249,False,,,Strada Constantin Brâncoveanu,residential,RO:urban,False,164.29600000000002,"LINESTRING (24.0951217 43.8005745, 24.0952544 43.8008205, 24.0953281 43.8010833, 24.0953973 43.8012964, 24.0955854 43.8018387, 24.0956401 43.8020015)",
