osmid,oneway,lanes,name,highway,maxspeed,reversed,length,ref,geometry,junction,access
460780885,False,2,Strada Tudor Vladimirescu,tertiary,50,False,14.53,,"LINESTRING (26.2056932 44.448127, 26.2056698 44.4482566)",,
"[408905320, 667782542, 667782543]",True,"['4', '3']",Bulevardul Biruinței,primary,50,False,325.921,DN3,"LINESTRING (26.2056932 44.448127, 26.2059769 44.4481106, 26.2061021 44.4480973, 26.2062304 44.4480804, 26.2069254 44.4479836, 26.2075028 44.4478976, 26.2082426 44.4477896, 26.2084324 44.4477646, 26.2086519 44.4477368, 26.2088345 44.4477186, 26.2090396 44.4477032, 26.2092294 44.4476961, 26.2093613 44.4476981, 26.2094773 44.447702, 26.209742 44.4477236)",,
24719482,False,2,Drumul Gării,residential,RO:urban,False,39.936,,"LINESTRING (26.1997295 44.4539338, 26.200181 44.4537753)",,
24725187,False,1,Strada Oițelor,residential,RO:urban,True,232.87,,"LINESTRING (26.1997295 44.4539338, 26.1996238 44.4539682, 26.1994807 44.4540317, 26.199106 44.4542342, 26.1989011 44.4543531, 26.1975236 44.4553029)",,
667783643,False,2,Drumul Gării,residential,RO:urban,False,32.806,,"LINESTRING (26.1997295 44.4539338, 26.1997343 44.4540274, 26.1997457 44.4542286)",,
34777219,False,2,Strada Mioriței,tertiary,50,False,14.59,,"LINESTRING (26.2094404 44.4500484, 26.2095574 44.4499472)",,
24719323,True,,Strada Crișana,residential,RO:urban,False,209.27599999999998,,"LINESTRING (26.2094404 44.4500484, 26.2092655 44.4499897, 26.2087827 44.4498078, 26.2086057 44.4497408, 26.2085252 44.4497044, 26.2084501 44.4496565, 26.2083643 44.4495857, 26.208324 44.4495321, 26.2082355 44.4493138, 26.2082167 44.4492704, 26.208198 44.449241, 26.2081703 44.4492112, 26.2081368 44.4491879, 26.2080987 44.4491663, 26.208015 44.449126, 26.2079671 44.4490961, 26.2079244 44.4490629, 26.2078337 44.4489993, 26.2077421 44.4489437, 26.2077036 44.4489222, 26.207668 44.4489082, 26.2076146 44.4488921, 26.2075776 44.4488862, 26.2075286 44.4488753)",,
34777219,False,2,Strada Mioriței,tertiary,50,True,155.43200000000002,,"LINESTRING (26.2094404 44.4500484, 26.2092742 44.4501169, 26.2090168 44.4502229, 26.2077425 44.4507447)",,
24578472,False,2,Strada Sfântul Gheorghe,tertiary,50,False,110.156,,"LINESTRING (26.2082468 44.4563326, 26.2080922 44.4561162, 26.20799 44.4559785, 26.2077745 44.4556895, 26.2076014 44.4554556)",,
"[24719291, 660575085]",False,2,Strada Livezilor,residential,RO:urban,True,308.596,,"LINESTRING (26.2082468 44.4563326, 26.2085645 44.4562004, 26.2090982 44.4559856, 26.209135 44.4559662, 26.2091534 44.455942, 26.2091565 44.4559135, 26.2091458 44.4558867, 26.2088 44.4554337, 26.20842 44.4549563, 26.2080464 44.4544793, 26.2078107 44.4541754)",,
