osmid,oneway,highway,reversed,length,lanes,ref,name,maxspeed,geometry,junction,bridge,access
55782836,True,primary_link,False,32.415,,,,,"LINESTRING (-75.8375652 21.1164739, -75.8372527 21.116473)",,,
55782771,False,primary,False,124.684,2,6-241,Carretera a Guardalavaca,80,"LINESTRING (-75.8375652 21.1164739, -75.8372709 21.1165828, -75.8364478 21.1168872)",,,
55782834,True,primary_link,False,250.28300000000002,,,,,"LINESTRING (-75.8335623 21.118374, -75.8338719 21.1182853, -75.834136 21.1182204, -75.8343945 21.1181762, -75.834739 21.1182056, -75.8350157 21.1183043, -75.8351915 21.1183996, -75.8353598 21.1185547, -75.8354757 21.1187292, -75.8355582 21.1189503)",,,
307598184,True,primary,False,263.031,2,6-241,Carretera de Guardalavaca,80,"LINESTRING (-75.8335623 21.118374, -75.8338548 21.118237, -75.8347717 21.1177567, -75.8354103 21.1174057, -75.8357527 21.1171858)",,,
485739075,False,residential,False,9.598,,,,,"LINESTRING (-75.8326151 21.1185067, -75.8326364 21.1185907)",,,
1128109980,False,residential,False,62.986000000000004,,,,,"LINESTRING (-75.8326151 21.1185067, -75.8325758 21.1184395, -75.8324823 21.1182795, -75.8323791 21.1181184, -75.8323378 21.118072, -75.8322795 21.1180474)",,,
"[41184481, 41184478]",False,residential,True,325.82699999999994,,,,,"LINESTRING (-75.8340188 21.1210844, -75.8338055 21.1208071, -75.833627 21.1205369, -75.8326149 21.1191165, -75.8325414 21.1189778, -75.8325184 21.1189037, -75.8325247 21.1188452, -75.8325964 21.1186994, -75.8326364 21.1185907)",,,
263438888,False,tertiary,False,231.447,,,,50,"LINESTRING (-75.8340188 21.1210844, -75.8354258 21.1196333, -75.8355172 21.1195421)",,,
55782833,True,tertiary_link,False,43.052,,,,,"LINESTRING (-75.8355172 21.1195421, -75.8355876 21.1195244, -75.8356731 21.1195271, -75.8357422 21.1195517, -75.8357999 21.1195747, -75.8359124 21.1196133)",,,
263438888,False,tertiary,True,231.447,,,,50,"LINESTRING (-75.8355172 21.1195421, -75.8354258 21.1196333, -75.8340188 21.1210844)",,,
407816275,True,tertiary,False,43.656000000000006,,,,50,"LINESTRING (-75.8355172 21.1195421, -75.8357538 21.1193221, -75.8358094 21.1192599)",,,
485739062,True,primary,False,44.199,2,6-241,Carretera de Guardalavaca,80,"LINESTRING (-75.8357527 21.1171858, -75.8353648 21.1173503)",,,
55782771,False,primary,True,79.49799999999999,2,6-241,Carretera a Guardalavaca,80,"LINESTRING (-75.8357527 21.1171858, -75.8360896 21.1170196, -75.8364478 21.1168872)",,,
