osmid,name,highway,maxspeed,oneway,reversed,length,ref,geometry,bridge,access,lanes
125187535,Camilo Cienfuegos,secondary,50,False,False,67.436,,"LINESTRING (-80.20569 22.1465388, -80.2052189 22.14696)",,,
350968235,Napoleón Diego,secondary,50,False,False,9.494,4-206,"LINESTRING (-80.20569 22.1465388, -80.2056386 22.1465337, -80.2055985 22.1465285)",,,
462430888,Camilo Cienfuegos,secondary,50,False,True,115.612,4-206,"LINESTRING (-80.20569 22.1465388, -80.2057627 22.1465165, -80.2066689 22.1460327)",,,
443623556,Pablo Estévez,residential,,False,False,80.538,,"LINESTRING (-80.1992714 22.1449018, -80.1989333 22.1455549)",,,
350968235,Napoleón Diego,secondary,50,False,True,64.593,4-206,"LINESTRING (-80.2019564 22.1451561, -80.2025336 22.1453833)",,,
1203508489,Seibabo,residential,,False,True,188.698,,"LINESTRING (-80.2019564 22.1451561, -80.2017459 22.1459306, -80.2015353 22.1468075)",,,
460101566,Libertad,residential,,False,False,93.687,,"LINESTRING (-80.1980979 22.1452215, -80.1989333 22.1455549)",,,
"[1190903128, 443623557, 1190903127]",Porvenir,residential,,False,False,96.447,,"LINESTRING (-80.1980979 22.1452215, -80.197998 22.1454614, -80.1979308 22.1456096, -80.1977526 22.1460277)",yes,,
350968235,Napoleón Diego,secondary,50,False,False,64.593,4-206,"LINESTRING (-80.2025336 22.1453833, -80.2019564 22.1451561)",,,
350968235,Napoleón Diego,secondary,50,False,True,21.555,4-206,"LINESTRING (-80.2025336 22.1453833, -80.2027265 22.1454585)",,,
125187523,Orlando Gómez,residential,,False,False,155.397,,"LINESTRING (-80.2027265 22.1454585, -80.2026718 22.1468551)",,,
350968235,Napoleón Diego,secondary,50,False,False,21.555,4-206,"LINESTRING (-80.2027265 22.1454585, -80.2025336 22.1453833)",,,
350968235,Napoleón Diego,secondary,50,False,True,136.052,4-206,"LINESTRING (-80.2027265 22.1454585, -80.20288 22.14551, -80.2039491 22.1459215)",,,
125187334,Menéndez Peláez (Nueva),residential,,False,True,89.63,,"LINESTRING (-80.2001371 22.1454523, -80.2003257 22.1462392)",,,
125187410,Libertad,residential,,True,False,83.926,,"LINESTRING (-80.2001371 22.1454523, -80.1997311 22.1455617, -80.1993695 22.145702)",,yes,
125187369,Antonio Maceo,residential,,False,False,83.959,,"LINESTRING (-80.1993695 22.145702, -80.1995998 22.1464263)",,,
"[1190903144, 460101566, 1190903143]",Libertad,residential,,False,True,47.81,,"LINESTRING (-80.1993695 22.145702, -80.1992709 22.1456687, -80.1992114 22.1456487, -80.1989333 22.1455549)",yes,,
125187482,Paraíso,residential,,False,False,109.195,,"LINESTRING (-80.2039491 22.1459215, -80.203839 22.1468982)",,,
350968235,Napoleón Diego,secondary,50,False,False,136.052,4-206,"LINESTRING (-80.2039491 22.1459215, -80.20288 22.14551, -80.2027265 22.1454585)",,,
350968235,Napoleón Diego,secondary,50,False,True,182.79199999999997,4-206,"LINESTRING (-80.2039491 22.1459215, -80.2044478 22.146105, -80.2047238 22.1462066, -80.2052991 22.1464183, -80.2055985 22.1465285)",,,
443718899,Porvenir,residential,,False,True,33.758,,"LINESTRING (-80.1976581 22.145998, -80.197544 22.1462826)",,,
460101573,33,residential,,False,True,10.278,,"LINESTRING (-80.1976581 22.145998, -80.1977526 22.1460277)",,,
462430888,Camilo Cienfuegos,secondary,50,False,False,115.612,4-206,"LINESTRING (-80.2066689 22.1460327, -80.2057627 22.1465165, -80.20569 22.1465388)",,,
125187334,Menéndez Peláez (Nueva),residential,,False,False,89.63,,"LINESTRING (-80.2003257 22.1462392, -80.2001371 22.1454523)",,,
125187334,Menéndez Peláez (Nueva),residential,,False,True,88.103,,"LINESTRING (-80.2003257 22.1462392, -80.200521 22.1470106)",,,
125187421,Victoria,residential,,False,True,77.602,,"LINESTRING (-80.2003257 22.1462392, -80.1995998 22.1464263)",,,
125187369,Antonio Maceo,residential,,False,True,83.959,,"LINESTRING (-80.1995998 22.1464263, -80.1993695 22.145702)",,,
125187421,Victoria,residential,,False,False,77.602,,"LINESTRING (-80.1995998 22.1464263, -80.2003257 22.1462392)",,,
