osmid,oneway,name,highway,maxspeed,reversed,length,bridge,geometry,lanes,ref
"[159939512, 159939510, 28133750]",True,García del Río,residential,40,False,94.296,yes,"LINESTRING (-58.3953199 -34.7788244, -58.3953574 -34.7788522, -58.3953963 -34.778897, -58.3954437 -34.7789481, -58.3955925 -34.7790934, -58.3956463 -34.7791549, -58.3956788 -34.7792139, -58.3956907 -34.7792626, -58.3956965 -34.7793087, -58.3956761 -34.7793797, -58.3956475 -34.7794184, -58.3955494 -34.7794768, -58.3955024 -34.7794961)",,
207362311,True,Fray Justo Santa María de Oro,residential,40,False,64.052,,"LINESTRING (-58.3953199 -34.7788244, -58.3952934 -34.7787881, -58.3952848 -34.7787388, -58.3952984 -34.7783665, -58.3953323 -34.7782586)",,
28313581,False,García del Río,residential,40,True,104.207,,"LINESTRING (-58.395379 -34.7795581, -58.3947698 -34.7803505)",,
301468575,True,García del Río,residential,40,False,12.315,,"LINESTRING (-58.395379 -34.7795581, -58.3954372 -34.7794582)",,
28263240,True,Cangallo,residential,40,False,143.152,,"LINESTRING (-58.3955822 -34.7759872, -58.3940261 -34.7758333)",2,
190162197,False,Fray Justo Santa María de Oro,residential,40,False,133.586,,"LINESTRING (-58.3955822 -34.7759872, -58.395452 -34.7771838)",,
28263235,False,Obligado,residential,,False,47.374,,"LINESTRING (-58.3936809 -34.7782941, -58.3937477 -34.7778716)",,
58097808,True,Avenida Eva Perón,residential,40,False,157.595,,"LINESTRING (-58.3936809 -34.7782941, -58.3937842 -34.778301, -58.3938539 -34.7783229, -58.3951313 -34.77904)",,
255489384,True,14 de Julio,residential,40,False,87.907,,"LINESTRING (-58.3941916 -34.774505, -58.395145 -34.7746132)",2,
255489378,True,Almirante Brown,secondary,,False,158.903,,"LINESTRING (-58.3935343 -34.7744193, -58.3932828 -34.7747963, -58.3926982 -34.7756725)",2,RP210
255489384,True,14 de Julio,residential,40,False,60.865,,"LINESTRING (-58.3935343 -34.7744193, -58.3936053 -34.7744374, -58.3941916 -34.774505)",2,
28263240,True,Cangallo,residential,40,False,122.594,,"LINESTRING (-58.3940261 -34.7758333, -58.3926982 -34.7756725)",2,
297367255,True,Obligado,residential,40,False,148.472,,"LINESTRING (-58.3940261 -34.7758333, -58.3941916 -34.774505)",,
28263240,True,Cangallo,residential,40,False,8.799,,"LINESTRING (-58.3926982 -34.7756725, -58.3926218 -34.7756243)",2,
255489378,True,Almirante Brown,secondary,,False,95.708,,"LINESTRING (-58.3926982 -34.7756725, -58.3921688 -34.7764153)",2,RP210
190162197,False,Fray Justo Santa María de Oro,residential,40,False,94.729,,"LINESTRING (-58.395452 -34.7771838, -58.3953619 -34.7780325)",,
190162197,False,Fray Justo Santa María de Oro,residential,40,True,133.586,,"LINESTRING (-58.395452 -34.7771838, -58.3955822 -34.7759872)",,
297367255,True,Obligado,residential,40,False,133.055,,"LINESTRING (-58.3939014 -34.7770255, -58.3940261 -34.7758333)",,
28263245,True,Rivadavia,residential,40,False,142.711,,"LINESTRING (-58.3939014 -34.7770255, -58.3945159 -34.7770882, -58.395452 -34.7771838)",1,
28263245,True,Rivadavia,residential,40,False,187.542,,"LINESTRING (-58.3918637 -34.7768175, -58.3939014 -34.7770255)",1,
28263247,True,Ingeniero White,residential,40,False,148.51,,"LINESTRING (-58.3953619 -34.7780325, -58.3937477 -34.7778716)",,
190162197,False,Fray Justo Santa María de Oro,residential,40,False,25.286,,"LINESTRING (-58.3953619 -34.7780325, -58.3953323 -34.7782586)",,
190162197,False,Fray Justo Santa María de Oro,residential,40,True,94.729,,"LINESTRING (-58.3953619 -34.7780325, -58.395452 -34.7771838)",,
28263235,False,Obligado,residential,,True,47.374,,"LINESTRING (-58.3937477 -34.7778716, -58.3936809 -34.7782941)",,
297367255,True,Obligado,residential,40,False,95.124,,"LINESTRING (-58.3937477 -34.7778716, -58.3939014 -34.7770255)",,
551495784,False,Alberdi,residential,,True,126.488,,"LINESTRING (-58.395145 -34.7746132, -58.3953182 -34.7734846)",,
