osmid,ref,name,highway,oneway,reversed,length,lanes,junction,geometry,maxspeed
292978484,RP21,Avenida Intendente Costantini,primary,False,False,112.046,,,"LINESTRING (-60.5082126 -33.1508266, -60.5073755 -33.1515506)",
292978484,RP21,Avenida Intendente Costantini,primary,False,True,5.56,,,"LINESTRING (-60.5082126 -33.1508266, -60.5082549 -33.1507913)",
292978484,RP21,Avenida Intendente Costantini,primary,False,False,130.257,,,"LINESTRING (-60.5072347 -33.1516796, -60.5062477 -33.1525099)",
292978484,RP21,Avenida Intendente Costantini,primary,False,True,19.431,,,"LINESTRING (-60.5072347 -33.1516796, -60.5073755 -33.1515506)",
292978479,,Hipólito Yrigoyen,residential,True,False,19.158,1,,"LINESTRING (-60.5104372 -33.1542351, -60.5102517 -33.1541605)",
265101937,,Bulevar Mansuelo Maiorano,secondary,True,False,23.244,1,roundabout,"LINESTRING (-60.5104372 -33.1542351, -60.5104026 -33.154205, -60.5103903 -33.1541871, -60.5103808 -33.1541674, -60.510374 -33.154126, -60.5103829 -33.1540849, -60.5104066 -33.1540481)",
265101937,,Bulevar Mansuelo Maiorano,secondary,True,False,30.418,1,roundabout,"LINESTRING (-60.5104066 -33.1540481, -60.5104466 -33.1540172, -60.510469 -33.1540063, -60.5104966 -33.1539994, -60.5105509 -33.1539968, -60.5105773 -33.1540021, -60.5106031 -33.1540096, -60.510647 -33.1540364, -60.5106776 -33.1540741)",
166996399,,Avenida Libertad,tertiary,True,False,90.029,1,,"LINESTRING (-60.5116162 -33.1536573, -60.5109301 -33.1530867)",
1206468978,,Bulevar Mansuelo Maiorano,secondary,True,False,7.145,1,,"LINESTRING (-60.5116162 -33.1536573, -60.5116675 -33.1536095)",
166996399,,Avenida Libertad,tertiary,True,False,132.254,1,,"LINESTRING (-60.5102099 -33.1524877, -60.509202 -33.1516495)",
227510853,,Juarez Celman,residential,True,False,6.483,,,"LINESTRING (-60.5102099 -33.1524877, -60.51026 -33.1524472)",
73906203,,Bulevar Mansuelo Maiorano,secondary,True,False,14.288,1,,"LINESTRING (-60.5106776 -33.1540741, -60.5107977 -33.1541541)",
265101937,,Bulevar Mansuelo Maiorano,secondary,True,False,25.55,1,roundabout,"LINESTRING (-60.5106776 -33.1540741, -60.5106912 -33.1541186, -60.5106859 -33.1541644, -60.5106624 -33.1542059, -60.5106233 -33.1542382, -60.5105735 -33.1542574)",
73906216,,Sarmiento,residential,True,False,130.307,,,"LINESTRING (-60.5112543 -33.1516444, -60.5102645 -33.1508158)",
227510853,,Juarez Celman,residential,True,False,132.242,,,"LINESTRING (-60.5112543 -33.1516444, -60.5122056 -33.1507612)",
73906216,,Sarmiento,residential,True,False,92.406,,,"LINESTRING (-60.51262 -33.1527876, -60.5119181 -33.1522)",
73906213,,Hipólito Yrigoyen,residential,True,False,132.753,,,"LINESTRING (-60.5102517 -33.1541605, -60.5092246 -33.1533323)",
292978466,,Bulevar Mansuelo Maiorano,secondary,True,False,19.083,1,,"LINESTRING (-60.5102517 -33.1541605, -60.5104066 -33.1540481)",
