osmid,oneway,lanes,name,highway,maxspeed,reversed,length,junction,geometry,ref
193465398,True,2,Avenida Paraguay,secondary,60,False,16.257,,"LINESTRING (-65.5994936 -22.1080267, -65.599337 -22.1080087)",
94514756,True,2,Avenida Sarmiento,secondary,,False,93.505,roundabout,"LINESTRING (-65.5965417 -22.1039857, -65.5969568 -22.1040337, -65.5970073 -22.10407, -65.5970332 -22.1041205, -65.5969906 -22.1044564)",
46594706,False,2,Sanchez de Bustamante,secondary,,False,122.422,,"LINESTRING (-65.5967619 -22.1016239, -65.5958714 -22.1015144, -65.5955836 -22.1014816)",
609988361,True,2,,secondary,,False,38.07,roundabout,"LINESTRING (-65.5967619 -22.1016239, -65.5967942 -22.101558, -65.5968519 -22.1014958, -65.5969478 -22.1014511, -65.5970412 -22.1014325)",
46594708,True,2,Avenida Bolívar,secondary,,False,13.064,,"LINESTRING (-65.6003284 -22.1006407, -65.6004543 -22.1006547)",
46594708,True,2,Avenida Bolívar,secondary,,False,111.402,,"LINESTRING (-65.5981573 -22.1003975, -65.5992308 -22.1005177)",
94514763,False,2,República Arabe Siria,secondary,,False,14.024,,"LINESTRING (-65.5981573 -22.1003975, -65.59814 -22.1005226)",
94383600,False,,San Juan,residential,,False,12.195,,"LINESTRING (-65.5945357 -22.1052594, -65.5944182 -22.1052461)",
94518028,True,2,Avenida Lamadrid,secondary,,False,117.729,,"LINESTRING (-65.5945357 -22.1052594, -65.5943932 -22.1063099)",
94383600,False,,San Juan,residential,,True,176.671,,"LINESTRING (-65.5945357 -22.1052594, -65.5953602 -22.1053545, -65.5962379 -22.1054523)",
94389433,True,2,San Martín,tertiary,60,False,113.823,,"LINESTRING (-65.5986758 -22.1046534, -65.5997716 -22.1047841)",
191170235,True,,Balcarce,residential,,False,111.622,,"LINESTRING (-65.5986758 -22.1046534, -65.5988193 -22.1036584)",
46594708,True,2,Avenida Bolívar,secondary,,False,61.601,,"LINESTRING (-65.5992308 -22.1005177, -65.5998244 -22.1005842)",
94379400,False,,25 de Mayo,residential,40,False,110.87,,"LINESTRING (-65.5988193 -22.1036584, -65.5998862 -22.103789)",
94379400,False,,25 de Mayo,residential,40,True,111.303,,"LINESTRING (-65.5988193 -22.1036584, -65.5977469 -22.103537)",
191170235,True,,Balcarce,residential,,False,112.057,,"LINESTRING (-65.5988193 -22.1036584, -65.5989548 -22.1026585)",
191170235,True,,Balcarce,residential,,False,112.026,,"LINESTRING (-65.5989548 -22.1026585, -65.5990843 -22.1016582)",
791914700,True,,Belgrano,residential,,False,112.21,,"LINESTRING (-65.5989548 -22.1026585, -65.5978761 -22.1025189)",
191170235,True,,Balcarce,residential,,False,113.872,,"LINESTRING (-65.5990843 -22.1016582, -65.599214 -22.1006412)",
193701214,True,,9 de Julio,residential,,False,112.894,,"LINESTRING (-65.5990843 -22.1016582, -65.6001717 -22.1017837)",
193701214,True,,9 de Julio,residential,,False,14.488,,"LINESTRING (-65.6001717 -22.1017837, -65.6003113 -22.1017994)",
609994266,True,2,Avenida España Norte,trunk,60,False,114.469,,"LINESTRING (-65.6001717 -22.1017837, -65.600312 -22.1007625)",RN9
94379400,False,,25 de Mayo,residential,40,False,16.452,,"LINESTRING (-65.5998862 -22.103789, -65.6000441 -22.1038111)",
94379400,False,,25 de Mayo,residential,40,True,110.87,,"LINESTRING (-65.5998862 -22.103789, -65.5988193 -22.1036584)",
609994266,True,2,Avenida España Norte,trunk,60,False,111.918,,"LINESTRING (-65.5998862 -22.103789, -65.5999558 -22.103253, -65.6000211 -22.1027903)",RN9
