osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,ref
57919447,General Manuel Belgrano,residential,40,False,False,58.193,,"LINESTRING (-58.6860697 -34.4088736, -58.6865979 -34.4091634)",,
578283255,Avenida General Pacheco,tertiary,40,False,True,122.979,2,"LINESTRING (-58.6860697 -34.4088736, -58.6871356 -34.4082029)",,
"[1156509737, 578283255]",Avenida General Pacheco,tertiary,40,False,False,87.029,2,"LINESTRING (-58.6860697 -34.4088736, -58.6854566 -34.409274, -58.6853259 -34.4093594)",,
551691323,La Rioja,residential,40,False,True,89.143,,"LINESTRING (-58.6847616 -34.4153558, -58.6852722 -34.4146737)",,
"[57914083, 85268437]","['Jujuy', 'Sarmiento']",residential,,False,False,201.559,,"LINESTRING (-58.6847616 -34.4153558, -58.6857985 -34.4159052, -58.6863285 -34.41524)",,
57919454,Moreno,residential,,False,False,114.823,2,"LINESTRING (-58.6866324 -34.4129346, -58.6876828 -34.4134962)",,
57919454,Moreno,residential,,False,True,115.065,2,"LINESTRING (-58.6866324 -34.4129346, -58.6855825 -34.4123684)",,
551691323,La Rioja,residential,40,False,False,114.748,,"LINESTRING (-58.6866324 -34.4129346, -58.6859538 -34.4138015)",,
551691323,La Rioja,residential,40,False,True,115.688,,"LINESTRING (-58.6866324 -34.4129346, -58.6873107 -34.4120575)",,
57919136,Rivadavia,residential,40,False,False,114.831,,"LINESTRING (-58.693204 -34.4102241, -58.6942547 -34.4107854)",,
57919136,Rivadavia,residential,40,False,True,112.657,,"LINESTRING (-58.693204 -34.4102241, -58.6921694 -34.4096783)",,
57919573,Tucumán,residential,,False,False,116.325,,"LINESTRING (-58.693204 -34.4102241, -58.6925189 -34.4111044)",,
57919573,Tucumán,residential,,False,True,115.207,,"LINESTRING (-58.693204 -34.4102241, -58.6938746 -34.4093481)",,
57919136,Rivadavia,residential,40,False,True,116.037,,"LINESTRING (-58.6953136 -34.4113562, -58.6942547 -34.4107854)",,
57919574,Avenida Marabotto,residential,,False,False,115.389,,"LINESTRING (-58.6953136 -34.4113562, -58.694637 -34.412231)",,
57919138,General Roca,residential,40,False,False,115.27,,"LINESTRING (-58.6893644 -34.4094135, -58.6904242 -34.4099704)",,
57919138,General Roca,residential,40,False,True,114.814,,"LINESTRING (-58.6893644 -34.4094135, -58.6883152 -34.4088506)",,
1176331960,La Rioja,residential,40,False,False,115.486,,"LINESTRING (-58.6893644 -34.4094135, -58.6886866 -34.4102887)",,
1176331960,La Rioja,residential,40,False,True,116.617,,"LINESTRING (-58.6893644 -34.4094135, -58.6900661 -34.408539)",,
57919138,General Roca,residential,40,False,True,116.995,,"LINESTRING (-58.694637 -34.412231, -58.6935722 -34.4116519)",,
57919574,Avenida Marabotto,residential,,False,False,115.058,,"LINESTRING (-58.694637 -34.412231, -58.6939702 -34.4131074)",,
57919574,Avenida Marabotto,residential,,False,True,115.389,,"LINESTRING (-58.694637 -34.412231, -58.6953136 -34.4113562)",,
57919137,Catamarca,residential,40,False,False,114.945,,"LINESTRING (-58.6855825 -34.4123684, -58.6862537 -34.4114955)",,
57919137,Catamarca,residential,40,False,True,115.074,,"LINESTRING (-58.6855825 -34.4123684, -58.6849013 -34.4132374)",,
57919454,Moreno,residential,,False,False,115.065,2,"LINESTRING (-58.6855825 -34.4123684, -58.6866324 -34.4129346)",,
57919454,Moreno,residential,,False,True,114.438,2,"LINESTRING (-58.6855825 -34.4123684, -58.6845301 -34.4118158)",,
281239844,Avenida Alvear,tertiary,40,False,False,115.23,2,"LINESTRING (-58.6869482 -34.4106134, -58.685891 -34.4100538)",,
281239844,Avenida Alvear,tertiary,40,False,True,115.645,2,"LINESTRING (-58.6869482 -34.4106134, -58.6880065 -34.4111785)",,
1176331296,Catamarca,residential,40,False,False,117.855,,"LINESTRING (-58.6869482 -34.4106134, -58.6876419 -34.4097213)",,
57919447,General Manuel Belgrano,residential,40,False,False,115.583,,"LINESTRING (-58.6886866 -34.4102887, -58.6897483 -34.4108484)",,
57919447,General Manuel Belgrano,residential,40,False,True,114.741,,"LINESTRING (-58.6886866 -34.4102887, -58.6876419 -34.4097213)",,
