osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,ref
38696605,True,Chacabuco,residential,40,False,92.088,,"LINESTRING (-60.7070093 -32.8581285, -60.7066934 -32.858913)",
42386768,True,Eva Perón,residential,40,False,150.177,2,"LINESTRING (-60.7070093 -32.8581285, -60.7086155 -32.8581887)",
695818006,False,,living_street,20,True,201.356,2,"LINESTRING (-60.7070093 -32.8581285, -60.70705 -32.8580127, -60.7071766 -32.8576523, -60.70722 -32.8575288, -60.7076194 -32.8563917)",
42386768,True,Eva Perón,residential,40,False,153.128,2,"LINESTRING (-60.7053718 -32.8580624, -60.7070093 -32.8581285)",
1245095223,True,Arenales,residential,40,False,13.786,2,"LINESTRING (-60.7035714 -32.8581265, -60.7034848 -32.8580261)",
"[1245095217, 160692116]",True,Avenida José de San Martín,primary,60,False,127.77100000000002,2,"LINESTRING (-60.7035714 -32.8581265, -60.7035484 -32.8582029, -60.7034668 -32.8584746, -60.7032833 -32.859085, -60.7032365 -32.8592406)",RN11
42386768,True,Eva Perón,residential,40,False,151.34,2,"LINESTRING (-60.7086155 -32.8581887, -60.709681 -32.8582302, -60.7100123 -32.8582431, -60.710234 -32.8582517)",
638873760,False,Eva Perón,residential,40,False,7.518,2,"LINESTRING (-60.710234 -32.8582517, -60.7103144 -32.8582548)",
1245095217,True,Avenida José de San Martín,primary,60,False,12.272,2,"LINESTRING (-60.7036036 -32.8580195, -60.7035714 -32.8581265)",RN11
"[1245095218, 695818012]",True,Eva Perón,residential,40,False,29.078,,"LINESTRING (-60.7036036 -32.8580195, -60.7037618 -32.8580127, -60.7039145 -32.8580061)",
1245095222,False,José Manuel Estrada,residential,40,True,11.051,2,"LINESTRING (-60.7033666 -32.8580217, -60.7034848 -32.8580261)",
"[513188032, 1245095220]",True,Avenida José de San Martín,primary,60,False,99.33000000000001,2,"LINESTRING (-60.7033666 -32.8580217, -60.7033996 -32.8579147, -60.7034029 -32.8579014, -60.7036334 -32.857157)",RN11
606501771,False,Constancio C. Vigil,residential,40,False,31.699,2,"LINESTRING (-60.7040443 -32.850466, -60.7043834 -32.8504767)",
38696655,False,Eva Perón,residential,40,False,7.78,2,"LINESTRING (-60.7122243 -32.8583291, -60.7123075 -32.8583324)",
38696655,False,Eva Perón,residential,40,True,86.995,2,"LINESTRING (-60.7122243 -32.8583291, -60.7112939 -32.8582935)",
38743876,True,Avenida Santa Fe,secondary,40,False,81.547,2,"LINESTRING (-60.7122243 -32.8583291, -60.7124812 -32.8576282)",
38743879,False,Baigorrita,residential,40,True,85.975,2,"LINESTRING (-60.7118825 -32.8565815, -60.7127667 -32.8567963)",
