osmid,lanes,highway,junction,oneway,reversed,length,geometry,name,maxspeed,ref,access
264853449,2,secondary,roundabout,True,False,11.707,"LINESTRING (-58.3888322 -34.8003227, -58.3888813 -34.8003566, -58.3889189 -34.8003992)",,,,
376293610,,residential,,True,False,112.975,"LINESTRING (-58.3889189 -34.8003992, -58.3901389 -34.8002299)",Tomás Nother,40,,
264853449,2,secondary,roundabout,True,False,24.656999999999996,"LINESTRING (-58.3889189 -34.8003992, -58.3889484 -34.800469, -58.3889475 -34.8005429, -58.3889164 -34.8006123)",,,,
481288175,2,secondary,roundabout,True,False,8.236,"LINESTRING (-58.3889164 -34.8006123, -58.3888585 -34.8006691)",,,,
28292042,1,secondary,,True,False,26.259999999999998,"LINESTRING (-58.3888585 -34.8006691, -58.3887628 -34.800792, -58.3887216 -34.8008757)",Avenida Espora,,RP210,
481288176,2,secondary,roundabout,True,False,24.753,"LINESTRING (-58.3888585 -34.8006691, -58.3887805 -34.8007066, -58.3886917 -34.8007203, -58.3886025 -34.8007085)",,,,
376293056,2,residential,,False,True,161.007,"LINESTRING (-58.3884587 -34.80061, -58.388093 -34.8010288, -58.3874416 -34.8017928)",Juan José Castelli,40,,
481288178,2,secondary,roundabout,True,False,23.349,"LINESTRING (-58.3884587 -34.80061, -58.3884295 -34.8005442, -58.3884274 -34.8004742, -58.3884526 -34.8004074)",,,,
481288178,2,secondary,roundabout,True,False,17.512,"LINESTRING (-58.3884526 -34.8004074, -58.3884878 -34.8003636, -58.3885349 -34.8003281, -58.388591 -34.8003029)",,,,
58098031,2,secondary,,True,False,93.071,"LINESTRING (-58.388591 -34.8003029, -58.3886454 -34.8002334, -58.3886704 -34.800176, -58.388675 -34.8001033, -58.3886817 -34.7994827)",Avenida Espora,,RP210,
481288177,2,secondary,roundabout,True,False,22.902,"LINESTRING (-58.388591 -34.8003029, -58.3886726 -34.800288, -58.3887558 -34.8002948, -58.3888322 -34.8003227)",,,,
