osmid,name,highway,oneway,reversed,length,ref,bridge,geometry,maxspeed,lanes
37948517,Remedios de Escalada,secondary,False,True,65.494,,,"LINESTRING (-64.3130911 -31.1733272, -64.3125551 -31.1736968)",,
"[747933400, 295172889, 747933399]",Avenida San Martín,secondary,False,False,72.3,RPE57,yes,"LINESTRING (-64.3130911 -31.1733272, -64.3132071 -31.1732437, -64.3133281 -31.1731567, -64.3134301 -31.1730833, -64.3135249 -31.1730151, -64.3136727 -31.1729087)",,
558953351,Avenida San Martín,secondary,False,True,101.63499999999999,RPE57,,"LINESTRING (-64.3130911 -31.1733272, -64.3133809 -31.1737407, -64.3134288 -31.1738434, -64.3134625 -31.1739339, -64.3135279 -31.1741532)",,
82536819,Mitre,residential,False,False,277.115,,,"LINESTRING (-64.3145573 -31.1720536, -64.3133497 -31.1711253, -64.3135093 -31.1706721, -64.3135697 -31.1705034, -64.3136856 -31.170061)",,
747933400,Avenida San Martín,secondary,False,False,93.283,RPE57,,"LINESTRING (-64.3145573 -31.1720536, -64.3149651 -31.1716607, -64.3152198 -31.1714354)",,
747933400,Avenida San Martín,secondary,False,True,126.982,RPE57,,"LINESTRING (-64.3145573 -31.1720536, -64.3137926 -31.1727888, -64.3136727 -31.1729087)",,
37948517,Remedios de Escalada,secondary,False,False,12.203,,,"LINESTRING (-64.3124435 -31.1737509, -64.3125551 -31.1736968)",,
37948517,Remedios de Escalada,secondary,False,True,73.875,,,"LINESTRING (-64.3124435 -31.1737509, -64.3119112 -31.1739412, -64.3117343 -31.1740203)",,
79513916,Avenida Sarmiento,tertiary,False,False,234.29700000000003,,,"LINESTRING (-64.3124435 -31.1737509, -64.3124184 -31.1736179, -64.3124234 -31.173585, -64.312733 -31.171664)",,
79513916,Avenida Sarmiento,tertiary,False,False,58.714,,,"LINESTRING (-64.3130642 -31.1691333, -64.313062 -31.1691025, -64.3130321 -31.1686835, -64.3130278 -31.1686062)",,
