osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,ref,junction
182876968,False,Avenida San Lorenzo,secondary,False,54.773,"LINESTRING (-68.0706863 -38.8303637, -68.0701917 -38.8300568)",,,,
182876966,True,,secondary,False,26.101,"LINESTRING (-68.0706863 -38.8303637, -68.0707953 -38.8304187, -68.0708548 -38.8304351, -68.0709621 -38.8304468)",,,,
156363218,False,Avenida Argentina,secondary,False,99.643,"LINESTRING (-68.0619728 -38.8308234, -68.0628728 -38.8313815)",2,40,,
182878108,False,Ingeniero Julian Romero,tertiary,False,52.497,"LINESTRING (-68.0619728 -38.8308234, -68.0615076 -38.8305208)",,,,
1183484227,False,Avenida General Roca,secondary,True,103.556,"LINESTRING (-68.0619728 -38.8308234, -68.0627145 -38.830093)",2,40,,
182957195,True,Florentino Ameghino,residential,False,102.332,"LINESTRING (-68.0705751 -38.8268033, -68.0713089 -38.8260821)",,,,
336606307,False,Avenida Sarmiento,secondary,False,101.849,"LINESTRING (-68.0705751 -38.8268033, -68.0714938 -38.8273749)",2,40,RP70,
336606307,False,Avenida Sarmiento,secondary,True,98.968,"LINESTRING (-68.0705751 -38.8268033, -68.069684 -38.8262463)",2,40,RP70,
182876968,False,Avenida San Lorenzo,secondary,False,101.176,"LINESTRING (-68.0693075 -38.8295083, -68.0683938 -38.8289415)",,,,
182876968,False,Avenida San Lorenzo,secondary,True,97.909,"LINESTRING (-68.0693075 -38.8295083, -68.0701917 -38.8300568)",,,,
182894539,True,Almirante Brown,residential,False,102.097,"LINESTRING (-68.0693075 -38.8295083, -68.0685722 -38.8302259)",,,,
182878111,False,Avenida Sarmiento,secondary,False,104.707,"LINESTRING (-68.0678046 -38.8250799, -68.0687556 -38.8256611)",2,40,RP70,
182894530,False,Avenida General Roca,tertiary,True,106.093,"LINESTRING (-68.0678046 -38.8250799, -68.0685644 -38.8243316)",2,40,,
336606305,False,Avenida General Roca,secondary,False,102.336,"LINESTRING (-68.0678046 -38.8250799, -68.0670717 -38.8258017)",2,40,,
"[79870085, 336606309]",False,"['Avenida Doctor Blumetti', 'Avenida Sarmiento']",secondary,False,157.185,"LINESTRING (-68.0678046 -38.8250799, -68.0672902 -38.8247553, -68.0671863 -38.8246898, -68.0669864 -38.8245625, -68.0663975 -38.8241874)",2,40,RP70,
182894530,False,Avenida General Roca,tertiary,False,100.157,"LINESTRING (-68.0692806 -38.8236245, -68.0685644 -38.8243316)",2,40,,
237593510,False,Avenida Cipolletti,tertiary,False,53.933,"LINESTRING (-68.0692806 -38.8236245, -68.0687833 -38.8233327)",,,,
336606301,False,Avenida General Paz,tertiary,True,104.553,"LINESTRING (-68.0692806 -38.8236245, -68.0702226 -38.8242123)",2,40,,
182876970,True,,secondary,False,29.872,"LINESTRING (-68.0708119 -38.8306056, -68.0707902 -38.8304866, -68.0707577 -38.8304307, -68.0706863 -38.8303637)",,,,
182876976,True,,secondary,False,23.387,"LINESTRING (-68.0708119 -38.8306056, -68.0708358 -38.8305254, -68.0708881 -38.8304782, -68.0709621 -38.8304468)",,,,roundabout
182876976,True,,secondary,False,10.5,"LINESTRING (-68.0712194 -38.8308501, -68.0710982 -38.8308517)",,,,roundabout
182876960,True,,residential,False,25.517,"LINESTRING (-68.0711713 -38.8304468, -68.0712704 -38.8304393, -68.0713508 -38.8304142, -68.0714234 -38.8303515)",,,,
