osmid,oneway,name,highway,reversed,length,maxspeed,lanes,ref,geometry,junction
260051924,True,Julio Argentino Roca,residential,False,112.126,,,,"LINESTRING (-72.2677606 -50.3397808, -72.2693302 -50.339896)",
260051938,True,1 de Mayo,residential,False,112.346,40,,,"LINESTRING (-72.2677606 -50.3397808, -72.2676299 -50.3407877)",
50447489,True,Los Gauchos,residential,False,119.115,,,,"LINESTRING (-72.2686167 -50.3349942, -72.2669494 -50.334872)",
265899988,True,Exequiel Bustillo,residential,False,125.627,40,,,"LINESTRING (-72.2686167 -50.3349942, -72.2684092 -50.3361162)",
260311646,True,Gobernador Gregores,residential,False,118.551,40,,,"LINESTRING (-72.268214 -50.3371861, -72.2665551 -50.3370613)",
265899988,True,Exequiel Bustillo,residential,False,118.697,40,,,"LINESTRING (-72.268214 -50.3371861, -72.2680192 -50.3382463)",
46846824,True,25 de Mayo,residential,False,119.751,40,,,"LINESTRING (-72.2665551 -50.3370613, -72.2667478 -50.3359914)",
46846824,True,25 de Mayo,residential,False,12.469,40,,,"LINESTRING (-72.2663438 -50.3382338, -72.2663639 -50.3381224)",
260311636,True,Avenida del Libertador,primary,False,118.863,40,2,RP11,"LINESTRING (-72.2754553 -50.3389223, -72.2737927 -50.3387933)",
265898726,True,Casimiro Biguá,residential,False,164.322,,,,"LINESTRING (-72.2754553 -50.3389223, -72.2751736 -50.3403891)",
"[107720800, 795804447]",True,Avenida 17 de Octubre,secondary,False,41.237,40,2,RP15,"LINESTRING (-72.2728027 -50.3424913, -72.272878 -50.3424088, -72.2729107 -50.3423697, -72.2729467 -50.3423255, -72.2729749 -50.3422846, -72.272996 -50.3422472, -72.273009 -50.3422064, -72.273019 -50.3421516)",
913980563,True,Avenida 17 de Octubre,secondary,False,7.915,30,2,RP15,"LINESTRING (-72.2728027 -50.3424913, -72.2728393 -50.3424872, -72.2728765 -50.3424869, -72.2729132 -50.3424907)",roundabout
260052473,True,Avenida del Libertador,primary,False,110.187,40,2,RP11,"LINESTRING (-72.2736319 -50.3387808, -72.2720898 -50.3386658)",
260052478,True,Avenida 17 de Octubre,secondary,False,12.196,,,RP15,"LINESTRING (-72.2736319 -50.3387808, -72.2736536 -50.338672)",
30449061,True,Campaña del Desierto,residential,False,92.057,40,,,"LINESTRING (-72.2676299 -50.3407877, -72.2663402 -50.3406989)",
