osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,maxspeed,bridge,junction
560521820,True,2,Vélez Sarsfield,secondary,False,33.193,"LINESTRING (-64.3092449 -31.3168437, -64.3095651 -31.3169632)",,,,
854671707,False,2,Vélez Sarsfield,secondary,True,18.477,"LINESTRING (-64.3092449 -31.3168437, -64.3092231 -31.3168067, -64.3091574 -31.3166953)",,,,
560521819,True,2,Amelia Juárez Núñez,residential,False,22.301,"LINESTRING (-64.3095651 -31.3169632, -64.3093962 -31.3171025)",,,,
58177338,False,2,Vélez Sarsfield,secondary,False,45.586,"LINESTRING (-64.3095651 -31.3169632, -64.3097475 -31.3169633, -64.3098854 -31.3169562, -64.3100444 -31.3169475)",,,,
58177339,False,2,John Kennedy,residential,False,129.859,"LINESTRING (-64.3083777 -31.3166755, -64.3083668 -31.3165806, -64.3083464 -31.3164807, -64.3082818 -31.3161047, -64.3083027 -31.3160041, -64.3083503 -31.3159195, -64.3084152 -31.3158353, -64.3085577 -31.3157316, -64.308705 -31.3156847)",,,,
270784897,False,2,John Kennedy,residential,False,137.005,"LINESTRING (-64.3083777 -31.3166755, -64.3082231 -31.316828, -64.3078044 -31.3172411, -64.3077386 -31.3172731, -64.3074958 -31.3173346, -64.3074314 -31.3173626, -64.307322 -31.3174684)",,,,
560521814,False,2,Amelia Juárez Núñez,residential,True,177.877,"LINESTRING (-64.3083777 -31.3166755, -64.3084273 -31.3169567, -64.3084342 -31.3170296, -64.3084378 -31.3170673, -64.3084423 -31.3171147, -64.3084746 -31.3171702, -64.3088621 -31.3174403, -64.308919 -31.31748, -64.308968 -31.3175142, -64.3093384 -31.317158, -64.3093962 -31.3171025)",,,,
140038964,False,,Avenida Latinoamérica,secondary,False,125.75300000000001,"LINESTRING (-64.3128153 -31.3129815, -64.312797 -31.3129185, -64.3127311 -31.3128149, -64.3126328 -31.3127167, -64.3122948 -31.3124298, -64.3121209 -31.3122689, -64.3120596 -31.3122011, -64.311993 -31.3121103)",RPE64,40,,
266756865,False,,Manantial,residential,False,158.99599999999998,"LINESTRING (-64.3128153 -31.3129815, -64.3128518 -31.3129048, -64.3130955 -31.3115739)",,,,
854671698,False,,Avenida Latinoamérica,secondary,True,168.849,"LINESTRING (-64.3128153 -31.3129815, -64.3127974 -31.313262, -64.3127644 -31.3135206, -64.312617 -31.3144899)",RPE64,40,,
