osmid,oneway,name,highway,reversed,length,geometry,access
93609786,True,Avenida Las Hortensias,residential,False,51.481,"LINESTRING (-57.9149932 -30.9899793, -57.9149376 -30.9899855, -57.9144717 -30.9900979)",
93532527,False,Las Camelias,residential,True,55.29,"LINESTRING (-57.9151778 -30.9867865, -57.9146723 -30.9865427)",
93532527,False,Las Camelias,residential,False,75.927,"LINESTRING (-57.9151778 -30.9867865, -57.915637 -30.986998, -57.9158768 -30.9871138)",
41017812,False,Pio XII,residential,False,149.114,"LINESTRING (-57.9158768 -30.9871138, -57.9166084 -30.9859285)",
41017812,False,Pio XII,residential,True,151.896,"LINESTRING (-57.9158768 -30.9871138, -57.9151315 -30.9883212)",
93532527,False,Las Camelias,residential,True,75.927,"LINESTRING (-57.9158768 -30.9871138, -57.915637 -30.986998, -57.9151778 -30.9867865)",
93532545,True,Las Camelias,residential,False,75.946,"LINESTRING (-57.9194074 -30.9887591, -57.9187137 -30.9884232)",
294267915,True,Belgrano,residential,False,150.452,"LINESTRING (-57.9194074 -30.9887591, -57.9201428 -30.9875619)",
93532516,True,Juan Bautista Alberdi,residential,False,151.626,"LINESTRING (-57.9203177 -30.9828724, -57.9210624 -30.9816675)",
93535706,True,Los Jazmines,residential,False,74.145,"LINESTRING (-57.9203177 -30.9828724, -57.9196372 -30.9825495)",
93532545,True,Las Camelias,residential,False,73.878,"LINESTRING (-57.9214773 -30.9897233, -57.9207965 -30.9894058)",
294267910,False,Urquiza,residential,True,151.196,"LINESTRING (-57.9214773 -30.9897233, -57.9222254 -30.9885243)",
41017812,False,Pio XII,residential,False,149.589,"LINESTRING (-57.9143976 -30.9895103, -57.9151315 -30.9883212)",
93532567,True,Avenida Las Hortensias,residential,False,16.755,"LINESTRING (-57.9143976 -30.9895103, -57.9145489 -30.989587)",
93535707,True,Las Magnolias,residential,False,74.92,"LINESTRING (-57.9210624 -30.9816675, -57.9217555 -30.9819851)",
41017812,False,Pio XII,residential,False,35.012,"LINESTRING (-57.9166084 -30.9859285, -57.9167802 -30.9856502)",
41017812,False,Pio XII,residential,True,149.114,"LINESTRING (-57.9166084 -30.9859285, -57.9158768 -30.9871138)",
93532533,False,Las Rosas,residential,True,34.818,"LINESTRING (-57.9166084 -30.9859285, -57.9169299 -30.9860771)",
