osmid,oneway,name,highway,reversed,length,lanes,maxspeed,geometry
75112493,True,Zelarrayán,residential,False,136.725,,,"LINESTRING (-62.2657065 -38.7161758, -62.2668457 -38.7153262)"
75112472,True,Sarmiento,primary,False,36.319,2,30,"LINESTRING (-62.2657065 -38.7161758, -62.2657634 -38.7162222, -62.2659963 -38.7164115)"
74516068,True,Zelarrayán,residential,False,134.747,,,"LINESTRING (-62.2668457 -38.7153262, -62.267953 -38.7144765)"
74516072,True,Rodríguez,residential,False,143.676,,,"LINESTRING (-62.2668457 -38.7153262, -62.2656854 -38.7144043)"
74516068,True,Zelarrayán,residential,False,140.233,,,"LINESTRING (-62.267953 -38.7144765, -62.2690957 -38.7135846)"
270244026,True,19 de Mayo,residential,False,206.89600000000002,,,"LINESTRING (-62.267953 -38.7144765, -62.2686493 -38.7150582, -62.2687756 -38.7151637, -62.2695807 -38.7158363)"
27122600,True,Chiclana,primary,False,77.087,3,30,"LINESTRING (-62.2663158 -38.7183068, -62.2662172 -38.7183829, -62.2656838 -38.7187941)"
446372799,False,Avenida Colón,primary,True,141.44299999999998,4,30,"LINESTRING (-62.2663158 -38.7183068, -62.2664083 -38.7183798, -62.2674625 -38.719211)"
75415229,True,Estomba,secondary,False,140.773,,,"LINESTRING (-62.2707448 -38.7149544, -62.2695807 -38.7158363)"
142496491,True,11 de Abril,residential,False,208.978,,,"LINESTRING (-62.2707448 -38.7149544, -62.2690957 -38.7135846)"
75415229,True,Estomba,secondary,False,133.276,,,"LINESTRING (-62.2695807 -38.7158363, -62.2684584 -38.7166547)"
27082600,True,Rodríguez,residential,False,203.46800000000002,,,"LINESTRING (-62.2684584 -38.7166547, -62.2678429 -38.7161491, -62.2668457 -38.7153262)"
75114130,True,Estomba,secondary,False,135.285,,,"LINESTRING (-62.2684584 -38.7166547, -62.2679541 -38.7170435, -62.2678072 -38.7171568, -62.2673493 -38.7175099)"
27052071,True,Moreno,residential,False,142.945,,,"LINESTRING (-62.2673493 -38.7175099, -62.2679484 -38.7180053, -62.2684857 -38.7184407)"
73255164,True,Estomba,primary,False,47.226,3,30,"LINESTRING (-62.2673493 -38.7175099, -62.2672635 -38.7175761, -62.2669622 -38.7178085)"
446372799,False,Avenida Colón,primary,True,108.379,4,30,"LINESTRING (-62.2674625 -38.719211, -62.2683386 -38.7199058)"
27052069,True,Vicente López,residential,False,123.35499999999999,1,40,"LINESTRING (-62.2674625 -38.719211, -62.268041 -38.7187756, -62.2684857 -38.7184407)"
446372799,False,Avenida Colón,primary,False,141.44299999999998,4,30,"LINESTRING (-62.2674625 -38.719211, -62.2664083 -38.7183798, -62.2663158 -38.7183068)"
27056027,True,Saavedra,residential,False,138.539,,,"LINESTRING (-62.2694476 -38.7207761, -62.268321 -38.7216591)"
160464618,False,Avenida Colón,primary,True,147.252,4,40,"LINESTRING (-62.2694476 -38.7207761, -62.2694974 -38.7208154, -62.2698667 -38.7211065, -62.2706415 -38.7217174)"
160464620,False,Avenida Colón,primary,False,136.461,4,30,"LINESTRING (-62.2694476 -38.7207761, -62.2688309 -38.7202922, -62.2687343 -38.7202164, -62.2686226 -38.7201286, -62.2683386 -38.7199058)"
160464618,False,Avenida Colón,primary,False,147.252,4,40,"LINESTRING (-62.2706415 -38.7217174, -62.2698667 -38.7211065, -62.2694974 -38.7208154, -62.2694476 -38.7207761)"
73255184,True,Chiclana,primary,False,127.602,3,30,"LINESTRING (-62.2641702 -38.7199613, -62.2631245 -38.7207683)"
142497496,True,Donado,residential,False,246.77200000000002,,,"LINESTRING (-62.2641702 -38.7199613, -62.2647736 -38.720477, -62.2652426 -38.7208798, -62.2653882 -38.7210038, -62.2660887 -38.7215998)"
27053786,True,Las Heras,residential,False,199.494,1,40,"LINESTRING (-62.2631245 -38.7207683, -62.2625695 -38.7203272, -62.2623369 -38.7201424, -62.2621302 -38.7199781, -62.2615135 -38.7194881)"
74724938,True,Chiclana,primary,False,139.693,3,40,"LINESTRING (-62.2631245 -38.7207683, -62.2629509 -38.7208993, -62.2625193 -38.7212318, -62.2619771 -38.7216497)"
75193811,True,San Martín,residential,False,140.655,,40,"LINESTRING (-62.2603903 -38.7204003, -62.2615135 -38.7194881)"
28408742,True,Lavalle,residential,False,195.583,,40,"LINESTRING (-62.2603903 -38.7204003, -62.2604446 -38.7204435, -62.2612057 -38.721049, -62.2619251 -38.7216082, -62.2619771 -38.7216497)"
74709025,True,Las Heras,residential,False,128.913,1,40,"LINESTRING (-62.2615135 -38.7194881, -62.2604613 -38.7186695)"
74709049,True,San Martín,residential,False,133.75,,,"LINESTRING (-62.2615135 -38.7194881, -62.2620495 -38.7190669, -62.2621616 -38.7189789, -62.2625998 -38.7186346)"
431340128,True,San Martín,residential,False,135.081,,,"LINESTRING (-62.2625998 -38.7186346, -62.2636792 -38.7177591)"
