osmid,oneway,lanes,highway,maxspeed,reversed,length,name,geometry,tunnel,ref,bridge
"[407414005, 617888639]",True,1,"['residential', 'primary_link']",40,False,218.608,Calle 58,"LINESTRING (-58.1571215 -34.7898999, -58.1570838 -34.7899367, -58.1570438 -34.7899772, -58.1569999 -34.7900141, -58.1560885 -34.7906138, -58.1555367 -34.7898887)",,,
"[585997824, 585995941, 633916055, 633916056, 617888637]",True,1,primary_link,40,False,265.776,,"LINESTRING (-58.1571215 -34.7898999, -58.1568669 -34.7900489, -58.1566276 -34.790187, -58.1563357 -34.7903577, -58.156286 -34.7903925, -58.1562367 -34.7904549, -58.1562264 -34.7904832, -58.1562149 -34.7905326, -58.1562278 -34.7905941, -58.1562637 -34.7906423, -58.1564029 -34.7907842, -58.1565183 -34.7908689, -58.1566525 -34.790975, -58.1568306 -34.7911177, -58.1569154 -34.7912064, -58.1570361 -34.7913473, -58.1572565 -34.7916118)",yes,,
51862784,False,,residential,,False,103.273,Calle 60,"LINESTRING (-58.1530465 -34.7913069, -58.1522574 -34.7906416)",,,
322984566,False,,residential,40,False,125.423,Calle 161,"LINESTRING (-58.1530465 -34.7913069, -58.1519182 -34.7919501)",,,
322984566,False,,residential,40,True,83.396,Calle 161,"LINESTRING (-58.1530465 -34.7913069, -58.1537967 -34.7908792)",,,
51862784,False,,residential,,False,112.383,Calle 60,"LINESTRING (-58.151489 -34.789976, -58.1506104 -34.7892683)",,,
51862784,False,,residential,,True,101.987,Calle 60,"LINESTRING (-58.151489 -34.789976, -58.1522574 -34.7906416)",,,
136735455,False,,residential,,False,116.008,Calle 163,"LINESTRING (-58.151489 -34.789976, -58.1525058 -34.7893506)",,,
136735455,False,,residential,,True,96.905,Calle 163,"LINESTRING (-58.151489 -34.789976, -58.1506621 -34.7905222)",,,
51862784,False,,residential,,False,101.987,Calle 60,"LINESTRING (-58.1522574 -34.7906416, -58.151489 -34.789976)",,,
51862784,False,,residential,,True,103.273,Calle 60,"LINESTRING (-58.1522574 -34.7906416, -58.1530465 -34.7913069)",,,
587919064,False,2,residential,40,False,110.344,Calle 162,"LINESTRING (-58.1522574 -34.7906416, -58.1512636 -34.7912061)",,,
587919064,False,2,residential,40,True,100.299,Calle 162,"LINESTRING (-58.1522574 -34.7906416, -58.1531514 -34.7901176)",,,
136708515,False,,residential,40,True,220.335,Calle 60,"LINESTRING (-58.1572747 -34.7949812, -58.1556209 -34.7935383)",,,
51871107,False,,residential,,False,70.273,Calle 61,"LINESTRING (-58.1550414 -34.794025, -58.1555755 -34.79448)",,,
136708512,False,,residential,,False,75.69,Calle 158,"LINESTRING (-58.1550414 -34.794025, -58.1556209 -34.7935383)",,,
51871107,False,,residential,,True,70.273,Calle 61,"LINESTRING (-58.1555755 -34.79448, -58.1550414 -34.794025)",,,
51871112,False,,residential,,False,59.739,Calle 157 A,"LINESTRING (-58.1555755 -34.79448, -58.1551036 -34.7948521)",,,
51871112,False,,residential,,True,59.739,Calle 157 A,"LINESTRING (-58.1551036 -34.7948521, -58.1555755 -34.79448)",,,
136708512,False,,residential,,True,75.69,Calle 158,"LINESTRING (-58.1556209 -34.7935383, -58.1550414 -34.794025)",,,
136708515,False,,residential,40,False,220.335,Calle 60,"LINESTRING (-58.1556209 -34.7935383, -58.1572747 -34.7949812)",,,
136708515,False,,residential,40,True,147.02100000000002,Calle 60,"LINESTRING (-58.1556209 -34.7935383, -58.1556499 -34.7934726, -58.1556311 -34.7934013, -58.1546371 -34.7925501)",,,
510223861,False,,living_street,,False,25.55,,"LINESTRING (-58.1544941 -34.7927476, -58.1546371 -34.7925501)",,,
