osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel
"[302694729, 1018329870, 1018329871]",True,"['2', '3']",Avenida Ricardo Vicuña,primary,50,False,87.061,"LINESTRING (-72.3474149 -37.4732813, -72.34735 -37.4732852, -72.3473071 -37.4732898, -72.3471932 -37.4732958, -72.3470814 -37.4733018, -72.3470253 -37.4733033, -72.3469557 -37.4733008, -72.3468891 -37.4732948, -72.3468156 -37.4732842, -72.3467575 -37.4732729, -72.3467039 -37.4732558, -72.3466496 -37.4732377, -72.3465553 -37.4732154, -72.3464473 -37.4732008)",,
158436440,True,2,Freire,primary,30,False,140.24099999999999,"LINESTRING (-72.3495279 -37.4731685, -72.3495303 -37.473202, -72.3495447 -37.4733709, -72.3496097 -37.4741559, -72.3496285 -37.4743821, -72.3496322 -37.474427)",,
346407863,True,2,Avenida Ricardo Vicuña,primary,50,False,12.346,"LINESTRING (-72.3495279 -37.4731685, -72.3494632 -37.473173, -72.3493884 -37.4731767)",,
166902041,True,2,Avenida Ricardo Vicuña,primary,50,False,39.808,"LINESTRING (-72.3543266 -37.4728671, -72.3538768 -37.4728941)",,
167413727,True,2,José Manso de Velasco,secondary,50,False,12.918,"LINESTRING (-72.3472943 -37.4702854, -72.3472995 -37.4704015)",,
1058027175,True,2,Lautaro,primary,30,False,80.731,"LINESTRING (-72.3472943 -37.4702854, -72.348209 -37.4702757)",,
86123886,False,2,Volcán Villarica,residential,50,True,81.577,"LINESTRING (-72.3469731 -37.4671705, -72.3468839 -37.467076, -72.3467693 -37.4669783, -72.3463371 -37.4666396)",,
"[167150117, 167150116, 167150109]",False,2,,residential,50,False,17.994,"LINESTRING (-72.3469731 -37.4671705, -72.3469912 -37.4671563, -72.3470751 -37.4670866, -72.3471142 -37.4670537)",yes,
"[829907123, 33826742]",False,2,"['José Manso de Velasco', 'Volcán Villarica']",residential,50,False,54.184,"LINESTRING (-72.3469731 -37.4671705, -72.3470221 -37.4672462, -72.3470767 -37.4673363, -72.3470839 -37.4673501, -72.3471504 -37.4674769, -72.3471856 -37.4676242)",,
33826742,False,2,José Manso de Velasco,residential,50,False,45.405,"LINESTRING (-72.3471856 -37.4676242, -72.347224 -37.4680314)",,
86123265,False,1,Volcán Chillán,living_street,30,True,56.739,"LINESTRING (-72.3471856 -37.4676242, -72.3465608 -37.467504)",,
"[829907123, 33826742]",False,2,"['José Manso de Velasco', 'Volcán Villarica']",residential,50,True,54.184000000000005,"LINESTRING (-72.3471856 -37.4676242, -72.3471504 -37.4674769, -72.3470839 -37.4673501, -72.3470767 -37.4673363, -72.3470221 -37.4672462, -72.3469731 -37.4671705)",,
167413727,True,2,José Manso de Velasco,secondary,50,False,142.224,"LINESTRING (-72.347345 -37.4715437, -72.3473931 -37.4727273, -72.3473964 -37.4728221)",,
166902041,True,2,Avenida Ricardo Vicuña,primary,50,False,139.654,"LINESTRING (-72.3511062 -37.473081, -72.3510218 -37.4730903, -72.3508794 -37.4731011, -72.3505867 -37.4731189, -72.3505038 -37.4731246, -72.3495985 -37.4731643, -72.3495279 -37.4731685)",,
"[1017142594, 1017142595, 33845174]",True,2,Colón,tertiary,"['50', '30']",False,60.803000000000004,"LINESTRING (-72.3511062 -37.473081, -72.3511014 -37.4730365, -72.3510983 -37.4729826, -72.3510799 -37.4726673, -72.3510779 -37.4726326, -72.35108 -37.4726152, -72.3510722 -37.4725351)",,
166902041,True,2,Avenida Ricardo Vicuña,primary,50,False,139.78300000000002,"LINESTRING (-72.352683 -37.4729658, -72.3526092 -37.4729702, -72.3515877 -37.4730315, -72.3515814 -37.4730319, -72.3511062 -37.473081)",,
1018582088,True,2,San Martín,secondary,30,False,141.533,"LINESTRING (-72.352683 -37.4729658, -72.3526885 -37.4730264, -72.3527443 -37.4736477, -72.3527939 -37.4741998, -72.3527971 -37.4742354)",,
33815859,True,2,Avenida Ricardo Vicuña,primary,50,False,126.267,"LINESTRING (-72.3510722 -37.4725351, -72.3517411 -37.4724953, -72.352499 -37.4724503)",,
