osmid,name,highway,oneway,reversed,length,lanes,geometry,ref,bridge
85400353,Manquehuita,residential,False,False,110.752,,"LINESTRING (-71.7247414 -34.1173736, -71.7252404 -34.1182799)",,
85400353,Manquehuita,residential,False,True,33.0,,"LINESTRING (-71.7247414 -34.1173736, -71.7245611 -34.1171171)",,
233679444,Camino Manquehue,residential,False,True,119.571,2,"LINESTRING (-71.7247414 -34.1173736, -71.7250405 -34.1172907, -71.7260158 -34.117186)",,
233679444,Camino Manquehue,residential,False,False,88.316,2,"LINESTRING (-71.7269656 -34.1170742, -71.7260158 -34.117186)",,
"[143070892, 52433814, 143070895]",Hermanos Carrera,primary,False,False,336.16999999999996,2,"LINESTRING (-71.7269656 -34.1170742, -71.7270219 -34.1174295, -71.7270675 -34.1177048, -71.7271802 -34.1180512, -71.727199 -34.1181378, -71.7272097 -34.1182333, -71.7271909 -34.1183132, -71.7271453 -34.1184287, -71.7270622 -34.1185597, -71.727038 -34.1186397, -71.7270327 -34.1187263, -71.7270541 -34.1187862, -71.7271006 -34.1188457, -71.7271131 -34.1188617, -71.7273601 -34.1190754, -71.7275967 -34.1192446, -71.7276998 -34.1193657, -71.7277508 -34.1195131, -71.7277244 -34.1196898, -71.7276948 -34.1198254)",I-62-G,yes
52433814,Hermanos Carrera,primary,False,True,154.138,2,"LINESTRING (-71.7269656 -34.1170742, -71.7268533 -34.1163887, -71.7268385 -34.1163104, -71.7267239 -34.1157026)",I-62-G,
"[93998641, 28598084, 93998639]",La Concepción,secondary,False,True,179.169,2,"LINESTRING (-71.7269656 -34.1170742, -71.7280976 -34.1169818, -71.7283432 -34.1169618, -71.7288358 -34.1169093, -71.7289006 -34.1169024)",,yes
28597621,Hermanos Carrera,secondary,False,True,55.036,2,"LINESTRING (-71.7255798 -34.113007, -71.725511 -34.1127347, -71.7254791 -34.1126117, -71.7254756 -34.1125208)",I-116,
52433820,Hermanos Carrera,primary,False,False,37.85,2,"LINESTRING (-71.7255798 -34.113007, -71.7256609 -34.113111, -71.7257528 -34.1133138)",I-62-G,
52433822,Central Rapel,primary,False,True,81.573,2,"LINESTRING (-71.7255798 -34.113007, -71.725281 -34.1128593, -71.7247875 -34.1126818)",I-62-G,
52433817,Cardenal Caro,secondary,False,False,85.391,,"LINESTRING (-71.729836 -34.1175761, -71.7296882 -34.1168989, -71.7296711 -34.1168204)",,
52433818,Obispo Manuel Larraín,primary,False,False,132.069,2,"LINESTRING (-71.729836 -34.1175761, -71.729733 -34.117711, -71.7290697 -34.1185802)",I-80-G,
52433818,Obispo Manuel Larraín,primary,False,True,146.198,2,"LINESTRING (-71.729836 -34.1175761, -71.7299613 -34.1174201, -71.7306905 -34.1164679)",I-80-G,
52433820,Hermanos Carrera,primary,False,True,105.654,2,"LINESTRING (-71.7267239 -34.1157026, -71.7263447 -34.1148058)",I-62-G,
171841716,San Antonio,residential,False,True,106.861,,"LINESTRING (-71.7267239 -34.1157026, -71.7256086 -34.115969)",,
