osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref
51778879,True,2,Bulnes,residential,False,8.885,,"LINESTRING (-73.6514719 -37.6080603, -73.6513792 -37.6080918)",
1206295759,True,2,Almirante Latorre,primary,False,107.48000000000002,50,"LINESTRING (-73.6514719 -37.6080603, -73.6514452 -37.6080303, -73.6511025 -37.6077434, -73.6510409 -37.6076919, -73.6509993 -37.6076547, -73.6509765 -37.6076271, -73.6509591 -37.6076011, -73.650777 -37.6072802)",
93517317,False,,Camarón,tertiary,False,91.753,,"LINESTRING (-73.6545006 -37.6132734, -73.6552593 -37.612708)",
711549760,False,2,Almirante Latorre,tertiary,False,36.095,50,"LINESTRING (-73.6545006 -37.6132734, -73.6541364 -37.6131246)",
27636035,False,2,Cuesta Camarón,tertiary,True,163.51299999999998,50,"LINESTRING (-73.6545006 -37.6132734, -73.6542276 -37.6134796, -73.6541685 -37.6135227, -73.6541504 -37.6135434, -73.6541412 -37.6135681, -73.6541327 -37.613612, -73.654122 -37.6137174, -73.6541221 -37.6138498, -73.6541297 -37.6139737, -73.6541505 -37.614135, -73.6541755 -37.6142837, -73.6541967 -37.6143439, -73.6542394 -37.6144058, -73.6543776 -37.6145795)",
161851278,True,2,Arturo Prat,primary,False,9.916,,"LINESTRING (-73.650777 -37.6072802, -73.6508318 -37.6072023)",
93517352,False,,Jorge Roa,residential,True,55.033,,"LINESTRING (-73.6602749 -37.6062915, -73.6596999 -37.606485)",
161790013,False,2,Wheelwright,secondary,False,21.416,,"LINESTRING (-73.6602749 -37.6062915, -73.6601972 -37.606109)",
161790013,False,2,Wheelwright,secondary,True,137.849,,"LINESTRING (-73.6602749 -37.6062915, -73.6603908 -37.6065062, -73.6604893 -37.6067367, -73.6605364 -37.6068936, -73.6605619 -37.6070466, -73.6605813 -37.6072014, -73.6606 -37.6074927)",
161779929,False,2,Andrés Bello,primary,True,54.803,50,"LINESTRING (-73.6592991 -37.609716, -73.6593711 -37.6096918, -73.6598716 -37.6095231)",160
197533994,False,2,Andrés Bello,primary,False,55.825,50,"LINESTRING (-73.6592991 -37.609716, -73.6592355 -37.6097373, -73.6590469 -37.6098004, -73.658717 -37.6099145)",160
528806918,False,2,Juan Antonio Ríos,primary,True,109.536,,"LINESTRING (-73.6592991 -37.609716, -73.6591864 -37.6095037, -73.6588169 -37.608808)",
161783437,False,,Rioseco,secondary,True,16.012,,"LINESTRING (-73.6517465 -37.6059642, -73.6516686 -37.6058341)",
528806903,True,2,Rioseco,residential,False,94.44,,"LINESTRING (-73.6517465 -37.6059642, -73.6521606 -37.6067476)",
528806903,True,2,Rioseco,residential,False,110.68,,"LINESTRING (-73.654098 -37.6104126, -73.6545834 -37.6113307)",
528806908,True,2,Freire,residential,False,112.186,,"LINESTRING (-73.654098 -37.6104126, -73.6552703 -37.6100183)",
51778878,True,2,Carrera,residential,False,111.501,,"LINESTRING (-73.653127 -37.6085756, -73.6542928 -37.608185)",
528806903,True,2,Rioseco,residential,False,109.868,,"LINESTRING (-73.653127 -37.6085756, -73.6533259 -37.608952, -73.6536087 -37.609487)",
528806903,True,2,Rioseco,residential,False,110.138,,"LINESTRING (-73.652644 -37.607662, -73.653127 -37.6085756)",
51778879,True,2,Bulnes,residential,False,112.34700000000001,,"LINESTRING (-73.652644 -37.607662, -73.6519121 -37.6079107, -73.6514719 -37.6080603)",
51993592,True,2,Doctor Octavio Orellana Fuentes,residential,False,122.287,,"LINESTRING (-73.6592622 -37.6109259, -73.658717 -37.6099145)",
711549763,False,2,Eleuterio Ramírez,residential,False,85.27199999999999,,"LINESTRING (-73.6592622 -37.6109259, -73.6593269 -37.6109067, -73.6593681 -37.6108985, -73.65941 -37.6108929, -73.6602207 -37.610835)",
93517334,False,,Luis Sagardia,residential,False,76.781,,"LINESTRING (-73.6585953 -37.6058964, -73.6588776 -37.606426, -73.658895 -37.6064515, -73.6589205 -37.606477, -73.6589701 -37.6065142)",
161851276,False,1,José Manuel Balmaceda,living_street,False,56.792,,"LINESTRING (-73.6585953 -37.6058964, -73.6585162 -37.6059675, -73.6583318 -37.6061104, -73.6582131 -37.6061981, -73.658132 -37.6062507)",
161851276,False,1,José Manuel Balmaceda,living_street,True,21.878999999999998,,"LINESTRING (-73.6585953 -37.6058964, -73.6586711 -37.6058252, -73.6587522 -37.6057439)",
93517320,False,,Diagonal Freire,tertiary,True,10.22,,"LINESTRING (-73.6520246 -37.6111044, -73.6519117 -37.6111256)",
93517320,False,,Diagonal Freire,tertiary,False,86.77,,"LINESTRING (-73.6520246 -37.6111044, -73.6520829 -37.6110921, -73.6521392 -37.6110773, -73.6529331 -37.6108044)",
93517316,False,,Fresia,residential,False,19.327,,"LINESTRING (-73.6607471 -37.6103888, -73.6606626 -37.6102284)",
93517352,False,,Jorge Roa,residential,False,55.033,,"LINESTRING (-73.6596999 -37.606485, -73.6602749 -37.6062915)",
93517352,False,,Jorge Roa,residential,True,60.784,,"LINESTRING (-73.6596999 -37.606485, -73.6590648 -37.6066987)",
93517350,False,1,Pedro Montt,living_street,False,117.19399999999999,,"LINESTRING (-73.6596999 -37.606485, -73.6598278 -37.6067352, -73.6598615 -37.6068052, -73.6598908 -37.6068765, -73.6599146 -37.6069457, -73.6599344 -37.6070157, -73.6599534 -37.6071037, -73.6599659 -37.6071925, -73.6599887 -37.607504)",
93517350,False,1,Pedro Montt,living_street,True,48.351000000000006,,"LINESTRING (-73.6596999 -37.606485, -73.6596259 -37.6063527, -73.6595804 -37.6062889, -73.6595463 -37.6062482, -73.6595093 -37.6062093, -73.65946 -37.6061642, -73.6594067 -37.6061221)",
93517346,False,,Avenida Luis Cruz Martínez,residential,True,7.718,,"LINESTRING (-73.6506436 -37.6088073, -73.6507197 -37.6087729)",
51778881,True,2,Eleuterio Ramírez,residential,False,62.619,,"LINESTRING (-73.6551031 -37.6123282, -73.6557544 -37.6121025)",
