osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,width,bridge
28306101,Armando Sanhueza,residential,False,False,29.17,"LINESTRING (-70.909195 -53.158687, -70.9093375 -53.1588202, -70.9094261 -53.1589097)",,,,,
142230264,Avenida Independencia,secondary,True,False,110.429,"LINESTRING (-70.9092443 -53.1666981, -70.9093078 -53.1666745, -70.9101131 -53.1663659, -70.9106407 -53.1661638)",2,50,,,
863019793,Avenida Costanera del Estrecho,primary,True,False,38.198,"LINESTRING (-70.9092443 -53.1666981, -70.909662 -53.1668469, -70.9096907 -53.1668571, -70.9097369 -53.1668736)",2,50,yes,14,
342537865,Avenida Independencia,secondary,True,False,7.734,"LINESTRING (-70.9097369 -53.1668736, -70.9096744 -53.1669322)",2,50,,,
28306096,Avenida Cristobal Colón,secondary,True,False,117.162,"LINESTRING (-70.9094261 -53.1589097, -70.9079427 -53.1594746)",2,,,,
28306101,Armando Sanhueza,residential,False,True,29.17,"LINESTRING (-70.9094261 -53.1589097, -70.9093375 -53.1588202, -70.909195 -53.158687)",,,,,
28306100,Avenida Cristobal Colón,secondary,True,False,122.692,"LINESTRING (-70.9061517 -53.1598466, -70.9076962 -53.1592467)",2,,,,
45419844,Gobernador Carlos Bories,primary,True,False,32.778,"LINESTRING (-70.9061517 -53.1598466, -70.9063229 -53.1600164, -70.9064051 -53.1600992)",2,50,,,
28306096,Avenida Cristobal Colón,secondary,True,False,118.075,"LINESTRING (-70.9064051 -53.1600992, -70.9049204 -53.1606781)",2,,,,
45419844,Gobernador Carlos Bories,primary,True,False,117.185,"LINESTRING (-70.9064051 -53.1600992, -70.9073459 -53.1609894)",2,50,,,
88525067,José Nogueira,primary,True,False,63.303,"LINESTRING (-70.9092855 -53.1628218, -70.90979 -53.1633041)",2,50,,,
168352509,Plaza Benjamín Muñoz Gamero,tertiary,True,False,118.81200000000001,"LINESTRING (-70.9092855 -53.1628218, -70.9085458 -53.1631021, -70.9085322 -53.1631072, -70.9077789 -53.1633926)",2,50,,,
"[784126322, 45419842]",Lautaro Navarro,residential,True,False,120.674,"LINESTRING (-70.9021582 -53.1600996, -70.90224 -53.1601832, -70.9031333 -53.1610138)",,,,,yes
"[784126324, 784126325]",Capitán Ignacio Carrera Pinto,residential,True,False,117.77000000000001,"LINESTRING (-70.9021582 -53.1600996, -70.9019925 -53.1601627, -70.9006665 -53.1606669)",2,,,,yes
28306100,Avenida Cristobal Colón,secondary,True,False,120.68799999999999,"LINESTRING (-70.9031333 -53.1610138, -70.9037803 -53.1607606, -70.9046575 -53.1604283)",2,,,,
45419842,Lautaro Navarro,residential,True,False,33.379000000000005,"LINESTRING (-70.9031333 -53.1610138, -70.9032611 -53.1611425, -70.9033968 -53.161269)",,,,,
28306096,Avenida Cristobal Colón,secondary,True,False,119.861,"LINESTRING (-70.9033968 -53.161269, -70.9018849 -53.1618523)",2,,,,
45419842,Lautaro Navarro,residential,True,False,118.209,"LINESTRING (-70.9033968 -53.161269, -70.9043492 -53.1621657)",,,,,
142230266,Presidente Julio Argentino Roca,tertiary,True,False,121.076,"LINESTRING (-70.9077789 -53.1633926, -70.9062436 -53.1639743)",2,50,,,
