osmid,oneway,lanes,highway,reversed,length,geometry,name,junction
503976128,False,2,tertiary,False,64.091,"LINESTRING (43.2548266 -11.6968313, 43.2549307 -11.696264)",,
508481994,True,1,tertiary,False,15.289,"LINESTRING (43.2571831 -11.6899967, 43.2572509 -11.6898763)",,
419770691,False,2,tertiary,False,187.74599999999998,"LINESTRING (43.2571831 -11.6899967, 43.2570484 -11.6902483, 43.2566064 -11.6915843)",,
87526565,True,1,primary,False,8.039,"LINESTRING (43.2566723 -11.6975956, 43.256693 -11.6975262)",Boulevard de la Ligue Arabe شارع الجامعة العربية,
731708272,False,,residential,True,7.685,"LINESTRING (43.2566723 -11.6975956, 43.2566034 -11.6975806)",,
405708645,False,2,secondary,False,146.86700000000002,"LINESTRING (43.2532633 -11.6898885, 43.2533825 -11.6895385, 43.2535362 -11.6890672, 43.2537116 -11.6886436)",Rue de la Corniche شارع الكرنيش,
405708645,False,2,secondary,True,277.633,"LINESTRING (43.2532633 -11.6898885, 43.2532382 -11.6899937, 43.2531426 -11.6903142, 43.2529533 -11.6909454, 43.2527188 -11.6916376, 43.252627 -11.6919306, 43.2525605 -11.6920747, 43.2524987 -11.6922686)",Rue de la Corniche شارع الكرنيش,
503976134,False,2,residential,True,203.673,"LINESTRING (43.2532633 -11.6898885, 43.2536937 -11.689991, 43.2537913 -11.6900209, 43.2538503 -11.6900863, 43.2539396 -11.6902026, 43.2539483 -11.6905992, 43.2539536 -11.6907428, 43.2539825 -11.6908113, 43.2540352 -11.6908721, 43.2541809 -11.6909463, 43.2543741 -11.6910373)",,
361432812,False,,residential,True,101.72999999999999,"LINESTRING (43.2515065 -11.6970023, 43.2520892 -11.6969345, 43.2521869 -11.6969609, 43.2523222 -11.697103, 43.2523511 -11.6971402)",,
405708645,False,2,secondary,False,137.2,"LINESTRING (43.2515065 -11.6970023, 43.2513305 -11.6964929, 43.2512973 -11.6963244, 43.2512812 -11.6962128, 43.2512669 -11.6960629, 43.2512587 -11.6958018)",Rue de la Corniche شارع الكرنيش,
419770693,False,2,secondary,True,88.68100000000001,"LINESTRING (43.2586554 -11.6909894, 43.2583799 -11.6906857, 43.2581049 -11.6904018)",Rue de la COI شارع لجنة المحيط الهندي,
87691187,False,2,secondary,False,21.211,"LINESTRING (43.2557472 -11.6887961, 43.2558459 -11.6888365, 43.2559277 -11.6888678)",Route de l'Alliance Française طريق أليانس فرانسيز,
87691187,False,2,secondary,True,224.162,"LINESTRING (43.2557472 -11.6887961, 43.2554932 -11.6887205, 43.2552357 -11.6886567, 43.2550218 -11.688623, 43.2548674 -11.6886194, 43.2545411 -11.6886383, 43.2538957 -11.6886388, 43.2537116 -11.6886436)",Route de l'Alliance Française طريق أليانس فرانسيز,
405708645,False,2,secondary,True,13.524,"LINESTRING (43.2524987 -11.6922686, 43.2524861 -11.6923896)",Rue de la Corniche شارع الكرنيش,
405708645,False,2,secondary,False,277.633,"LINESTRING (43.2524987 -11.6922686, 43.2525605 -11.6920747, 43.252627 -11.6919306, 43.2527188 -11.6916376, 43.2529533 -11.6909454, 43.2531426 -11.6903142, 43.2532382 -11.6899937, 43.2532633 -11.6898885)",Rue de la Corniche شارع الكرنيش,
