osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,maxspeed,access
48386998,Calle Rosendo Pérez,residential,False,False,59.806,,"LINESTRING (-71.744628 18.0404521, -71.7441096 18.0402369)",,,
341602136,Avenida Juan Pablo Duarte,primary,False,False,64.095,RD-541,"LINESTRING (-71.744628 18.0404521, -71.7444624 18.0410066)",,,
341602136,Avenida Juan Pablo Duarte,primary,False,True,64.066,RD-541,"LINESTRING (-71.744628 18.0404521, -71.7448344 18.0399104)",,,
48386997,,residential,False,True,68.439,,"LINESTRING (-71.7452003 18.0391276, -71.7458123 18.0393281)",,,
341602136,Avenida Juan Pablo Duarte,primary,False,True,82.386,RD-541,"LINESTRING (-71.7452003 18.0391276, -71.7453095 18.038394)",,,
341602136,Avenida Juan Pablo Duarte,primary,False,False,84.95599999999999,RD-541,"LINESTRING (-71.7452003 18.0391276, -71.7450479 18.0394609, -71.7448832 18.0398296)",,,
341602141,Avenida Libertad,primary,False,True,67.55,RD-44,"LINESTRING (-71.7421505 18.0340938, -71.7415244 18.0339729)",,,
1108915146,Calle 3ª,tertiary,False,False,148.502,,"LINESTRING (-71.7421505 18.0340938, -71.7419649 18.0354176)",,,
1108915146,Calle 3ª,tertiary,False,True,67.801,,"LINESTRING (-71.7421505 18.0340938, -71.7422784 18.0334963)",,,
341602141,Avenida Libertad,primary,False,False,154.598,RD-44,"LINESTRING (-71.7421505 18.0340938, -71.7426968 18.0342079, -71.7435765 18.034401)",,,
341602154,Avenida Santo Domingo,primary,False,True,139.23,,"LINESTRING (-71.7435765 18.034401, -71.7434865 18.0356502)",,,
48387000,Calle Caracol,residential,False,True,68.502,,"LINESTRING (-71.7435765 18.034401, -71.7436428 18.0341035, -71.7436543 18.033969, -71.7436389 18.0337926)",,,
341602141,Avenida Libertad,primary,False,False,146.549,RD-44,"LINESTRING (-71.7435765 18.034401, -71.7439199 18.0344654, -71.7449361 18.0346572)",,,
341602141,Avenida Libertad,primary,False,True,154.598,RD-44,"LINESTRING (-71.7435765 18.034401, -71.7426968 18.0342079, -71.7421505 18.0340938)",,,
48581626,Avenida Juan Pablo Duarte,primary,True,False,0.237,RD-44,"LINESTRING (-71.7458437 18.0354104, -71.7458441 18.0354083)",,,
1244151758,,residential,False,False,86.828,,"LINESTRING (-71.7458437 18.0354104, -71.7450461 18.0352245)",,,
48387020,Avenida Libertad,primary,False,True,97.796,,"LINESTRING (-71.7459378 18.0348671, -71.7468466 18.0350307)",,,
341602141,Avenida Libertad,primary,False,True,52.208,RD-44,"LINESTRING (-71.7459378 18.0348671, -71.7454554 18.0347669)",,,
48975338,Avenida Duarte,primary,False,True,59.541000000000004,,"LINESTRING (-71.7459378 18.0348671, -71.7459474 18.0348005, -71.7460143 18.0343366)",,,
341602141,Avenida Libertad,primary,False,False,146.682,RD-44,"LINESTRING (-71.7399538 18.0336983, -71.7413184 18.0339359)",,,
48664473,Calle Palo Hincado,residential,False,True,96.776,,"LINESTRING (-71.7399538 18.0336983, -71.7398839 18.0343181, -71.7398724 18.0344344, -71.7398666 18.0345425, -71.7398657 18.0345644)",,,
48387009,Calle 2ª,residential,False,True,66.865,,"LINESTRING (-71.7449361 18.0346572, -71.7450276 18.0340622)",,,
341602141,Avenida Libertad,primary,False,False,23.968,RD-44,"LINESTRING (-71.7449361 18.0346572, -71.7451552 18.0347125)",,,
341602141,Avenida Libertad,primary,False,True,146.549,RD-44,"LINESTRING (-71.7449361 18.0346572, -71.7439199 18.0344654, -71.7435765 18.034401)",,,
48387008,Calle Ramón Matías Mella,tertiary,False,True,54.784,,"LINESTRING (-71.7472695 18.0330952, -71.7471308 18.0335699)",,,
