osmid,oneway,lanes,ref,name,highway,access,reversed,length,geometry
133584081,False,1,RD-510,Carretera Máximo Gómez,secondary,yes,False,116.576,"LINESTRING (-70.4943088 18.217662, -70.494262 18.2176756, -70.493346 18.2179419, -70.4932534 18.2179688)"
133584081,False,1,RD-510,Carretera Máximo Gómez,secondary,yes,True,138.086,"LINESTRING (-70.4943088 18.217662, -70.4943678 18.2176573, -70.494681 18.2176322, -70.4950297 18.2175965, -70.4951155 18.2175978, -70.4956128 18.2176009)"
303411140,False,,,,residential,,False,98.613,"LINESTRING (-70.4943088 18.217662, -70.4943346 18.2177549, -70.4945474 18.2185194)"
303411140,False,,,,residential,,True,97.019,"LINESTRING (-70.4943088 18.217662, -70.4942991 18.2176308, -70.4940476 18.2168255)"
303410671,False,,,,residential,,False,88.048,"LINESTRING (-70.4892182 18.2195106, -70.4889221 18.2187704)"
133584081,False,1,RD-510,Carretera Máximo Gómez,secondary,yes,False,189.42,"LINESTRING (-70.4892182 18.2195106, -70.4891691 18.2195334, -70.4887855 18.2197112, -70.4884063 18.219938, -70.488048 18.2201869, -70.4877349 18.2204527)"
133584081,False,1,RD-510,Carretera Máximo Gómez,secondary,yes,True,93.719,"LINESTRING (-70.4892182 18.2195106, -70.4892456 18.2194979, -70.4900154 18.2191405)"
303410671,False,,,,residential,,True,88.048,"LINESTRING (-70.4889221 18.2187704, -70.4892182 18.2195106)"
303411134,False,,,,residential,,True,91.842,"LINESTRING (-70.4889221 18.2187704, -70.4897195 18.218441)"
303411134,False,,,,residential,,False,96.58600000000001,"LINESTRING (-70.4889221 18.2187704, -70.4886065 18.2188883, -70.4883936 18.2183806)"
303410672,False,,,,residential,,False,83.825,"LINESTRING (-70.4900154 18.2191405, -70.4897195 18.218441)"
133584081,False,1,RD-510,Carretera Máximo Gómez,secondary,yes,False,93.719,"LINESTRING (-70.4900154 18.2191405, -70.4892456 18.2194979, -70.4892182 18.2195106)"
133584081,False,1,RD-510,Carretera Máximo Gómez,secondary,yes,True,44.381,"LINESTRING (-70.4900154 18.2191405, -70.4900978 18.2191028, -70.4903932 18.2189658)"
303410673,False,,,,residential,,False,81.302,"LINESTRING (-70.4903932 18.2189658, -70.4901306 18.2182785)"
