osmid,tunnel,oneway,lanes,name,highway,reversed,length,geometry,ref
177502094,no,False,2,Carretera Hacienda Estrella - La Luisa,tertiary,True,17.246,"LINESTRING (-69.8968142 18.7424782, -69.8969547 18.7425579)",
177502094,no,False,2,Carretera Hacienda Estrella - La Luisa,tertiary,False,64.30199999999999,"LINESTRING (-69.8968142 18.7424782, -69.8967281 18.7423764, -69.8966275 18.7421414, -69.8965693 18.7419551)",
677809100,,False,2,Carretera Hacienda Estrella - La Luisa,tertiary,True,72.012,"LINESTRING (-69.8968142 18.7424782, -69.8964492 18.7426316, -69.8962453 18.7427129, -69.8961879 18.7427382)",Carretera Hacienda a Cruce La Luisa
177502094,no,False,2,Carretera Hacienda Estrella - La Luisa,tertiary,False,17.246,"LINESTRING (-69.8969547 18.7425579, -69.8968142 18.7424782)",
985488396,,False,,,unclassified,True,132.793,"LINESTRING (-69.8969547 18.7425579, -69.8972497 18.743719)",
177502094,no,False,2,Carretera Hacienda Estrella - La Luisa,tertiary,True,145.922,"LINESTRING (-69.8969547 18.7425579, -69.8971129 18.7425949, -69.8972766 18.7425999, -69.897467 18.7425593, -69.8982985 18.7423374)",
366683974,,False,2,Carretera Guanuma - Cruce de Pajón,secondary,False,136.984,"LINESTRING (-69.8982382 18.743568, -69.8982985 18.7423374)",RD-11
366683974,,False,2,Carretera Guanuma - Cruce de Pajón,secondary,True,223.71499999999997,"LINESTRING (-69.8982382 18.743568, -69.8981468 18.7449785, -69.8981195 18.7455767)",RD-11
1034971156,,False,,,residential,False,105.493,"LINESTRING (-69.8982382 18.743568, -69.8976776 18.7436375, -69.8972497 18.743719)",
366683974,,False,2,Carretera Guanuma - Cruce de Pajón,secondary,True,136.984,"LINESTRING (-69.8982985 18.7423374, -69.8982382 18.743568)",RD-11
177502094,no,False,2,Carretera Hacienda Estrella - La Luisa,tertiary,False,145.922,"LINESTRING (-69.8982985 18.7423374, -69.897467 18.7425593, -69.8972766 18.7425999, -69.8971129 18.7425949, -69.8969547 18.7425579)",
985488396,,False,,,unclassified,False,74.343,"LINESTRING (-69.8971788 18.7443842, -69.8972497 18.743719)",
985488396,,False,,,unclassified,True,88.096,"LINESTRING (-69.8971788 18.7443842, -69.8970071 18.7451596)",
1190325844,,False,,,residential,True,240.555,"LINESTRING (-69.8971788 18.7443842, -69.896661 18.7443156, -69.8966195 18.744308, -69.896602 18.7442801, -69.8965538 18.7441505, -69.8964894 18.743988, -69.8964599 18.7437086, -69.8961879 18.7427382)",
366683974,,False,2,Carretera Guanuma - Cruce de Pajón,secondary,False,223.71499999999997,"LINESTRING (-69.8981195 18.7455767, -69.8981468 18.7449785, -69.8982382 18.743568)",RD-11
985488396,,False,,,unclassified,False,152.295,"LINESTRING (-69.8981195 18.7455767, -69.8970299 18.7454713, -69.897001 18.7454523, -69.8969883 18.7454319, -69.8969782 18.7453862, -69.8969775 18.7453405, -69.8970071 18.7451596)",
985488396,,False,,,unclassified,False,132.793,"LINESTRING (-69.8972497 18.743719, -69.8969547 18.7425579)",
985488396,,False,,,unclassified,True,74.343,"LINESTRING (-69.8972497 18.743719, -69.8971788 18.7443842)",
1034971156,,False,,,residential,True,105.493,"LINESTRING (-69.8972497 18.743719, -69.8976776 18.7436375, -69.8982382 18.743568)",
1190325843,,False,,,residential,True,139.168,"LINESTRING (-69.8962265 18.7440083, -69.8961541 18.7440083, -69.89613 18.7439981, -69.8961246 18.7439753, -69.8958723 18.7428661)",
677809100,,False,2,Carretera Hacienda Estrella - La Luisa,tertiary,False,36.162,"LINESTRING (-69.8958723 18.7428661, -69.8960495 18.7427993, -69.8961879 18.7427382)",Carretera Hacienda a Cruce La Luisa
677809100,,False,2,Carretera Hacienda Estrella - La Luisa,tertiary,True,53.768,"LINESTRING (-69.8958723 18.7428661, -69.8957062 18.7429288, -69.8953926 18.7430315)",Carretera Hacienda a Cruce La Luisa
1190325843,,False,,,residential,False,139.168,"LINESTRING (-69.8958723 18.7428661, -69.8961246 18.7439753, -69.89613 18.7439981, -69.8961541 18.7440083, -69.8962265 18.7440083)",
677809100,,False,2,Carretera Hacienda Estrella - La Luisa,tertiary,False,72.012,"LINESTRING (-69.8961879 18.7427382, -69.8962453 18.7427129, -69.8964492 18.7426316, -69.8968142 18.7424782)",Carretera Hacienda a Cruce La Luisa
