osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,bridge,access,junction
608763203,True,1,B111,Gailtalstraße,primary,False,42.659,"LINESTRING (13.373928 46.625837, 13.3738576 46.6258301, 13.3737449 46.6258071, 13.3735451 46.6257583, 13.3734593 46.6257463, 13.3733898 46.625739)",,,,
"[970992884, 909166581, 909166580]",False,2,B111,Gailtalstraße,primary,True,131.633,"LINESTRING (13.373928 46.625837, 13.3741706 46.6259283, 13.3744738 46.6260738, 13.375027 46.6263993, 13.3751485 46.6265135, 13.3752255 46.6265961)",,,,
244101886,False,2,B111,Gailtalstraße,primary,True,26.898,"LINESTRING (13.3721459 46.6244, 13.3721476 46.6246419)",,,,
260517111,False,2,B111,Gailtalstraße,primary,False,123.445,"LINESTRING (13.3721459 46.6244, 13.3721974 46.6240612, 13.3722357 46.6237909, 13.3722666 46.623517, 13.3722313 46.6232951)",,,,
29955828,False,,,Friedhofstraße,residential,False,46.614000000000004,"LINESTRING (13.3722313 46.6232951, 13.3722844 46.6232523, 13.3723894 46.6231677, 13.372595 46.6229592)",,,,
260517111,False,2,B111,Gailtalstraße,primary,True,123.44500000000001,"LINESTRING (13.3722313 46.6232951, 13.3722666 46.623517, 13.3722357 46.6237909, 13.3721974 46.6240612, 13.3721459 46.6244)",,,,
244101887,False,,,Hauptstraße,residential,True,94.03399999999999,"LINESTRING (13.3644448 46.6275298, 13.3644972 46.6275443, 13.3646745 46.627565, 13.364851 46.6275739, 13.3652396 46.627592, 13.3656682 46.6275955)",30,,,
"[909166586, 909166587]",False,2,B87,Weißenseestraße,primary,True,63.824000000000005,"LINESTRING (13.3644448 46.6275298, 13.3644591 46.62751, 13.3644846 46.6274575, 13.3644927 46.6273811, 13.364427 46.6270263, 13.3644171 46.6269644)",,,,
29947412,False,,,Gasserplatz,secondary,False,44.368,"LINESTRING (13.3710551 46.6272653, 13.3710703 46.6273647, 13.3710997 46.6274422, 13.3711229 46.6274627, 13.3711641 46.6274989, 13.3711984 46.6275165, 13.3713543 46.6275653)",,,,
29955834,False,,,10. Oktober-Straße,secondary,True,169.464,"LINESTRING (13.3710551 46.6272653, 13.3710578 46.6272065, 13.3710706 46.6268661, 13.3710807 46.6264787, 13.3710877 46.6262411, 13.3710973 46.6260388, 13.3710894 46.6259939, 13.3710637 46.6259519, 13.3708658 46.6257966)",,,,
983406303,True,,,Hauptstraße,residential,False,68.75399999999999,"LINESTRING (13.3710551 46.6272653, 13.3707754 46.6272747, 13.3706888 46.6272798, 13.3704687 46.6272852, 13.370156 46.6272971)",30,,,
29947401,True,,,Hauptstraße,residential,False,141.836,"LINESTRING (13.3689804 46.6273489, 13.3684168 46.6273318, 13.3680935 46.6273323, 13.3677911 46.6273521, 13.367514 46.6273822, 13.3671405 46.6274481)",30,,,
29948756,False,,,Dechant-Pietschnigg-Gasse,residential,True,58.617,"LINESTRING (13.3689804 46.6273489, 13.3690694 46.6274972, 13.3691584 46.6277532, 13.3691634 46.6278567)",,,,
"[958701779, 958701780, 29948774]",False,,,Schützenparkgasse,residential,False,42.435,"LINESTRING (13.3668431 46.6275108, 13.3668672 46.6276021, 13.3668643 46.6277531, 13.3668388 46.6278898)",,,,
"[958701777, 958701778]",False,,,Hauptstraße,residential,False,90.426,"LINESTRING (13.3668431 46.6275108, 13.3665715 46.6275523, 13.3663201 46.6275719, 13.3662655 46.6275762, 13.3656682 46.6275955)",30,,,
132910585,False,2,B87,Weißenseestraße,primary,True,71.10300000000001,"LINESTRING (13.3644171 46.6269644, 13.3643654 46.6267477, 13.3643744 46.6265389, 13.364472 46.6263901, 13.36451 46.6263501)",,,,
"[909166586, 909166587]",False,2,B87,Weißenseestraße,primary,False,63.824,"LINESTRING (13.3644171 46.6269644, 13.364427 46.6270263, 13.3644927 46.6273811, 13.3644846 46.6274575, 13.3644591 46.62751, 13.3644448 46.6275298)",,,,
99046704,False,,,Villacher Straße,secondary,False,27.134,"LINESTRING (13.3763761 46.6280609, 13.3764699 46.628063, 13.3765554 46.6280353, 13.3766301 46.6279837, 13.3766744 46.6279549)",,,,
273999236,False,,,Villacher Straße,secondary,True,119.838,"LINESTRING (13.3763761 46.6280609, 13.3758565 46.6279214, 13.3754057 46.6277954, 13.3750955 46.6277291, 13.3749006 46.6276987)",,,,
29953053,False,,,Blumengasse,residential,False,100.631,"LINESTRING (13.3749006 46.6276987, 13.3749952 46.6274057, 13.3757091 46.6270514)",,,,
273999236,False,,,Villacher Straße,secondary,False,119.838,"LINESTRING (13.3749006 46.6276987, 13.3750955 46.6277291, 13.3754057 46.6277954, 13.3758565 46.6279214, 13.3763761 46.6280609)",,,,
273999236,False,,,Villacher Straße,secondary,True,145.35500000000002,"LINESTRING (13.3749006 46.6276987, 13.3746606 46.6276836, 13.3741136 46.627674, 13.3729999 46.6276327)",,,,
29947972,False,2,B87,10. Oktober-Straße,primary,True,50.741,"LINESTRING (13.3708658 46.6257966, 13.3710399 46.6256782, 13.3711711 46.6255421, 13.3712531 46.6254307)",,,,
29955834,False,,,10. Oktober-Straße,secondary,False,169.464,"LINESTRING (13.3708658 46.6257966, 13.3710637 46.6259519, 13.3710894 46.6259939, 13.3710973 46.6260388, 13.3710877 46.6262411, 13.3710807 46.6264787, 13.3710706 46.6268661, 13.3710578 46.6272065, 13.3710551 46.6272653)",,,,
930798326,False,2,B87,Weißenseestraße,primary,False,100.45599999999999,"LINESTRING (13.3708658 46.6257966, 13.3706649 46.6258922, 13.3705003 46.6259448, 13.370436 46.6259654, 13.3701156 46.6260553, 13.3696565 46.6261319)",,,,
29947972,False,2,B87,10. Oktober-Straße,primary,True,27.151,"LINESTRING (13.3712531 46.6254307, 13.3714178 46.6252143)",,,,
