osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,width,junction,bridge,tunnel
166823296,2,B189,primary,80,False,True,49.777,"LINESTRING (10.7431859 47.242421, 10.7431046 47.2421677, 10.743056 47.2419822)",,,,,
29198640,,,residential,,False,True,327.075,"LINESTRING (10.7377522 47.2397986, 10.7375355 47.2397744, 10.7373973 47.2397183, 10.7371382 47.2395353, 10.7366312 47.2390854, 10.7360724 47.2388378, 10.7358459 47.2386871, 10.7352605 47.2382764, 10.7347279 47.2377693)",Beinlandweg,,,,
"[840900672, 544819292]",,,tertiary,,False,False,107.37499999999999,"LINESTRING (10.7377522 47.2397986, 10.7377524 47.2398551, 10.7378054 47.2399024, 10.7379301 47.2399743, 10.7380921 47.2400576, 10.7382626 47.2401455, 10.73833 47.2401685, 10.7385085 47.2402296, 10.7386169 47.2402791, 10.7386776 47.2403122, 10.7387038 47.24035, 10.7386957 47.2403858, 10.7386484 47.2404226)",Rathausstraße,,,,
544819292,,,tertiary,,False,True,49.658,"LINESTRING (10.7377522 47.2397986, 10.7377816 47.2397564, 10.7378287 47.2397207, 10.7382815 47.2395493)",Rathausstraße,,,,
597926294,,,tertiary,,False,False,61.956,"LINESTRING (10.7386484 47.2404226, 10.738554 47.2404554, 10.7383694 47.2405413, 10.7380278 47.2407806)",,,,,
"[840900672, 544819292]",,,tertiary,,False,True,107.375,"LINESTRING (10.7386484 47.2404226, 10.7386957 47.2403858, 10.7387038 47.24035, 10.7386776 47.2403122, 10.7386169 47.2402791, 10.7385085 47.2402296, 10.73833 47.2401685, 10.7382626 47.2401455, 10.7380921 47.2400576, 10.7379301 47.2399743, 10.7378054 47.2399024, 10.7377524 47.2398551, 10.7377522 47.2397986)",Rathausstraße,,,,
29198329,,,residential,,False,True,195.624,"LINESTRING (10.7362528 47.2406265, 10.7360312 47.2403888, 10.7359623 47.2403149, 10.7359104 47.2402427, 10.7357227 47.2399815, 10.7354894 47.2394969, 10.7353067 47.2390816, 10.7352745 47.2390085)",Sirapuit,,,,
597926294,,,tertiary,,False,True,147.01,"LINESTRING (10.7362528 47.2406265, 10.7371063 47.2409252, 10.7371249 47.2409268, 10.7373332 47.2409443, 10.7375791 47.2409423, 10.7376053 47.2409356, 10.7378276 47.240879, 10.7379743 47.2408069, 10.7380278 47.2407806)",,,,,
29198722,,,residential,,False,True,80.40299999999999,"LINESTRING (10.7379463 47.2338932, 10.7378581 47.2339259, 10.7372953 47.2341288, 10.7370188 47.2342476)",Am Grettert,,,,
1204737429,2,,tertiary,,False,True,54.550000000000004,"LINESTRING (10.7379463 47.2338932, 10.738038 47.2340082, 10.7381966 47.2342557, 10.7382426 47.23434)",Karl-von-Lutterotti-Straße,,,,
