osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,name,bridge,tunnel,width,access
147441841,2,B161,primary,50,False,True,62.552,"LINESTRING (12.3900222 47.4505102, 12.3901242 47.4504122, 12.3902571 47.4503163, 12.3903587 47.4502618, 12.3904124 47.4502331, 12.3906179 47.450123)",,,,,
28716972,2,,residential,,False,False,14.641000000000002,"LINESTRING (12.3931136 47.4444852, 12.3930206 47.4444386, 12.3929558 47.4444081)",Malinggasse,,,,
30854676,,,residential,,False,False,107.72200000000001,"LINESTRING (12.3931136 47.4444852, 12.3931791 47.4444936, 12.3943363 47.4443317, 12.3943927 47.4443237, 12.3945165 47.4443063)",Bichlstraße,,,,
"[14009950, 147440771, 147440772, 995266446]",,,residential,,False,True,144.079,"LINESTRING (12.3931136 47.4444852, 12.3930313 47.4445605, 12.3928343 47.444664, 12.3926926 47.4447775, 12.3925399 47.4449236, 12.392489 47.4449723, 12.3924496 47.4450109, 12.3923411 47.4451029, 12.3921237 47.4452833, 12.3919401 47.4454508, 12.3919103 47.4454859)",Bichlstraße,viaduct,,,
172854426,,,residential,,False,True,32.664,"LINESTRING (12.3931563 47.4450958, 12.3935343 47.4452405)",Graggaugasse,,,,
14009949,,,residential,,False,True,90.503,"LINESTRING (12.3931563 47.4450958, 12.3933181 47.4450068, 12.3935861 47.4448842, 12.3938425 47.4447431, 12.3939642 47.4446867, 12.3940105 47.4446668, 12.3940621 47.4446464, 12.394137 47.4446302)",Florianigasse,,,,
172854426,,,residential,,False,False,41.543,"LINESTRING (12.3931563 47.4450958, 12.3927844 47.4449617, 12.3926882 47.4449016)",Graggaugasse,,,,
14009951,,,residential,,False,False,13.736,"LINESTRING (12.3945165 47.4443063, 12.3946955 47.4442817)",Jochberger Straße,,,,
14009949,,,residential,,False,False,46.461999999999996,"LINESTRING (12.3945165 47.4443063, 12.3944973 47.4443544, 12.394137 47.4446302)",Florianigasse,,,,
30854676,,,residential,,False,True,107.72200000000001,"LINESTRING (12.3945165 47.4443063, 12.3943927 47.4443237, 12.3943363 47.4443317, 12.3931791 47.4444936, 12.3931136 47.4444852)",Bichlstraße,,,,
14009949,,,residential,,False,False,90.50299999999999,"LINESTRING (12.394137 47.4446302, 12.3940621 47.4446464, 12.3940105 47.4446668, 12.3939642 47.4446867, 12.3938425 47.4447431, 12.3935861 47.4448842, 12.3933181 47.4450068, 12.3931563 47.4450958)",Florianigasse,,,,
14009949,,,residential,,False,True,46.461999999999996,"LINESTRING (12.394137 47.4446302, 12.3944973 47.4443544, 12.3945165 47.4443063)",Florianigasse,,,,
14149190,,,residential,,False,False,84.09,"LINESTRING (12.394137 47.4446302, 12.3941097 47.4446931, 12.394094 47.4447493, 12.3940868 47.4447855, 12.3940675 47.444811, 12.3940105 47.4448527, 12.3939484 47.4448932, 12.3937113 47.4450397, 12.3936705 47.4450668, 12.3936304 47.4451031, 12.3935617 47.4452014, 12.3935343 47.4452405)",Schlossergasse,,,,
30854678,,,unclassified,,False,True,54.982,"LINESTRING (12.3919103 47.4454859, 12.391431 47.4451125)",Josef-Herold-Straße,,,,
"[147440771, 995266446, 147440772, 14009950]",,,residential,,False,False,144.079,"LINESTRING (12.3919103 47.4454859, 12.3919401 47.4454508, 12.3921237 47.4452833, 12.3923411 47.4451029, 12.3924496 47.4450109, 12.392489 47.4449723, 12.3925399 47.4449236, 12.3926926 47.4447775, 12.3928343 47.444664, 12.3930313 47.4445605, 12.3931136 47.4444852)",Bichlstraße,viaduct,,,
"[29831370, 324930931, 766235407]",,,residential,,False,True,43.184999999999995,"LINESTRING (12.3919103 47.4454859, 12.3918474 47.4455676, 12.3917519 47.4456898, 12.3917167 47.4457246, 12.3916715 47.4457733, 12.3916209 47.4458206)","['Sterzinger Platz', 'Vorderstadt']",,building_passage,,
1205182851,,,residential,,False,True,12.301,"LINESTRING (12.3961294 47.4441011, 12.3959686 47.4441214)",Jochberger Straße,,,,
29799169,,,residential,,False,False,141.837,"LINESTRING (12.3961294 47.4441011, 12.3961784 47.444058, 12.3963947 47.443868, 12.3964867 47.4437622, 12.3966198 47.4436051, 12.3968114 47.4433792, 12.3971378 47.4430252)",Knappengasse,,,,
222641164,2,,residential,50,False,False,40.681,"LINESTRING (12.3961294 47.4441011, 12.3965258 47.4440526, 12.396661 47.4440335)",Jochberger Straße,,,,
222641164,2,,residential,50,False,True,35.192,"LINESTRING (12.3973984 47.4439353, 12.3969402 47.4439996)",Jochberger Straße,,,,
