osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,bridge,junction,access
"[392154033, 392154034]",True,1,motorway_link,False,77.893,"LINESTRING (15.327554 47.2745452, 15.327598 47.2743942, 15.327656 47.2742856, 15.3276711 47.2742353, 15.3276677 47.2741843, 15.3276476 47.2741403, 15.3275999 47.2741024, 15.327533 47.2740715, 15.3272802 47.2740244)",,,,,,
"[30844525, 449420646]",True,2,motorway,False,107.11000000000001,"LINESTRING (15.327554 47.2745452, 15.3278476 47.2741466, 15.3281111 47.2737584, 15.3281627 47.2736752)",S35,Brucker Schnellstraße,100,yes,,
31852310,False,2,secondary,False,135.951,"LINESTRING (15.3283159 47.2716139, 15.3282578 47.2716064, 15.3282183 47.2716099, 15.328173 47.2716238, 15.3278993 47.271704, 15.3276682 47.2717783, 15.3276541 47.2717814, 15.3272641 47.2718669, 15.3270921 47.2719049, 15.3268911 47.2719447, 15.3267317 47.2719716, 15.3266164 47.2719945)",L121,Parkweg,30,,,
392605869,False,,residential,True,10.909,"LINESTRING (15.3283159 47.2716139, 15.3282881 47.2715541, 15.3282681 47.2715214)",,,,,,
"[5097067, 654652943]",False,2,secondary,True,104.78900000000002,"LINESTRING (15.3283159 47.2716139, 15.3283511 47.2716381, 15.3283689 47.2716672, 15.3283917 47.2717298, 15.3283618 47.2719612, 15.3283331 47.2720167, 15.3282853 47.272109, 15.3282558 47.2721632, 15.3282323 47.2722016, 15.3282062 47.2722441, 15.3281541 47.2723237, 15.3280306 47.2724953)",L121,Brucker Straße,"['30', '50']",,,
31852310,False,2,secondary,False,237.963,"LINESTRING (15.3266164 47.2719945, 15.3264238 47.2719956, 15.326175 47.271973, 15.3260971 47.2719503, 15.3258433 47.2718783, 15.3256675 47.2718247, 15.3254807 47.2717349, 15.3253646 47.2716853, 15.3248859 47.2714591, 15.3246617 47.2713521, 15.3244624 47.2712569, 15.3244536 47.2712531, 15.3241165 47.2711431, 15.3239791 47.2710741, 15.3239102 47.2709953)",L121,Parkweg,30,,,
31852310,False,2,secondary,True,135.951,"LINESTRING (15.3266164 47.2719945, 15.3267317 47.2719716, 15.3268911 47.2719447, 15.3270921 47.2719049, 15.3272641 47.2718669, 15.3276541 47.2717814, 15.3276682 47.2717783, 15.3278993 47.271704, 15.328173 47.2716238, 15.3282183 47.2716099, 15.3282578 47.2716064, 15.3283159 47.2716139)",L121,Parkweg,30,,,
"[987151552, 29796172, 987151550]",False,2,residential,True,352.6370000000001,"LINESTRING (15.3266164 47.2719945, 15.3266016 47.2720873, 15.3265424 47.2724506, 15.3264934 47.2727977, 15.326615 47.2731898, 15.3265248 47.2737335, 15.3264598 47.2741444, 15.32636 47.2744139, 15.3263474 47.2744583, 15.3262828 47.2745821, 15.3261477 47.2746023, 15.3259311 47.2745923, 15.3254869 47.2745331)",,Am Kogl,30,,,
"[25676259, 25676260, 140834836, 493899271]",False,"['2', '3']",secondary,"[False, True]",309.54999999999995,"LINESTRING (15.3252991 47.2682825, 15.3251452 47.2684085, 15.3249853 47.2685856, 15.324473 47.2691774, 15.324433 47.2692179, 15.3244096 47.2692389, 15.3243835 47.2692529, 15.3243587 47.2692631, 15.3243358 47.2692667, 15.324305 47.2692684, 15.3242467 47.2692612, 15.3241952 47.2692469, 15.3239915 47.2691969, 15.3239562 47.2691882, 15.3237825 47.2691559, 15.3236551 47.2691366, 15.3235199 47.2691167, 15.3231716 47.2691014, 15.3228001 47.2691287, 15.3224581 47.2691963, 15.3223975 47.2692126, 15.3221981 47.2692856, 15.3220945 47.2693364)",L121,"['Brückenkopf', 'Mauritzener Hauptstraße']","['50', '30']",yes,,
"[30851354, 661379899]",False,2,secondary,"[False, True]",106.384,"LINESTRING (15.3252991 47.2682825, 15.3254065 47.2682024, 15.325554 47.2681035, 15.325698 47.2680069, 15.3258471 47.2679096, 15.3259618 47.2678361, 15.3260436 47.267784, 15.3261153 47.2677361, 15.3262894 47.2676225, 15.3263042 47.2676119)",L121,Mauritzener Hauptstraße,50,,,
"[30805026, 661379900]",False,,residential,False,93.78699999999999,"LINESTRING (15.3252991 47.2682825, 15.3253827 47.2683274, 15.3255868 47.2684612, 15.3257886 47.2685935, 15.3260255 47.2687195, 15.3262412 47.2688308)",,Josef Ortis-Straße,50,,,
"[392605881, 390420454, 29713807]",False,,"['residential', 'unclassified']","[False, True]",423.3130000000001,"LINESTRING (15.3242579 47.2736924, 15.3242439 47.2737643, 15.3241883 47.2740498, 15.324181 47.2740873, 15.3241738 47.2741243, 15.3240594 47.2747115, 15.3240173 47.2749275, 15.3240095 47.2749677, 15.3239985 47.2751488, 15.3240651 47.2752259, 15.3241107 47.2752602, 15.3242018 47.2753091, 15.3243275 47.2753533, 15.3244082 47.2753822, 15.3245962 47.2754429, 15.3247333 47.2755286, 15.3249043 47.2756456, 15.3249782 47.2757815, 15.3249895 47.2758931, 15.3249597 47.2759979, 15.3248435 47.2760738, 15.3247037 47.2761014, 15.3246177 47.2760836, 15.3244772 47.2759921, 15.3243905 47.2759429, 15.3243497 47.2759226, 15.3241694 47.2758411, 15.3240123 47.2757815, 15.323952 47.2757637, 15.3237763 47.2757098, 15.3235805 47.2756461, 15.3235402 47.275707)",,Antonienhöhe,30,,,
29793259,False,1,residential,False,29.803,"LINESTRING (15.3242579 47.2736924, 15.3243113 47.2736909, 15.324404 47.2736883, 15.3246526 47.2736814)",,Rumpelmayerstraße,30,,,
29793259,False,1,residential,True,38.285,"LINESTRING (15.3242579 47.2736924, 15.3240051 47.2737032, 15.3239294 47.2737065, 15.3237524 47.2737211)",,Rumpelmayerstraße,30,,,
29791416,False,,residential,False,140.351,"LINESTRING (15.3285242 47.273753, 15.3285426 47.2736993, 15.3286626 47.2735633, 15.3286807 47.2735427, 15.3288457 47.2733216, 15.3291165 47.272852, 15.3292577 47.2725969)",,Schönaugürtel,30,,,
29793193,False,,residential,True,264.497,"LINESTRING (15.3285242 47.273753, 15.3284959 47.2738396, 15.3280025 47.2745166, 15.3277987 47.2747932, 15.3276879 47.2749868, 15.3276202 47.2751327, 15.327603 47.2754233, 15.327545 47.2755622, 15.3273725 47.2759756)",,,30,,,
29795940,False,2,residential,False,41.74,"LINESTRING (15.3285242 47.273753, 15.3288085 47.2738233, 15.3290537 47.2738586)",,Schönaugürtel,30,,,
"[29795940, 871395084]",False,2,residential,True,183.267,"LINESTRING (15.3285242 47.273753, 15.3281419 47.2735865, 15.3280496 47.2735253, 15.3279917 47.2734357, 15.3279823 47.2733839, 15.327989 47.2733235, 15.3279971 47.2732619, 15.3280333 47.2731991, 15.3281014 47.2731297, 15.3282164 47.2730248, 15.3283632 47.2728936, 15.3284158 47.2728177, 15.3284182 47.2727651, 15.3283881 47.2726909, 15.328323 47.2726137, 15.3282057 47.2725607, 15.3280306 47.2724953)",,Schönaugürtel,"['30', '50']",,,
29791416,False,,residential,True,140.351,"LINESTRING (15.3292577 47.2725969, 15.3291165 47.272852, 15.3288457 47.2733216, 15.3286807 47.2735427, 15.3286626 47.2735633, 15.3285426 47.2736993, 15.3285242 47.273753)",,Schönaugürtel,30,,,
29791887,False,,residential,False,345.68100000000004,"LINESTRING (15.3292577 47.2725969, 15.3311684 47.2726088, 15.331356 47.2727074, 15.3315732 47.2728451, 15.33178 47.2731064, 15.33188 47.273296, 15.3319398 47.2734246, 15.3317773 47.2742339)",,Schönaugürtel,30,,,
29791893,False,,residential,True,140.43999999999997,"LINESTRING (15.3292577 47.2725969, 15.3294532 47.272227, 15.3296482 47.2718769, 15.3297182 47.2716845, 15.3297464 47.2716022, 15.3297861 47.2714774, 15.3298008 47.2714247, 15.3297986 47.2714047, 15.3297893 47.2713948)",,Schönaugürtel,30,,,
29791789,False,,residential,False,173.798,"LINESTRING (15.3199378 47.267167, 15.3207117 47.2674175, 15.3208481 47.267472, 15.3209827 47.2675258, 15.3212618 47.2676895, 15.321377 47.2678152, 15.3214222 47.2679023, 15.321427 47.2679199, 15.3214386 47.267962, 15.3214698 47.2680756, 15.3214711 47.2680994, 15.3214751 47.2681763)",,Römerstraße,30,,,
29791789,False,,residential,False,50.694,"LINESTRING (15.3214751 47.2681763, 15.3213648 47.2684699, 15.3213324 47.268548, 15.3213203 47.2686193)",,Römerstraße,30,,,
29791789,False,,residential,True,173.798,"LINESTRING (15.3214751 47.2681763, 15.3214711 47.2680994, 15.3214698 47.2680756, 15.3214386 47.267962, 15.321427 47.2679199, 15.3214222 47.2679023, 15.321377 47.2678152, 15.3212618 47.2676895, 15.3209827 47.2675258, 15.3208481 47.267472, 15.3207117 47.2674175, 15.3199378 47.267167)",,Römerstraße,30,,,
"[92390651, 29793076]",False,,residential,False,231.15499999999997,"LINESTRING (15.3214751 47.2681763, 15.3215218 47.2681872, 15.3217231 47.2682344, 15.3220412 47.2683089, 15.3223269 47.2683989, 15.3231048 47.2686983, 15.3232758 47.2687674, 15.3234398 47.2689051, 15.3236571 47.2690161, 15.3237311 47.2690215, 15.3238089 47.268976, 15.3239135 47.2689687, 15.3241426 47.2690198)",,Vormarkt,30,,,
"[492763083, 29791789]",False,3,"['residential', 'unclassified']",False,99.69299999999998,"LINESTRING (15.3213203 47.2686193, 15.3213479 47.2686902, 15.3214042 47.2687639, 15.3215893 47.2689322, 15.3217743 47.2690915, 15.3219298 47.2692098, 15.3220091 47.2692696, 15.3220945 47.2693364)",,Römerstraße,30,,,
29791789,False,,residential,True,50.694,"LINESTRING (15.3213203 47.2686193, 15.3213324 47.268548, 15.3213648 47.2684699, 15.3214751 47.2681763)",,Römerstraße,30,,,
26395722,False,,unclassified,False,4.73,"LINESTRING (15.3218642 47.2717399, 15.3218182 47.2717688)",,Dr. Ammann-Straße,30,,,
29791856,False,,residential,False,182.65200000000002,"LINESTRING (15.3218642 47.2717399, 15.3220061 47.2716496, 15.3221232 47.2715838, 15.3221695 47.271559, 15.3222852 47.2715078, 15.3224589 47.2714566, 15.3227287 47.2714181, 15.3229243 47.2714082, 15.3231677 47.2713914, 15.3233556 47.2713078, 15.3235728 47.2710998, 15.3238466 47.271015, 15.3239102 47.2709953)",,Leobner Tor,30,,,
29793447,False,,residential,False,172.56900000000002,"LINESTRING (15.3218642 47.2717399, 15.3219658 47.271723, 15.3225497 47.2717403, 15.3229425 47.2717613, 15.3231504 47.2717704, 15.3233216 47.2717785, 15.3233006 47.2718869, 15.3232089 47.2723325)",,Roseggerhöhe,30,,,
29791876,False,,residential,False,198.52700000000002,"LINESTRING (15.3301182 47.2751804, 15.3302999 47.2752291, 15.3306766 47.2752801, 15.3307282 47.2752842, 15.3307838 47.2752821, 15.3308436 47.2752697, 15.330902 47.2752403, 15.3315091 47.2749034, 15.3315295 47.2748771, 15.3316918 47.2745079, 15.3317706 47.2742747, 15.3317773 47.2742339)",,Schönaugürtel,30,,,
97194479,False,,residential,False,17.067,"LINESTRING (15.3301182 47.2751804, 15.3301852 47.2751244, 15.3302399 47.275052)",,Fürstenbergstraße,30,,,
97194479,False,,residential,True,231.798,"LINESTRING (15.3301182 47.2751804, 15.3298553 47.2753775, 15.3298352 47.2753926, 15.3298034 47.2754142, 15.3296173 47.2754864, 15.3291324 47.2756744, 15.3290768 47.2756959, 15.3290324 47.2757131, 15.3289335 47.2757515, 15.3285948 47.2758159, 15.3280662 47.2759165, 15.3278402 47.2759595, 15.3273725 47.2759756)",,Fürstenbergstraße,30,,,
29791876,False,,residential,True,198.527,"LINESTRING (15.3317773 47.2742339, 15.3317706 47.2742747, 15.3316918 47.2745079, 15.3315295 47.2748771, 15.3315091 47.2749034, 15.330902 47.2752403, 15.3308436 47.2752697, 15.3307838 47.2752821, 15.3307282 47.2752842, 15.3306766 47.2752801, 15.3302999 47.2752291, 15.3301182 47.2751804)",,Schönaugürtel,30,,,
29791887,False,,residential,True,345.68100000000004,"LINESTRING (15.3317773 47.2742339, 15.3319398 47.2734246, 15.33188 47.273296, 15.33178 47.2731064, 15.3315732 47.2728451, 15.331356 47.2727074, 15.3311684 47.2726088, 15.3292577 47.2725969)",,Schönaugürtel,30,,,
29795940,False,2,residential,True,72.219,"LINESTRING (15.3317773 47.2742339, 15.3312667 47.2741155, 15.3308539 47.2740725)",,Schönaugürtel,30,,,
29793259,False,1,residential,False,8.35,"LINESTRING (15.3219583 47.2727733, 15.3219753 47.2728475)",,Rumpelmayerstraße,30,,,
29793134,False,,residential,False,177.47799999999998,"LINESTRING (15.3219583 47.2727733, 15.3216782 47.2730185, 15.3213459 47.2734542, 15.3212428 47.2736161, 15.3212179 47.2737855, 15.321285 47.2739416, 15.3214829 47.2741942)",,Schweizerriegel,,,,
29793259,False,1,residential,True,58.708,"LINESTRING (15.3219583 47.2727733, 15.32193 47.2726876, 15.3218829 47.2725789, 15.321665 47.2722874)",,Rumpelmayerstraße,30,,,
29793134,False,,residential,False,70.68,"LINESTRING (15.3214829 47.2741942, 15.3216918 47.2743657, 15.3218808 47.2745397, 15.3219379 47.2746226, 15.3219715 47.2747256)",,Schweizerriegel,,,,
