osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,junction,width
29362134,,,Litzelhofenstraße,residential,30,False,False,6.031,"LINESTRING (13.497157 46.7964248, 13.4971999 46.7964704)",,,,5.6
29362134,,,Litzelhofenstraße,residential,30,False,True,148.159,"LINESTRING (13.497157 46.7964248, 13.4970746 46.796352, 13.4969892 46.7962766, 13.4967933 46.7961034, 13.4959409 46.7953846)",,,,5.6
29362302,,,Jahnstraße,residential,30,False,True,120.576,"LINESTRING (13.497157 46.7964248, 13.4971084 46.7964468, 13.4968277 46.7966083, 13.4964848 46.7968206, 13.4960312 46.797094, 13.4959584 46.7971329)",,,,
328841609,,,Lederergasse,residential,30,False,False,319.334,"LINESTRING (13.4982848 46.8001052, 13.4986935 46.8002547, 13.4989711 46.8003129, 13.4992404 46.8002988, 13.4994124 46.8002764, 13.4996186 46.8002187, 13.49982 46.8001297, 13.4999869 46.8000318, 13.5000217 46.7999237, 13.5000284 46.799797, 13.4999694 46.7993233, 13.4999145 46.7984529)",,,,
1047494462,,,Lieserstegasse,residential,30,False,True,48.554,"LINESTRING (13.4982848 46.8001052, 13.4981439 46.8002633, 13.4980584 46.8003799, 13.4979283 46.8004618)",,,,
1047494463,,,Lieserstegasse,residential,30,True,False,200.36399999999998,"LINESTRING (13.4982848 46.8001052, 13.4983601 46.8000085, 13.4983966 46.7998778, 13.4983973 46.7995284, 13.498483 46.7992318, 13.4984617 46.7988727, 13.4984636 46.7988192, 13.4985037 46.7986915, 13.4985154 46.7985314, 13.4985065 46.7984134, 13.4984954 46.7983282)",,,,
29362142,,,Lieserstegasse,residential,30,False,False,9.86,"LINESTRING (13.4984954 46.7983282, 13.498481 46.7982953, 13.4984864 46.7982411)",,,,
29362444,,,Bernhardtgasse,residential,30,False,False,116.81,"LINESTRING (13.4984954 46.7983282, 13.4986232 46.7984446, 13.4987292 46.7984978, 13.4988089 46.7985093, 13.4990645 46.7984976, 13.49929 46.7984792, 13.4999145 46.7984529)",,,,
29362444,,,Bernhardtgasse,residential,30,False,True,46.06399999999999,"LINESTRING (13.4984954 46.7983282, 13.4984475 46.7983243, 13.4983452 46.7983614, 13.4981297 46.7983918, 13.4979153 46.7984288)",,,,
29362444,,,Bernhardtgasse,residential,30,False,True,116.81,"LINESTRING (13.4999145 46.7984529, 13.49929 46.7984792, 13.4990645 46.7984976, 13.4988089 46.7985093, 13.4987292 46.7984978, 13.4986232 46.7984446, 13.4984954 46.7983282)",,,,
