osmid,lanes,highway,oneway,reversed,length,geometry,ref,maxspeed,name,tunnel,bridge
221651189,1,residential,False,False,200.099,"LINESTRING (14.5846411 48.1137487, 14.5846199 48.1137948, 14.5846147 48.1138577, 14.5846257 48.1140789, 14.584583 48.1141504, 14.5845362 48.1143641, 14.5840238 48.1142967, 14.5837639 48.1142554, 14.5837172 48.1142498, 14.5835631 48.1142312, 14.5832401 48.1141923, 14.582913 48.1141529, 14.582815 48.1141288)",,,,,
853996046,2,secondary,False,False,31.903,"LINESTRING (14.5846411 48.1137487, 14.5844301 48.1136986, 14.5842323 48.1136607)",L6100,50,,,
315626121,2,primary,False,True,200.995,"LINESTRING (14.5797008 48.1139892, 14.5793538 48.1139526, 14.5790702 48.1139384, 14.5788063 48.1139447, 14.5785171 48.1139667, 14.578143 48.1140208, 14.5772721 48.1141579, 14.5770398 48.1141954)",B42,70,Straße zur Autobahn,,
853996046,2,secondary,False,True,250.061,"LINESTRING (14.5797008 48.1139892, 14.5797204 48.1139463, 14.5797597 48.1138882, 14.5798387 48.1138264, 14.5799034 48.1137904, 14.5799809 48.1137769, 14.5800575 48.1137816, 14.5801463 48.1138068, 14.5804215 48.1139317, 14.5806198 48.1140063, 14.5808568 48.1140755, 14.581066 48.1141179, 14.5812553 48.114141, 14.5813867 48.114151, 14.5815218 48.1141535, 14.581655 48.1141533, 14.5818312 48.114143, 14.5820074 48.1141199, 14.5822103 48.1140893, 14.5824157 48.1140544, 14.5825785 48.1140126, 14.5827221 48.1139588)",L6100,50,,,
30219364,,residential,False,False,65.30799999999999,"LINESTRING (14.5753431 48.1063171, 14.5753488 48.106558, 14.5753703 48.1069041)",,,Siedlungsring,,
30219736,1,residential,False,False,62.685,"LINESTRING (14.5753431 48.1063171, 14.5749662 48.1062948, 14.5746718 48.1062772, 14.5745022 48.1062671)",,,Siedlungsring,,
30219364,,residential,False,True,65.30799999999999,"LINESTRING (14.5753703 48.1069041, 14.5753488 48.106558, 14.5753431 48.1063171)",,,Siedlungsring,,
30219365,1,unclassified,False,False,55.067,"LINESTRING (14.5753703 48.1069041, 14.5753504 48.1072646, 14.5753431 48.107399)",,,,,
30219365,1,unclassified,False,False,200.00900000000004,"LINESTRING (14.5756364 48.1079298, 14.5757525 48.1081293, 14.5757815 48.1081793, 14.5759059 48.1083933, 14.5759807 48.1084994, 14.5760423 48.108568, 14.5760658 48.1085905, 14.5761214 48.1086438, 14.5761999 48.108698, 14.5762861 48.1087397, 14.5763817 48.1087745, 14.5764943 48.1088082, 14.5766466 48.1088472, 14.5767009 48.1088712, 14.5767309 48.1089013, 14.5767537 48.108941, 14.5767636 48.1090026, 14.5767976 48.1092143, 14.5768223 48.1093302, 14.5768213 48.1093801, 14.5768206 48.1094175)",,,,,
30219365,1,unclassified,False,True,63.286,"LINESTRING (14.5756364 48.1079298, 14.5754318 48.1075929, 14.5753558 48.1074791, 14.5753444 48.1074469, 14.5753431 48.107399)",,,,,
