osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,access
10973286,Bahnhofstraße,residential,False,False,136.536,"LINESTRING (14.527382 48.3548384, 14.5273396 48.3547902, 14.5272899 48.3547521, 14.5272108 48.3547086, 14.527125 48.354665, 14.5268252 48.3545509, 14.5265657 48.3544573, 14.5263988 48.3543789, 14.5263565 48.3543504, 14.5263505 48.3543236, 14.5263626 48.3542991, 14.5264578 48.354214, 14.5264933 48.3541579, 14.5266321 48.3540269)",,,,
243229917,Bahnhofstraße,tertiary,False,False,52.708,"LINESTRING (14.527382 48.3548384, 14.527509 48.354805, 14.5276612 48.3547713, 14.5278289 48.354735, 14.528059 48.3546898)",L1472,30,,
"[875522087, 875522088, 875522089, 772878635, 243229916, 243229917]",Bahnhofstraße,tertiary,False,True,198.98800000000006,"LINESTRING (14.527382 48.3548384, 14.5272906 48.354865, 14.5271941 48.3549069, 14.5269684 48.355025, 14.5267671 48.3551412, 14.5266969 48.3551817, 14.5266175 48.3552125, 14.5265646 48.3552267, 14.5264406 48.3552423, 14.5263422 48.3552469, 14.5259305 48.355239, 14.5258832 48.3552381, 14.5258013 48.3552393, 14.5256777 48.3552466, 14.5255291 48.3552687, 14.5254497 48.3552822, 14.5250554 48.3553652, 14.5249151 48.3553873)",L1472,"['30', '50']",yes,
10973289,Schulstraße,residential,False,True,27.572999999999997,"LINESTRING (14.5309854 48.3573536, 14.5310647 48.3573199, 14.531143 48.357305, 14.5312474 48.3573045, 14.5313388 48.3573166)",,,,
"[32977664, 875533137, 26730895]",Gutauerstraße,tertiary,False,False,259.91700000000003,"LINESTRING (14.5309854 48.3573536, 14.5310732 48.3574396, 14.5311171 48.3574786, 14.5312509 48.3575933, 14.5313723 48.3576869, 14.5315178 48.3577858, 14.531666 48.357878, 14.5318034 48.3579569, 14.5322249 48.3581799, 14.5323545 48.3582519, 14.5324934 48.3583428, 14.5326349 48.3584595, 14.5327335 48.3585602, 14.532816 48.3586613, 14.5328911 48.358779, 14.5329554 48.3589131, 14.5330213 48.3591215, 14.5330331 48.3591769)",L1472,50,yes,
570751760,Gutauerstraße,tertiary,False,True,17.905,"LINESTRING (14.5309854 48.3573536, 14.5308888 48.3572465, 14.5308613 48.3572153)",L1472,50,,
"[5579348, 243229917]","['Bahnhofstraße', 'Stadtplatz']",tertiary,False,True,128.732,"LINESTRING (14.5308181 48.3546259, 14.5307917 48.3545988, 14.5307302 48.3545625, 14.5306413 48.3545328, 14.5305605 48.3545117, 14.5303946 48.3544736, 14.5302766 48.3544497, 14.5301485 48.3544355, 14.5299862 48.3544261, 14.5298441 48.3544252, 14.5296368 48.3544397, 14.5294139 48.3544704, 14.5291648 48.3545072)",L1472,30,,
"[875561356, 8008973]",Tragweiner Straße,tertiary,False,False,160.643,"LINESTRING (14.5308181 48.3546259, 14.5308959 48.3546235, 14.5309856 48.3546221, 14.5309955 48.354622, 14.5313493 48.354624, 14.5315394 48.3546234, 14.5318055 48.3546238, 14.5320093 48.3546219, 14.5322327 48.3546205, 14.5323642 48.3546211, 14.5323952 48.3546213, 14.5326351 48.3546138, 14.5327751 48.3546037, 14.5329102 48.3545871, 14.5329843 48.3545701)",,30,,
"[223601024, 875520462, 570751760, 273833717, 5579352, 995537307]","['Gutauerstraße', 'Stadtplatz']",tertiary,False,False,292.955,"LINESTRING (14.5308181 48.3546259, 14.5308383 48.3546759, 14.5308364 48.3547384, 14.5308289 48.354812, 14.5308031 48.3549825, 14.5307781 48.3551416, 14.5307603 48.3552702, 14.5307361 48.3554242, 14.5307267 48.3555062, 14.5307235 48.3555299, 14.5307044 48.3556698, 14.5305944 48.3560793, 14.5305789 48.3562006, 14.5305721 48.3563092, 14.5305887 48.3565825, 14.5305911 48.3566229, 14.5306065 48.3567245, 14.5306179 48.3567757, 14.5306528 48.3568791, 14.5306891 48.3569537, 14.5307291 48.3570361, 14.5308613 48.3572153)",L1472,"['30', '50']",,
7952465,Althauser Straße,tertiary,False,False,81.39699999999999,"LINESTRING (14.5347084 48.3535775, 14.5346893 48.3535224, 14.5346868 48.3535184, 14.5346557 48.3534686, 14.534582 48.3533908, 14.534168 48.3529433)",,,,
538563383,Tragweiner Straße,tertiary,False,True,59.303999999999995,"LINESTRING (14.5347084 48.3535775, 14.5346914 48.3536168, 14.5346447 48.353661, 14.5345587 48.3537097, 14.5341844 48.3539151, 14.5341364 48.3539405)",,50,,
