osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,tunnel,bridge
29393500,Radetzkystraße,tertiary,20,False,True,33.647999999999996,"LINESTRING (9.6890173 47.3662813, 9.6890612 47.3663603, 9.6890976 47.3665771)",,,,
29462854,Marktstraße,tertiary,20,True,False,217.437,"LINESTRING (9.6890173 47.3662813, 9.6890562 47.3662271, 9.6891002 47.3660843, 9.6891317 47.3659719, 9.6892385 47.3655911, 9.689256 47.3655357, 9.6892683 47.3654969, 9.6892761 47.3654742, 9.689544 47.3645844, 9.6895686 47.3645059, 9.6895851 47.3644583, 9.6895748 47.3644181, 9.6895332 47.3643773)",,,,
"[466700296, 29391993]",Goethestraße,tertiary,"['40', '30']",False,False,99.04100000000001,"LINESTRING (9.682833 47.363356, 9.6829043 47.3634409, 9.6831534 47.3636655, 9.6834404 47.3639244, 9.6836074 47.364075)",,,,
"[454748283, 454748277]",Bahnhofstraße,primary,50,False,False,108.15,"LINESTRING (9.682833 47.363356, 9.6832875 47.3631788, 9.6833704 47.36315, 9.6834851 47.3631101, 9.6837554 47.363007, 9.6840859 47.3628811)","['2', '3']",L190,,
8074790,Harrachgasse,tertiary,20,True,False,78.73000000000002,"LINESTRING (9.6882665 47.3657894, 9.6882947 47.3658079, 9.6883132 47.36582, 9.68834 47.3658375, 9.6884076 47.3658841, 9.6885388 47.3659746, 9.6885939 47.3660125, 9.6887252 47.3660995, 9.6887876 47.3661423, 9.6888776 47.3662035, 9.6889348 47.3662369, 9.6890173 47.3662813)",,,,
545091023,Brunnerplatz,tertiary,20,False,True,13.248,"LINESTRING (9.6882665 47.3657894, 9.6881805 47.3657358, 9.6881485 47.3657022)",,,,
29462855,Schloßplatz,tertiary,30,False,False,29.976,"LINESTRING (9.6895322 47.3627556, 9.6896868 47.3629421, 9.6897221 47.3629924)",,,,
29462855,Schloßplatz,tertiary,30,False,True,36.098,"LINESTRING (9.6895322 47.3627556, 9.6893222 47.3625692, 9.6892328 47.3625024)",,,,
"[776091491, 773656516, 773656515]",Schloßplatz,residential,30,False,True,50.952000000000005,"LINESTRING (9.6895322 47.3627556, 9.6896585 47.3627418, 9.6896093 47.3625094, 9.6895806 47.362374)",,,,
454748287,Bahnhofstraße,primary,50,False,False,38.094,"LINESTRING (9.6840859 47.3628811, 9.6845302 47.3627174)",3,L190,,
29392079,Andreas-Hofer-Straße,residential,40,False,True,190.987,"LINESTRING (9.6840859 47.3628811, 9.68396 47.3626497, 9.6838794 47.3623882, 9.6838253 47.3622737, 9.683788 47.3621948, 9.6837714 47.3621712, 9.6837408 47.3621277, 9.6836717 47.3620946, 9.6835207 47.3620223, 9.6833773 47.3619365, 9.6832889 47.3618977, 9.6830051 47.3617101, 9.6827175 47.361517)",,,,
"[454748283, 454748277]",Bahnhofstraße,primary,50,False,True,108.15,"LINESTRING (9.6840859 47.3628811, 9.6837554 47.363007, 9.6834851 47.3631101, 9.6833704 47.36315, 9.6832875 47.3631788, 9.682833 47.363356)","['2', '3']",L190,,
36925737,Im Tiergarten,residential,40,False,False,105.69,"LINESTRING (9.6912452 47.3669829, 9.6912656 47.3670134, 9.6913647 47.3670454, 9.6916268 47.3671296, 9.6918798 47.3672109, 9.6921947 47.3673121, 9.6923876 47.3673741, 9.6924662 47.3674281)",,,,
29391309,Walter-von-der-Vogelweide-Straße,residential,40,True,False,119.924,"LINESTRING (9.6849346 47.3604184, 9.6847432 47.3604383, 9.6846561 47.3604474, 9.6845077 47.3604628, 9.6844793 47.3604658, 9.6842503 47.3604895, 9.6839847 47.3605174, 9.6837729 47.3605395, 9.6836957 47.3605475, 9.6834374 47.3605744, 9.6834002 47.3605677, 9.6833626 47.360561)",,,,
29392005,Franz-Michael-Felder-Straße,residential,40,False,True,30.081,"LINESTRING (9.6849346 47.3604184, 9.6849258 47.3605346, 9.6849166 47.3606565, 9.684918 47.3606886)",,,,
128231292,Hochquellenstraße,tertiary,30,False,True,20.178,"LINESTRING (9.6890441 47.3604477, 9.6888253 47.3605524)",,,,
29391311,Wagnerstraße,residential,30,False,False,90.69200000000001,"LINESTRING (9.6890441 47.3604477, 9.6893713 47.3606635, 9.6894208 47.3606961, 9.6899355 47.3609954)",,,,
128231292,Hochquellenstraße,tertiary,30,False,False,43.022999999999996,"LINESTRING (9.6890441 47.3604477, 9.6892982 47.3602981, 9.689457 47.3601812)",,,,
128231292,Hochquellenstraße,tertiary,30,False,False,68.78799999999998,"LINESTRING (9.6880375 47.3608643, 9.6881322 47.3608215, 9.6882066 47.3607878, 9.6883294 47.360742, 9.688782 47.3605731, 9.6888095 47.36056, 9.6888253 47.3605524)",,,,
128231292,Hochquellenstraße,tertiary,30,False,True,72.81200000000001,"LINESTRING (9.6880375 47.3608643, 9.6875171 47.3612195, 9.6874771 47.3612468, 9.6873285 47.3613043)",,,,
