osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,access,width,tunnel
4020088,2,Kaiser-Franz-Josef-Kai,residential,30,False,True,20.481,"LINESTRING (15.4351715 47.0742212, 15.4351328 47.0742389, 15.4350548 47.0742533, 15.4349504 47.0742392, 15.434915 47.0742329)",,,
366444981,2,Kaiser-Franz-Josef-Kai,residential,30,False,False,23.875,"LINESTRING (15.4351715 47.0742212, 15.4352254 47.0741748, 15.4352772 47.0741307, 15.4353129 47.0740984, 15.4353634 47.0740509)",,,
211686103,3,Opernring,primary,50,True,False,48.82899999999999,"LINESTRING (15.4422589 47.0681006, 15.4418077 47.0679047, 15.4417307 47.0678749, 15.4417289 47.0678742, 15.4417123 47.0678679)",,,
"[82746368, 1174009065, 26451888, 197653620, 96247934]",2,Radetzkystraße,unclassified,30,True,False,119.21500000000002,"LINESTRING (15.439329 47.0665055, 15.4395814 47.0665331, 15.439618 47.066537, 15.4397829 47.0665547, 15.4399565 47.0665713, 15.4401721 47.0665923, 15.4402832 47.0666024, 15.4405965 47.0666316, 15.4406115 47.0666325, 15.4406273 47.066634, 15.4407801 47.0666484, 15.4408868 47.0666584)",,,
"[206039208, 78651654]",2,Raubergasse,residential,30,False,False,88.348,"LINESTRING (15.4390166 47.0676616, 15.4390379 47.0676038, 15.4392397 47.0673198, 15.4394489 47.0670382, 15.4394719 47.0670038, 15.439513 47.066944)",,,
153723562,,Kaiserfeldgasse,residential,30,False,False,76.217,"LINESTRING (15.4390166 47.0676616, 15.4390914 47.0676885, 15.4391762 47.0677174, 15.4393672 47.0677824, 15.4395313 47.0678389, 15.4398514 47.0679495, 15.4399144 47.0679712)",,,
1151975245,,Kaiserfeldgasse,residential,30,False,True,46.415,"LINESTRING (15.4390166 47.0676616, 15.4389343 47.0676337, 15.4384682 47.0674753)",,,
109378547,,Jakominiplatz,unclassified,30,False,False,35.369,"LINESTRING (15.4420348 47.0667922, 15.442012 47.0668141, 15.4420023 47.0668235, 15.4419829 47.0668404, 15.4419659 47.0668526, 15.4419464 47.0668625, 15.4419252 47.066872, 15.4419038 47.0668792, 15.441897 47.0668815, 15.4418651 47.0668905, 15.441823 47.0669014, 15.4417918 47.0669035, 15.4417668 47.0669056, 15.4417388 47.0669062, 15.4417146 47.0669053, 15.4416925 47.0669035, 15.4416735 47.0669014, 15.4416316 47.0668935)",,,
"[43313624, 366448562, 188838245, 366448559]",2,"['Jakoministraße', 'Jakominiplatz']","['residential', 'unclassified']",30,False,"[False, True]",52.942,"LINESTRING (15.4420348 47.0667922, 15.4420151 47.0668468, 15.4419804 47.0669446, 15.4419765 47.0669557, 15.4419518 47.0670033, 15.4419389 47.0670041, 15.4418392 47.066995, 15.4418245 47.0669974, 15.4418057 47.0669962, 15.4416838 47.0669237, 15.4416316 47.0668935)",no,,
366448568,2,Jakoministraße,residential,30,False,True,9.158999999999999,"LINESTRING (15.4420348 47.0667922, 15.4420471 47.0667595, 15.4420599 47.0667173, 15.4420615 47.0667119)",,,
"[188455129, 430401102]",,Hamerlinggasse,residential,30,False,True,83.15,"LINESTRING (15.4429831 47.0686858, 15.4428098 47.0688204, 15.4427952 47.0688315, 15.4426466 47.0689444, 15.4425959 47.0689829, 15.4422524 47.0692439)",,,
395324011,2,Hamerlinggasse,residential,30,True,False,23.721,"LINESTRING (15.4429831 47.0686858, 15.4429922 47.0686335, 15.4430059 47.0686077, 15.4430362 47.068591, 15.4431868 47.0685617)",,,
"[79277602, 111440375]",,Am Eisernen Tor,residential,30,True,False,64.943,"LINESTRING (15.4430327 47.067888, 15.4429555 47.0679103, 15.4428058 47.0679178, 15.4426818 47.0679352, 15.4424484 47.0679952, 15.4423919 47.0680304, 15.4423571 47.0680608, 15.4423467 47.068065, 15.4422589 47.0681006)",,,
"[1079053729, 203922133]",,Opernring,residential,30,True,False,72.092,"LINESTRING (15.4437069 47.0683451, 15.443648 47.0683035, 15.4435169 47.068211, 15.4433893 47.0681209, 15.4432328 47.0680105, 15.4430572 47.0679006, 15.4430327 47.067888)",,,
4354718,2,Schmiedgasse,residential,30,True,False,14.177999999999999,"LINESTRING (15.4408868 47.0666584, 15.4408714 47.0666808, 15.4408242 47.0667493, 15.4408049 47.066773)",,,
