osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,ref,name,bridge,junction,tunnel,access
24437807,2,secondary,50,False,True,19.314999999999998,"LINESTRING (14.4232317 48.0374519, 14.4231153 48.0374905, 14.4229989 48.037529)",,,,,,
109446204,2,primary,50,False,False,50.872,"LINESTRING (14.4232317 48.0374519, 14.4231721 48.0373993, 14.4231124 48.0373466, 14.4230144 48.03726, 14.4228297 48.0370818)",B115,,,,,
24048298,,residential,30,False,False,28.216,"LINESTRING (14.4171092 48.035993, 14.4171305 48.03602, 14.417159 48.0360443, 14.4173661 48.0361778)",,Vorlandbrücke,,,,
"[24792033, 1111815073, 24792034, 24437348, 1182198598, 1236920592, 868875064]",3,secondary,50,False,True,172.35600000000002,"LINESTRING (14.4171092 48.035993, 14.4169851 48.0360274, 14.4167769 48.0360943, 14.4164911 48.0361835, 14.4164692 48.0361903, 14.4159417 48.036383, 14.4156018 48.0364875, 14.4154738 48.0365337, 14.4154017 48.0365597, 14.4152824 48.0366035, 14.4151196 48.0366632, 14.4150408 48.0366907)",,Schönauerbrücke,yes,,,
"[379523562, 144398492]",,secondary,50,False,"[False, True]",142.181,"LINESTRING (14.4171092 48.035993, 14.4171941 48.0359664, 14.4182624 48.0356547, 14.4184759 48.0355928, 14.4188636 48.0354844)",,Schönauerbrücke,yes,,,
24437356,,secondary,50,False,True,35.248000000000005,"LINESTRING (14.4188636 48.0354844, 14.4190313 48.0354656, 14.4191017 48.035467, 14.4192057 48.0354764, 14.4193315 48.0354944)",,Dukartstraße,,,,
"[379523562, 144398492]",,secondary,50,False,"[False, True]",142.18099999999998,"LINESTRING (14.4188636 48.0354844, 14.4184759 48.0355928, 14.4182624 48.0356547, 14.4171941 48.0359664, 14.4171092 48.035993)",,Schönauerbrücke,yes,,,
784252774,,tertiary,50,True,False,69.22800000000001,"LINESTRING (14.4188636 48.0354844, 14.4191741 48.0353397, 14.4192392 48.0353083, 14.4192968 48.0352737, 14.4193649 48.0352166, 14.4193758 48.0352061, 14.4194242 48.0351639, 14.4195031 48.0350505)",,Eisenstraße,,,,
806487191,,secondary,50,False,False,10.024,"LINESTRING (14.4194598 48.0355221, 14.4193315 48.0354944)",,Dukartstraße,,,,
"[317808537, 1162266866, 868875093]",,secondary,50,False,True,195.76899999999998,"LINESTRING (14.4194598 48.0355221, 14.4195074 48.0355383, 14.4195932 48.0355768, 14.4196744 48.0356226, 14.4197501 48.0356773, 14.4198185 48.0357401, 14.4198903 48.0358154, 14.419958 48.0358876, 14.4200291 48.0359781, 14.4200771 48.0360493, 14.4201122 48.0361014, 14.4202329 48.0362933, 14.4202939 48.0363691, 14.4203664 48.0364588, 14.4204435 48.0365359, 14.4205273 48.0366175, 14.4207506 48.0368179, 14.4209162 48.0369632)",,Dukartstraße,,,,
15802853,,residential,30,False,False,90.507,"LINESTRING (14.4155659 48.03751, 14.41549 48.0375391, 14.4154656 48.037546, 14.4147343 48.0377796, 14.4145629 48.0378343, 14.4144692 48.0378628)",,Redtenbachergasse,,,,
