osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,junction
135302735,Thayapark,unclassified,50,False,True,124.718,"LINESTRING (16.3758392 48.7138281, 16.3771937 48.7145058)",,,
41745671,,residential,,False,False,183.19300000000004,"LINESTRING (16.3758392 48.7138281, 16.3759661 48.713771, 16.3760484 48.7137493, 16.3762056 48.7137566, 16.3768082 48.7138311, 16.3773344 48.7139043, 16.3773617 48.7139231, 16.3773738 48.7139426, 16.3773738 48.7139762, 16.3773631 48.7140328, 16.3773456 48.7140904, 16.3773067 48.7141691, 16.3772713 48.7142503, 16.3771937 48.7145058)",,,
"[449362693, 135302735]",Thayapark,unclassified,50,False,False,42.458,"LINESTRING (16.3758392 48.7138281, 16.3756961 48.7137594, 16.3756212 48.7137142, 16.3755527 48.71366, 16.3754895 48.7136046, 16.3754365 48.7135581)",B45,,
1257171240,Wattgasse,residential,,False,True,67.044,"LINESTRING (16.3784363 48.7151549, 16.3793491 48.7151265)",,,
30038144,Nordbahnstraße,unclassified,50,False,True,196.452,"LINESTRING (16.3784363 48.7151549, 16.3785283 48.7152057, 16.3787 48.7152918, 16.3793193 48.7156247, 16.3794364 48.7156929, 16.3795423 48.7157672, 16.3796351 48.7158403, 16.3797905 48.7159893, 16.3799271 48.716127, 16.3802338 48.7164396)",,2,
135302735,Thayapark,unclassified,50,False,False,116.279,"LINESTRING (16.3784363 48.7151549, 16.378016 48.7149376, 16.3771937 48.7145058)",,,
30038144,Nordbahnstraße,unclassified,50,False,True,14.515,"LINESTRING (16.3802338 48.7164396, 16.3803438 48.7165481)",,2,
30038144,Nordbahnstraße,unclassified,50,False,False,196.45199999999997,"LINESTRING (16.3802338 48.7164396, 16.3799271 48.716127, 16.3797905 48.7159893, 16.3796351 48.7158403, 16.3795423 48.7157672, 16.3794364 48.7156929, 16.3793193 48.7156247, 16.3787 48.7152918, 16.3785283 48.7152057, 16.3784363 48.7151549)",,2,
580389139,,primary,50,True,False,14.195,"LINESTRING (16.375341 48.7133527, 16.3754012 48.713368, 16.37545 48.7133958, 16.3754816 48.7134329)",B45,,roundabout
"[530968152, 530968149]",,primary,50,False,False,323.601,"LINESTRING (16.3754816 48.7134329, 16.375633 48.7134037, 16.3760991 48.7133247, 16.3763157 48.7132948, 16.3765668 48.7132653, 16.3768198 48.7132444, 16.3769916 48.7132338, 16.3771954 48.7132258, 16.3774541 48.7132247, 16.3777614 48.7132294, 16.3779947 48.7132418, 16.3783532 48.7132718, 16.3787128 48.7133141, 16.379827 48.7134628)",B45,,
580389142,,primary,50,True,False,15.149,"LINESTRING (16.3754816 48.7134329, 16.3754919 48.7134669, 16.3754874 48.7135016, 16.3754684 48.713534, 16.3754365 48.7135581)",B45,,roundabout
"[170097946, 24306437]",,primary,50,False,False,514.077,"LINESTRING (16.3751275 48.7134356, 16.3750468 48.7134085, 16.374966 48.7133815, 16.3747867 48.7133098, 16.3744351 48.7131414, 16.3737151 48.7127832, 16.3712291 48.711424, 16.3704588 48.711027, 16.3704278 48.7110117, 16.3695624 48.7106372)",B45,,
580389140,,primary,50,True,False,19.817,"LINESTRING (16.3751275 48.7134356, 16.3751465 48.7134087, 16.3751747 48.7133855, 16.3752105 48.7133675, 16.3752517 48.7133556, 16.3752961 48.7133506, 16.375341 48.7133527)",B45,,roundabout
1257171240,Wattgasse,residential,,False,False,67.044,"LINESTRING (16.3793491 48.7151265, 16.3784363 48.7151549)",,,
135969843,Wattgasse,residential,,False,True,147.028,"LINESTRING (16.3793491 48.7151265, 16.3801827 48.7151152, 16.3807983 48.7151095, 16.3809746 48.7151124, 16.3810578 48.7151071, 16.3811114 48.7151, 16.381216 48.7150876, 16.3812965 48.715077, 16.3813421 48.7150611)",,,
146936580,Grabenweg,residential,,False,False,111.053,"LINESTRING (16.3793491 48.7151265, 16.3793011 48.7146629, 16.3793118 48.7145957, 16.3794793 48.7141824, 16.3795014 48.7141466)",,,
1257171239,Grabenweg,residential,,False,True,77.602,"LINESTRING (16.3801545 48.7127992, 16.3800528 48.7130053, 16.379827 48.7134628)",,,
135302735,Thayapark,unclassified,50,False,False,124.718,"LINESTRING (16.3771937 48.7145058, 16.3758392 48.7138281)",,,
41745671,,residential,,False,True,183.19300000000004,"LINESTRING (16.3771937 48.7145058, 16.3772713 48.7142503, 16.3773067 48.7141691, 16.3773456 48.7140904, 16.3773631 48.7140328, 16.3773738 48.7139762, 16.3773738 48.7139426, 16.3773617 48.7139231, 16.3773344 48.7139043, 16.3768082 48.7138311, 16.3762056 48.7137566, 16.3760484 48.7137493, 16.3759661 48.713771, 16.3758392 48.7138281)",,,
135302735,Thayapark,unclassified,50,False,True,116.279,"LINESTRING (16.3771937 48.7145058, 16.378016 48.7149376, 16.3784363 48.7151549)",,,
1257171239,Grabenweg,residential,,False,True,79.7,"LINESTRING (16.379827 48.7134628, 16.3795014 48.7141466)",,,
"[530968152, 530968149]",,primary,50,False,True,323.60099999999994,"LINESTRING (16.379827 48.7134628, 16.3787128 48.7133141, 16.3783532 48.7132718, 16.3779947 48.7132418, 16.3777614 48.7132294, 16.3774541 48.7132247, 16.3771954 48.7132258, 16.3769916 48.7132338, 16.3768198 48.7132444, 16.3765668 48.7132653, 16.3763157 48.7132948, 16.3760991 48.7133247, 16.375633 48.7134037, 16.3754816 48.7134329)",B45,,
1257171239,Grabenweg,residential,,False,False,77.602,"LINESTRING (16.379827 48.7134628, 16.3800528 48.7130053, 16.3801545 48.7127992)",,,
"[170097946, 24306437]",,primary,50,False,True,514.0769999999999,"LINESTRING (16.3695624 48.7106372, 16.3704278 48.7110117, 16.3704588 48.711027, 16.3712291 48.711424, 16.3737151 48.7127832, 16.3744351 48.7131414, 16.3747867 48.7133098, 16.374966 48.7133815, 16.3750468 48.7134085, 16.3751275 48.7134356)",B45,,
1257171239,Grabenweg,residential,,False,False,79.7,"LINESTRING (16.3795014 48.7141466, 16.379827 48.7134628)",,,
146936580,Grabenweg,residential,,False,True,111.053,"LINESTRING (16.3795014 48.7141466, 16.3794793 48.7141824, 16.3793118 48.7145957, 16.3793011 48.7146629, 16.3793491 48.7151265)",,,
30038144,Nordbahnstraße,unclassified,50,False,False,14.515,"LINESTRING (16.3803438 48.7165481, 16.3802338 48.7164396)",,2,
