osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access
26476596,Pöckgasse,residential,30,False,False,91.96,"LINESTRING (16.2389965 47.8144373, 16.2388959 47.814448, 16.2377973 47.8146247)",,,
26476599,Herrengasse,residential,,True,False,67.534,"LINESTRING (16.2389965 47.8144373, 16.2390918 47.8144229, 16.2398787 47.8143035)",,,
133142368,Babenbergerring,tertiary,,False,False,145.07000000000002,"LINESTRING (16.2389965 47.8144373, 16.239025 47.8144976, 16.2395301 47.8155645, 16.2395857 47.8156805)",,,
"[133142368, 427031260]",Babenbergerring,tertiary,,False,True,97.39999999999999,"LINESTRING (16.2389965 47.8144373, 16.2389566 47.8143669, 16.2387834 47.8140486, 16.238578 47.8137006, 16.2385299 47.8136194)",,,
"[693556021, 452271039]",Ungargasse,primary,50,False,True,159.266,"LINESTRING (16.2486608 47.8127448, 16.2484266 47.8127853, 16.2476275 47.8128782, 16.2472048 47.8129172, 16.2465536 47.8129527)",2,B53,
1040528458,Wiener Straße,residential,,True,False,14.961,"LINESTRING (16.2443857 47.8162176, 16.2445357 47.8163068)",,,
114397500,Eyerspergring,tertiary,,False,True,164.111,"LINESTRING (16.2445357 47.8163068, 16.2446306 47.8162937, 16.2464516 47.8159535, 16.2465505 47.815935, 16.2466548 47.8159158)",2,,
"[452260179, 31026859]",Baumkirchnerring,tertiary,,False,True,161.17399999999998,"LINESTRING (16.2445357 47.8163068, 16.2444422 47.8163173, 16.2442442 47.8163324, 16.2439713 47.8163555, 16.2433984 47.8164204, 16.2432041 47.8164665, 16.2431499 47.8164777, 16.2426848 47.8165708, 16.2424339 47.8166174)",,,
452271039,Ungargasse,primary,50,False,False,7.229,"LINESTRING (16.246457 47.812957, 16.2465536 47.8129527)",,B53,
38891918,Neuklostergasse,residential,,False,True,82.51499999999999,"LINESTRING (16.246457 47.812957, 16.2464421 47.8128647, 16.2463209 47.8122862, 16.2463074 47.8122218)",,,
60294896,Ungargasse,primary,50,False,True,68.913,"LINESTRING (16.246457 47.812957, 16.2457471 47.8129784, 16.245669 47.8129808, 16.2455351 47.8129852)",2,B53,
38891918,Neuklostergasse,residential,,False,False,82.51499999999999,"LINESTRING (16.2463074 47.8122218, 16.2463209 47.8122862, 16.2464421 47.8128647, 16.246457 47.812957)",,,
38891918,Neuklostergasse,residential,,False,True,58.32299999999999,"LINESTRING (16.2463074 47.8122218, 16.2463787 47.8121764, 16.2464081 47.8117183)",,,
38891919,Neuklosterplatz,residential,,False,False,68.154,"LINESTRING (16.2463074 47.8122218, 16.2462405 47.8122248, 16.2455901 47.8122539, 16.2455198 47.812257, 16.245397 47.8122647)",,,
427015491,Babenbergerring,tertiary,,False,True,24.646,"LINESTRING (16.2407154 47.8171853, 16.2406198 47.8171877, 16.2405164 47.8171795, 16.2403945 47.8171486)",,,
"[427027568, 427015492]",Baumkirchnerring,tertiary,,False,False,64.856,"LINESTRING (16.2407154 47.8171853, 16.2408429 47.817157, 16.2408866 47.817144, 16.2413529 47.8169766, 16.2414939 47.8169291)",,,
30559466,Burggasse,residential,30,False,False,71.012,"LINESTRING (16.2436668 47.8105067, 16.2437527 47.8104962, 16.2445453 47.8103988, 16.2446022 47.8103918)",,,
155870133,Bahngasse,residential,30,True,False,79.666,"LINESTRING (16.2436668 47.8105067, 16.2435747 47.8105208, 16.2428878 47.810626, 16.2426258 47.8106633)",,,
31027121,Ferdinand Porsche-Ring,tertiary,,False,False,104.801,"LINESTRING (16.2385299 47.8136194, 16.2384967 47.8135308, 16.2383901 47.8132865, 16.238292 47.8131179, 16.2380467 47.8127364)",2,,
"[133142368, 427031260]",Babenbergerring,tertiary,,False,False,97.4,"LINESTRING (16.2385299 47.8136194, 16.238578 47.8137006, 16.2387834 47.8140486, 16.2389566 47.8143669, 16.2389965 47.8144373)",,,
26423012,Komarigasse,residential,30,False,False,55.158,"LINESTRING (16.2502491 47.8150879, 16.2498563 47.8150878, 16.2495168 47.8151322)",,,
"[970900209, 970900212, 970900207]",Plankengasse,residential,,False,False,140.572,"LINESTRING (16.2502491 47.8150879, 16.2503759 47.8156475, 16.2503942 47.8157284, 16.2503893 47.8160805, 16.2503857 47.8163447)",,,
26423012,Komarigasse,residential,30,False,True,55.158,"LINESTRING (16.2495168 47.8151322, 16.2498563 47.8150878, 16.2502491 47.8150879)",,,
