osmid,name,highway,access,oneway,reversed,length,geometry,tunnel,lanes,bridge,ref
4485151,Burgtorgasse,residential,permissive,False,False,8.477,"LINESTRING (14.3578957 47.5246567, 14.3579077 47.5245809)",,,,
4485150,Hauptplatz,residential,,True,False,13.006,"LINESTRING (14.3578957 47.5246567, 14.3579789 47.5246834, 14.3580512 47.5247082)",,,,
4485151,Burgtorgasse,residential,permissive,False,True,135.469,"LINESTRING (14.3585149 47.5234413, 14.3584906 47.5234841, 14.3582355 47.5238655, 14.3579904 47.5242534, 14.3579684 47.5243406, 14.3579077 47.5245809)",,,,
"[4485152, 162292946, 162292944]",Burgtorgasse,residential,permissive,False,False,160.21499999999997,"LINESTRING (14.3585149 47.5234413, 14.3586076 47.5234664, 14.3589345 47.5235906, 14.3589307 47.5236628, 14.3588557 47.5237257, 14.358812 47.5237684, 14.3589038 47.5238486, 14.3589745 47.5239573, 14.3589674 47.5239847, 14.358909 47.524211, 14.3588562 47.524391, 14.3587947 47.5245839, 14.358777 47.5246394)",yes,,,
23701184,Burgtorgasse,residential,,False,False,20.601,"LINESTRING (14.3585149 47.5234413, 14.3585252 47.5233511, 14.358525 47.5232563)",yes,,,
4485150,Hauptplatz,residential,,True,False,59.683,"LINESTRING (14.3580512 47.5247082, 14.357844 47.5251623, 14.3578248 47.5252225)",,,,
4485153,Doktor-Rudolf-Tyrolt-Gasse,residential,,False,True,55.367,"LINESTRING (14.3580512 47.5247082, 14.3582515 47.5247135, 14.3584028 47.5246926, 14.3585575 47.524668, 14.358777 47.5246394)",,,,
129542672,Hauptstraße,tertiary,,False,True,10.961,"LINESTRING (14.3578248 47.5252225, 14.3576826 47.5252002)",,2,,
129542672,Hauptstraße,tertiary,,False,False,10.431999999999999,"LINESTRING (14.3578248 47.5252225, 14.3578804 47.5252296, 14.3579589 47.5252464)",,2,,
129542671,Hauptstraße,tertiary,,False,True,46.302,"LINESTRING (14.3559592 47.5248636, 14.3553606 47.5247636)",,2,,
23701187,Kirchengasse,residential,permissive,False,False,125.522,"LINESTRING (14.3559592 47.5248636, 14.356128 47.5243897, 14.3561462 47.5243593, 14.3561863 47.5243386, 14.356282 47.5243419, 14.3564892 47.5243403, 14.3570203 47.524431)",,,,
129542671,Hauptstraße,tertiary,,False,False,50.96,"LINESTRING (14.3559592 47.5248636, 14.3563188 47.5249256, 14.3566126 47.524987)",,2,,
4485151,Burgtorgasse,residential,permissive,False,True,8.477,"LINESTRING (14.3579077 47.5245809, 14.3578957 47.5246567)",,,,
4485151,Burgtorgasse,residential,permissive,False,False,135.46900000000002,"LINESTRING (14.3579077 47.5245809, 14.3579684 47.5243406, 14.3579904 47.5242534, 14.3582355 47.5238655, 14.3584906 47.5234841, 14.3585149 47.5234413)",,,,
23701187,Kirchengasse,residential,permissive,False,True,68.686,"LINESTRING (14.3579077 47.5245809, 14.3576618 47.5245404, 14.3570804 47.5244413, 14.3570203 47.524431)",,,,
36496312,Burgtorsiedlung,residential,,False,True,70.42699999999999,"LINESTRING (14.3615488 47.5204708, 14.3613779 47.520766, 14.3611778 47.5210521)",,,,
36496347,Burgtorsiedlung,residential,,False,True,108.07900000000001,"LINESTRING (14.3615488 47.5204708, 14.3609526 47.5203335, 14.3601474 47.5203888)",,,,
"[45371781, 1003726263]",Stadtwaldsiedlung,residential,,False,"[False, True]",159.921,"LINESTRING (14.3615488 47.5204708, 14.3618972 47.5198518, 14.3629923 47.5200868)",,,,
