osmid,oneway,name,highway,reversed,length,lanes,ref,geometry,maxspeed,junction,bridge
10044946,False,Gerlosstraße,residential,True,8.476,,,"LINESTRING (11.8824249 47.2329975, 11.8824622 47.2329256)",,,
"[106122332, 92725284]",False,Dorfplatz,tertiary,False,75.82900000000001,3,L331,"LINESTRING (11.8824249 47.2329975, 11.8824012 47.2329898, 11.8823688 47.2329825, 11.8823227 47.2329876, 11.882283 47.2329954, 11.8820123 47.233121, 11.8817371 47.2332445, 11.8816818 47.2332765, 11.8816064 47.2333446)",,,
519036946,False,Rohrerstraße,tertiary,True,42.527,,L331,"LINESTRING (11.8824249 47.2329975, 11.8824582 47.2330235, 11.8824877 47.233055, 11.8825158 47.2330959, 11.8825967 47.2332643, 11.8826373 47.2333483)",50,,
"[92725288, 223278045]",False,"['Unterdorf', 'Dorfplatz']",tertiary,False,97.97000000000001,,L331,"LINESTRING (11.8807589 47.2337065, 11.8807557 47.2337418, 11.8807443 47.2337842, 11.8807468 47.2338469, 11.8807552 47.2338985, 11.8807542 47.233947, 11.8807313 47.2340224, 11.8807089 47.2340818, 11.8806689 47.2341622, 11.8806237 47.2342178, 11.880581 47.2342545, 11.8805437 47.234291, 11.8805155 47.2343239, 11.880494 47.2343579, 11.8804833 47.2343868, 11.8804738 47.2344274, 11.8804746 47.234543)",,,
354373955,False,Dorfplatz,tertiary,True,77.558,,L331,"LINESTRING (11.8807589 47.2337065, 11.8809542 47.2335621, 11.8810676 47.2335272, 11.8814168 47.2334504, 11.8814692 47.2334313, 11.8815178 47.2334025, 11.8816064 47.2333446)",,,
"[92725272, 1159995282, 61835590]",False,"['Unterdorf', 'Schwimmbadweg']",residential,True,336.675,,,"LINESTRING (11.8807589 47.2337065, 11.8804547 47.2337493, 11.8802523 47.2337507, 11.8800966 47.2337296, 11.8800078 47.2336928, 11.8797966 47.2334838, 11.8797561 47.2334107, 11.8796372 47.2330626, 11.879482 47.2325659, 11.8793409 47.2322063, 11.8790196 47.2314733, 11.8788768 47.2313369)",,,
39077259,False,,tertiary,False,73.262,2,L300,"LINESTRING (11.876335 47.2323496, 11.8762662 47.2316924)",,,
39077259,False,,tertiary,True,402.9750000000001,2,L300,"LINESTRING (11.876335 47.2323496, 11.876492 47.2327539, 11.8766159 47.2329443, 11.8767655 47.2330961, 11.8772449 47.2334247, 11.8773083 47.2334584, 11.8784585 47.234079, 11.8785093 47.2341019, 11.8788229 47.2342429, 11.879149 47.2344341, 11.8795534 47.2346935, 11.8798863 47.2349384)",,,
39077259,False,,tertiary,True,73.262,2,L300,"LINESTRING (11.8762662 47.2316924, 11.876335 47.2323496)",,,
381970829,False,Zellberg,tertiary,False,48.178,,L51,"LINESTRING (11.8762662 47.2316924, 11.8762003 47.231688, 11.8759775 47.2316732, 11.8757487 47.231656, 11.875632 47.2316451)",,,
"[23309050, 1023797471]",False,Bahnhofstraße,tertiary,False,274.166,,,"LINESTRING (11.8816064 47.2333446, 11.8813915 47.2328007, 11.8813765 47.2327672, 11.8809406 47.231795, 11.8809013 47.2316857, 11.880859 47.2315769, 11.8807493 47.231268, 11.8806997 47.2310441, 11.8806864 47.2309626)",50,,
"[92725284, 106122332]",False,Dorfplatz,tertiary,True,75.829,3,L331,"LINESTRING (11.8816064 47.2333446, 11.8816818 47.2332765, 11.8817371 47.2332445, 11.8820123 47.233121, 11.882283 47.2329954, 11.8823227 47.2329876, 11.8823688 47.2329825, 11.8824012 47.2329898, 11.8824249 47.2329975)",,,
354373955,False,Dorfplatz,tertiary,False,77.55799999999999,,L331,"LINESTRING (11.8816064 47.2333446, 11.8815178 47.2334025, 11.8814692 47.2334313, 11.8814168 47.2334504, 11.8810676 47.2335272, 11.8809542 47.2335621, 11.8807589 47.2337065)",,,
30291835,False,Bahnhofstraße,residential,True,42.306999999999995,,,"LINESTRING (11.8806864 47.2309626, 11.8805588 47.2309731, 11.8801308 47.2310118)",,,
"[23309050, 1023797471]",False,Bahnhofstraße,tertiary,True,274.166,,,"LINESTRING (11.8806864 47.2309626, 11.8806997 47.2310441, 11.8807493 47.231268, 11.880859 47.2315769, 11.8809013 47.2316857, 11.8809406 47.231795, 11.8813765 47.2327672, 11.8813915 47.2328007, 11.8816064 47.2333446)",50,,
30291808,False,,residential,True,62.932,,,"LINESTRING (11.8798863 47.2349384, 11.8799924 47.2350765, 11.8801182 47.235165, 11.8802691 47.2352101, 11.8805109 47.2352714)",,,
39077259,False,,tertiary,False,402.975,2,L300,"LINESTRING (11.8798863 47.2349384, 11.8795534 47.2346935, 11.879149 47.2344341, 11.8788229 47.2342429, 11.8785093 47.2341019, 11.8784585 47.234079, 11.8773083 47.2334584, 11.8772449 47.2334247, 11.8767655 47.2330961, 11.8766159 47.2329443, 11.876492 47.2327539, 11.876335 47.2323496)",,,
39077259,False,,tertiary,True,28.756,2,L300,"LINESTRING (11.8798863 47.2349384, 11.8800692 47.2350118, 11.8801662 47.2350237, 11.8802357 47.2350284)",,,
381970829,False,Zellberg,tertiary,True,48.178,,L51,"LINESTRING (11.875632 47.2316451, 11.8757487 47.231656, 11.8759775 47.2316732, 11.8762003 47.231688, 11.8762662 47.2316924)",,,
892254806,False,Unterau,residential,True,35.175,,,"LINESTRING (11.8860976 47.2364949, 11.886507 47.2366459)",,,
30291830,False,Unterau,residential,False,87.377,,,"LINESTRING (11.8860976 47.2364949, 11.8863316 47.2361879, 11.886379 47.2360749, 11.8864237 47.2359389, 11.8863932 47.2358739, 11.8863266 47.2357681)",,,
30291830,False,Unterau,residential,True,118.709,,,"LINESTRING (11.8860976 47.2364949, 11.8859395 47.2366679, 11.885876 47.236777, 11.8858849 47.2368729, 11.885975 47.236955, 11.886087 47.236992, 11.886391 47.2370081, 11.8865525 47.2369966, 11.886768 47.2369946)",,,
30291830,False,Unterau,residential,False,118.709,,,"LINESTRING (11.886768 47.2369946, 11.8865525 47.2369966, 11.886391 47.2370081, 11.886087 47.236992, 11.885975 47.236955, 11.8858849 47.2368729, 11.885876 47.236777, 11.8859395 47.2366679, 11.8860976 47.2364949)",,,
30291830,False,Unterau,residential,True,82.66000000000001,,,"LINESTRING (11.886768 47.2369946, 11.887151 47.2372741, 11.8873116 47.2373826, 11.8875209 47.2375342)",,,
30291841,False,Unterau,residential,False,137.953,,,"LINESTRING (11.886768 47.2369946, 11.8870602 47.2369292, 11.8873068 47.2367898, 11.8875906 47.2366037, 11.8877606 47.2364642, 11.8880062 47.2361396)",,,
30291830,False,Unterau,residential,False,14.706,,,"LINESTRING (11.8876541 47.2376307, 11.8875209 47.2375342)",,,
30291832,False,,residential,False,183.71799999999996,,,"LINESTRING (11.8869999 47.2307203, 11.8870282 47.2305587, 11.8871544 47.2303098, 11.8871682 47.2302593, 11.8872423 47.2299872, 11.887372 47.2297726, 11.8874005 47.2297254, 11.8874504 47.2296607, 11.8875338 47.2295839, 11.8876046 47.2295245, 11.8880487 47.2293096)",,,
30292569,False,Gaudergasse,residential,True,254.92800000000003,,,"LINESTRING (11.8869999 47.2307203, 11.886888 47.2307717, 11.8866574 47.230826, 11.8864329 47.230879, 11.8862009 47.2309232, 11.885877 47.231077, 11.8856715 47.231206, 11.8853582 47.2314764, 11.8851008 47.2317196, 11.8849495 47.2319076, 11.8848173 47.2320217, 11.8847377 47.2320615, 11.8846198 47.2320727, 11.8844714 47.2320736)",,,
1260597706,False,Gaudergasse,residential,False,60.887,,,"LINESTRING (11.8869999 47.2307203, 11.8871444 47.230741, 11.8873754 47.2307364, 11.887448 47.2307521, 11.8876189 47.2309606)",,,
30291832,False,,residential,True,183.71800000000002,,,"LINESTRING (11.8880487 47.2293096, 11.8876046 47.2295245, 11.8875338 47.2295839, 11.8874504 47.2296607, 11.8874005 47.2297254, 11.887372 47.2297726, 11.8872423 47.2299872, 11.8871682 47.2302593, 11.8871544 47.2303098, 11.8870282 47.2305587, 11.8869999 47.2307203)",,,
30291834,False,,residential,False,122.58099999999999,,,"LINESTRING (11.8798893 47.2299217, 11.8800407 47.2305799, 11.8801308 47.2310118)",,,
30291835,False,Bahnhofstraße,residential,True,36.59,,,"LINESTRING (11.8801308 47.2310118, 11.879655 47.2310742)",,,
30291834,False,,residential,True,122.58099999999999,,,"LINESTRING (11.8801308 47.2310118, 11.8800407 47.2305799, 11.8798893 47.2299217)",,,
30291835,False,Bahnhofstraße,residential,False,42.306999999999995,,,"LINESTRING (11.8801308 47.2310118, 11.8805588 47.2309731, 11.8806864 47.2309626)",,,
30291835,False,Bahnhofstraße,residential,False,36.59,,,"LINESTRING (11.879655 47.2310742, 11.8801308 47.2310118)",,,
106653109,False,Zellfeldstraße,residential,False,173.371,,,"LINESTRING (11.879655 47.2310742, 11.8792701 47.2295371)",,,
30291835,False,Bahnhofstraße,residential,True,64.386,,,"LINESTRING (11.879655 47.2310742, 11.87949 47.2310995, 11.8788233 47.231202)",,,
30291841,False,Unterau,residential,True,137.953,,,"LINESTRING (11.8880062 47.2361396, 11.8877606 47.2364642, 11.8875906 47.2366037, 11.8873068 47.2367898, 11.8870602 47.2369292, 11.886768 47.2369946)",,,
1152459530,False,Spitalgasse,residential,True,39.794,,,"LINESTRING (11.8831332 47.2332271, 11.8826373 47.2333483)",,,
"[30291866, 30291884]",False,"['Rosengartenweg', 'Spitalgasse']",residential,"[False, True]",472.611,,,"LINESTRING (11.8873005 47.2320072, 11.8871484 47.2320083, 11.8867143 47.2320785, 11.8866245 47.2321031, 11.8865567 47.2321315, 11.8862729 47.2322707, 11.8859294 47.2324225, 11.8858876 47.232441, 11.8849389 47.232695, 11.8844144 47.2328357, 11.8843763 47.232848, 11.8841237 47.2329296, 11.883632 47.2330889, 11.8837917 47.2335755, 11.8841063 47.2345645)",,,
