osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,lanes,junction,tunnel
"[390283057, 669330468, 669330469]",Lofererstraße,tertiary,30,False,False,327.21999999999997,"LINESTRING (12.8444852 47.4306284, 12.844621 47.4305978, 12.8447062 47.4305644, 12.8448518 47.4304783, 12.8449507 47.430395, 12.8451337 47.4302042, 12.8456454 47.4296821, 12.8456999 47.4296221, 12.8461937 47.4290951, 12.8467651 47.4284068, 12.846935 47.4282383)",,,,,
"[669361395, 669361397, 661288791]",Loferer Bundesstraße,primary,50,False,True,158.08899999999997,"LINESTRING (12.8444852 47.4306284, 12.844421 47.4304781, 12.8443447 47.4303308, 12.8442061 47.4301126, 12.8440715 47.4299301, 12.8439893 47.4298243, 12.8438863 47.4297062, 12.8437728 47.4295889, 12.8436754 47.4294963, 12.8435976 47.4294254, 12.8435379 47.4293695)",B311,,,,
159555350,Almerstraße,primary,50,False,True,3.662,"LINESTRING (12.848248 47.4246391, 12.8482437 47.4246063)",B164,,,,
"[706138665, 29877226, 158084614]",Ritzenseestraße,tertiary,,False,False,25.29,"LINESTRING (12.848248 47.4246391, 12.848149 47.4246427, 12.8480095 47.424573, 12.8479595 47.4245464)",,yes,,,
"[772949016, 772949017, 706138666]",Almerstraße,primary,50,False,False,89.98299999999999,"LINESTRING (12.848248 47.4246391, 12.8482607 47.424715, 12.8482989 47.4249423, 12.8483061 47.425141, 12.8483069 47.4251616, 12.848306 47.4251903, 12.8483041 47.4253051, 12.8482921 47.4253769, 12.8482524 47.4254404)",B164,yes,2,,
5104643,Almerstraße,primary,50,False,False,96.88300000000001,"LINESTRING (12.8482524 47.4254404, 12.8481486 47.4255552, 12.8481262 47.4256039, 12.848121 47.425654, 12.8481251 47.4257793, 12.8481075 47.4258531, 12.8480852 47.4258932, 12.848044 47.4259411, 12.8480128 47.4259684, 12.8477252 47.4262002)",B164,,2,,
26661964,Lofererstraße,residential,30,False,True,132.98800000000003,"LINESTRING (12.8482524 47.4254404, 12.8483788 47.4254679, 12.8487598 47.4257394, 12.8488798 47.4258517, 12.848888 47.4258941, 12.8488697 47.4259864, 12.8488813 47.4260315, 12.8490019 47.4261801, 12.8490561 47.426282, 12.8491132 47.4263417, 12.8491669 47.4263927)",,,,,
"[772949016, 772949017, 706138666]",Almerstraße,primary,50,False,True,89.983,"LINESTRING (12.8482524 47.4254404, 12.8482921 47.4253769, 12.8483041 47.4253051, 12.848306 47.4251903, 12.8483069 47.4251616, 12.8483061 47.425141, 12.8482989 47.4249423, 12.8482607 47.424715, 12.848248 47.4246391)",B164,yes,2,,
"[336709363, 26799934]","['Mühlbachweg', 'Stiftgasse']",living_street,,False,False,89.05,"LINESTRING (12.8458891 47.4266915, 12.8459325 47.4264587, 12.8457835 47.4263667, 12.845641 47.4262566, 12.845457 47.4262977, 12.8455029 47.4263938, 12.8454426 47.4264249)",,,,,
39898135,Bahnhofstraße,primary,50,False,False,15.26,"LINESTRING (12.8458891 47.4266915, 12.8458565 47.4266908, 12.8456865 47.4266968)",B164,,2,,
39898135,Bahnhofstraße,primary,50,False,True,52.054,"LINESTRING (12.8458891 47.4266915, 12.8459951 47.426705, 12.8461132 47.4267285, 12.8463747 47.426787, 12.8464688 47.4268021, 12.8465573 47.4268075)",B164,,2,,
29875211,Wiechenthalerweg,residential,,False,False,105.53,"LINESTRING (12.8440939 47.4265516, 12.8440799 47.4264798, 12.8440297 47.4264059, 12.8439507 47.426326, 12.8437374 47.4262907, 12.8434121 47.4262662, 12.8433438 47.4262562, 12.8432843 47.4262119, 12.8430797 47.4260383)",,,,,
116171368,Bahnhofstraße,secondary,50,False,False,185.88300000000004,"LINESTRING (12.8440939 47.4265516, 12.8439945 47.4265548, 12.8438726 47.4265834, 12.8437775 47.4266168, 12.8434078 47.4267731, 12.8432553 47.4268206, 12.8430431 47.4268588, 12.8424922 47.4269679, 12.8423426 47.4269964, 12.842189 47.427008, 12.8420378 47.4270031, 12.8417622 47.4269883)",,,2,,
"[116171368, 116171355, 26594183]",Bahnhofstraße,secondary,50,False,True,112.506,"LINESTRING (12.8440939 47.4265516, 12.8441754 47.4265568, 12.8443311 47.4266056, 12.8445676 47.4266833, 12.844594 47.4266905, 12.8446856 47.4267106, 12.8448278 47.4267309, 12.8449675 47.4267384, 12.8453984 47.426713, 12.8455348 47.426715)",,yes,2,,
669366580,Leogangerstraße,primary,30,True,False,22.17,"LINESTRING (12.8432203 47.4289289, 12.8433051 47.4289232, 12.8434007 47.4289021, 12.8435027 47.4288762)",B164,,,,
669366613,,primary,50,True,False,15.801999999999998,"LINESTRING (12.8432203 47.4289289, 12.8432622 47.4289451, 12.8433064 47.4289755, 12.8433342 47.4290118, 12.843342 47.4290372)",,,2,roundabout,
26661962,Mittergasse,residential,30,False,False,175.8,"LINESTRING (12.8461932 47.4280009, 12.8451463 47.4284469, 12.8445755 47.4285941, 12.8445142 47.4286021, 12.8443932 47.4286178, 12.8442101 47.428519, 12.844156 47.4284899)",,,,,
26661962,Mittergasse,residential,30,False,True,93.876,"LINESTRING (12.8461932 47.4280009, 12.8463921 47.4279104, 12.8465422 47.4278239, 12.8466966 47.4276963, 12.8470232 47.4273825)",,,,,
26795666,Mittergasse,residential,30,False,True,84.44999999999999,"LINESTRING (12.8461932 47.4280009, 12.8457458 47.4276669, 12.8453846 47.4274782)",,,,,
26661962,Mittergasse,residential,30,False,True,175.8,"LINESTRING (12.844156 47.4284899, 12.8442101 47.428519, 12.8443932 47.4286178, 12.8445142 47.4286021, 12.8445755 47.4285941, 12.8451463 47.4284469, 12.8461932 47.4280009)",,,,,
26799936,Parkstraße,residential,,False,True,54.004000000000005,"LINESTRING (12.844156 47.4284899, 12.8440742 47.428457, 12.8439197 47.4283093, 12.8437145 47.4281131)",,,,,
336145618,Leogangerstraße,primary,30,False,True,107.219,"LINESTRING (12.844156 47.4284899, 12.8442578 47.4283661, 12.8444545 47.4282222, 12.8450832 47.4277621)",,,2,,
706161066,Leogangerstraße,primary,30,False,False,37.738,"LINESTRING (12.844156 47.4284899, 12.8439159 47.4286409, 12.8437886 47.428721)",,,2,,
706161066,Leogangerstraße,primary,30,False,True,37.738,"LINESTRING (12.8437886 47.428721, 12.8439159 47.4286409, 12.844156 47.4284899)",,,2,,
728068902,Leogangerstraße,primary,30,False,False,27.575000000000003,"LINESTRING (12.8437886 47.428721, 12.8436667 47.4287872, 12.8435027 47.4288762)",,,2,,
"[728068904, 1204919947, 728068903]",Am Postplatz,residential,,False,True,104.126,"LINESTRING (12.8437886 47.428721, 12.8438368 47.4287602, 12.8439453 47.4288485, 12.8440274 47.4289177, 12.8444622 47.4292994, 12.8444901 47.4293384, 12.8445299 47.4294125, 12.8445949 47.4294767)",,,,,
26795666,Mittergasse,residential,30,False,False,84.44999999999999,"LINESTRING (12.8453846 47.4274782, 12.8457458 47.4276669, 12.8461932 47.4280009)",,,,,
336145618,Leogangerstraße,primary,30,False,False,38.892,"LINESTRING (12.8453846 47.4274782, 12.8451315 47.4277241, 12.8450832 47.4277621)",,,2,,
"[336145618, 26594181]","['Leogangerstraße', 'Stadtplatz']",primary,30,False,True,43.062,"LINESTRING (12.8453846 47.4274782, 12.8455015 47.4273319, 12.8455496 47.4272494, 12.8455678 47.4271177)",B164,,2,,
26661962,Mittergasse,residential,30,False,False,93.87599999999999,"LINESTRING (12.8470232 47.4273825, 12.8466966 47.4276963, 12.8465422 47.4278239, 12.8463921 47.4279104, 12.8461932 47.4280009)",,,,,
26795668,Bahnhofstraße,residential,30,True,False,73.789,"LINESTRING (12.8470232 47.4273825, 12.8468091 47.4271968, 12.8466279 47.4269805, 12.8465573 47.4268075)",,,,,
"[728068904, 1204919947, 728068903]",Am Postplatz,residential,,False,False,104.126,"LINESTRING (12.8445949 47.4294767, 12.8445299 47.4294125, 12.8444901 47.4293384, 12.8444622 47.4292994, 12.8440274 47.4289177, 12.8439453 47.4288485, 12.8438368 47.4287602, 12.8437886 47.428721)",,,,,
26623450,Ramseiderstraße,residential,,False,True,68.623,"LINESTRING (12.8511234 47.4256282, 12.8513402 47.4255799, 12.8515897 47.4254766, 12.8519236 47.4253384)",,,,,
761765655,Ramseiderstraße,residential,,False,False,50.161,"LINESTRING (12.8511234 47.4256282, 12.8509099 47.4256673, 12.8507469 47.4256774, 12.8505459 47.425665, 12.8504664 47.4256715)",,,,,
29875215,Obere Bräugasse,residential,,False,False,206.018,"LINESTRING (12.8521082 47.4293967, 12.8520154 47.4293639, 12.8518043 47.4291762, 12.851638 47.4290676, 12.8516098 47.4290037, 12.8515979 47.4289439, 12.8514406 47.4284592, 12.8512905 47.4280145, 12.8512453 47.4277057)",,,,,
29875587,Anton-Wallner-Straße,tertiary,,False,False,90.875,"LINESTRING (12.8521082 47.4293967, 12.8520761 47.4294727, 12.8520502 47.4295956, 12.8520405 47.4297017, 12.8520467 47.4298054, 12.8521345 47.430205)",,,,,
29875587,Anton-Wallner-Straße,tertiary,,False,True,83.129,"LINESTRING (12.8521082 47.4293967, 12.8521269 47.4293568, 12.8521902 47.429226, 12.8522438 47.4291391, 12.852321 47.4290489, 12.8524427 47.428937, 12.8526107 47.4287972, 12.8526584 47.4287582)",,,,,
39898135,Bahnhofstraße,primary,50,False,False,52.054,"LINESTRING (12.8465573 47.4268075, 12.8464688 47.4268021, 12.8463747 47.426787, 12.8461132 47.4267285, 12.8459951 47.426705, 12.8458891 47.4266915)",B164,,2,,
