osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel
"[276712706, 957668711, 957668712, 957668713, 957668714, 101486861, 230123926]","['4', '3', '2']",B20,Wiener Straße,primary,50,False,False,287.559,"LINESTRING (15.2901062 47.4435659, 15.2901813 47.4435663, 15.2902851 47.4435722, 15.2903371 47.4435815, 15.2905407 47.4436218, 15.2908834 47.4437154, 15.2913048 47.4438529, 15.2916203 47.4439626, 15.291878 47.44405, 15.2923382 47.4442136, 15.2925802 47.4443002, 15.2928424 47.4444029, 15.2929806 47.4444596, 15.2930388 47.4444806, 15.2935451 47.4446632)",,
285244759,2,Wiener Straße,,tertiary,30,False,True,94.73199999999999,"LINESTRING (15.2901062 47.4435659, 15.2901303 47.443456, 15.2901286 47.4434241, 15.29007 47.4433096, 15.2900364 47.4432386, 15.289993 47.4431467, 15.2899111 47.4428378, 15.2899003 47.4427867, 15.2898998 47.4427354)",,
"[957668708, 32346980, 957668710]","['2', '3']",B20,Mariazeller Straße,primary,50,False,True,272.8,"LINESTRING (15.2901062 47.4435659, 15.2898713 47.4435702, 15.2898255 47.4435722, 15.289725 47.4435765, 15.289565 47.4435953, 15.2893546 47.4436337, 15.2892038 47.4436734, 15.2888273 47.4437765, 15.2886545 47.443804, 15.2884491 47.4438165, 15.2882291 47.4438089, 15.2881344 47.4437969, 15.2877576 47.4437395, 15.2876273 47.4437193, 15.2873984 47.4436837, 15.2871427 47.4436642, 15.28698 47.4436693, 15.2868189 47.4436885, 15.2867101 47.4437148, 15.2865811 47.4437567)",,
23022097,1,B20,Wiener Straße,primary,50,True,False,60.666,"LINESTRING (15.2951379 47.444949, 15.2945594 47.4449037, 15.2943431 47.4448634)",,
24905204,,Schmiedgasse,Schmiedgasse,tertiary,30,True,False,189.13,"LINESTRING (15.2900828 47.4412528, 15.2900062 47.4412789, 15.2899295 47.4412956, 15.2898569 47.4413112, 15.2898037 47.4413151, 15.2897731 47.4413082, 15.2896827 47.4412851, 15.2894491 47.4411707, 15.2893006 47.4410927, 15.2890531 47.4408813, 15.2889337 47.4407872, 15.2886774 47.4405652, 15.2883638 47.4402668, 15.2883213 47.4402261)",,
30916928,,,Wiener Straße,tertiary,30,False,False,31.484,"LINESTRING (15.2900828 47.4412528, 15.2901357 47.4413318, 15.2901707 47.4413934, 15.2901844 47.4415235)",,
182006609,,Wiener Straße,Wiener Straße,tertiary,30,False,True,42.235,"LINESTRING (15.2900828 47.4412528, 15.2899717 47.4411172, 15.2897964 47.4409262)",,
"[23009698, 977982823]",1,B116,,"['trunk_link', 'primary_link']",50,True,False,45.413999999999994,"LINESTRING (15.2954901 47.4446374, 15.2954478 47.4447396, 15.2953922 47.4448093, 15.2953119 47.4448695, 15.2952046 47.4449176, 15.2951379 47.444949)",,
"[276712717, 320679307, 874567381]",3,B116,Grazer Straße,trunk,50,False,True,67.67699999999999,"LINESTRING (15.2954901 47.4446374, 15.2953493 47.4445347, 15.2953063 47.4444967, 15.295094 47.4443091, 15.2949284 47.4441625)",yes,
40348138,,,Heinrich-Scheibengraf-Straße,residential,30,False,True,339.25600000000003,"LINESTRING (15.2935451 47.4446632, 15.293596 47.4445979, 15.2936683 47.4445002, 15.2939457 47.4441524, 15.2939872 47.4441003, 15.2938818 47.4439831, 15.2933087 47.4437745, 15.2926865 47.4435288, 15.2922032 47.4433461, 15.2920463 47.4432868, 15.2919101 47.4432354, 15.2918404 47.443209, 15.2917761 47.4431847, 15.2915668 47.4431056, 15.2914998 47.4430412, 15.2915272 47.4426389)",,
