osmid,lanes,name,highway,maxspeed,oneway,reversed,length,tunnel,geometry,ref,bridge,width,junction
"[149284368, 147218538, 25336164]",2,Brockenweg,residential,40,False,False,269.52099999999996,yes,"LINESTRING (11.5126127 47.2778926, 11.5125883 47.2780025, 11.5125012 47.2783943, 11.5124648 47.2785723, 11.5124535 47.2786275, 11.5124043 47.2788682, 11.5122624 47.2794781, 11.5122548 47.2795108, 11.5121987 47.2797517, 11.5121653 47.2798952, 11.512155 47.2799377, 11.5121475 47.27997, 11.5121135 47.2801158, 11.512068 47.280288)",,,,
1118770889,,Untere Lend,residential,40,False,False,39.1,,"LINESTRING (11.5126127 47.2778926, 11.5129456 47.2778219, 11.5131073 47.2777875)",,,,
"[1118770896, 73316145, 1057421409]",,Obere Lend,residential,40,False,True,348.55899999999997,,"LINESTRING (11.5126127 47.2778926, 11.5124373 47.2779323, 11.5122954 47.2779755, 11.5122481 47.2780013, 11.5121984 47.2780354, 11.5121413 47.2780797, 11.5120977 47.2781089, 11.5120504 47.278134, 11.5120014 47.2781557, 11.5119245 47.2781797, 11.5118598 47.2781954, 11.5117779 47.2782085, 11.511696 47.2782133, 11.5115951 47.2782119, 11.5114473 47.278203, 11.5112781 47.2781885, 11.5105972 47.2781046, 11.5090266 47.2778935, 11.5082705 47.2777795, 11.508197 47.2777703)",,,,
25596693,,Schmiedtorgasse,living_street,,False,True,49.30500000000001,,"LINESTRING (11.5054935 47.2804127, 11.5054878 47.2804732, 11.5054633 47.2807342, 11.5054804 47.2808549)",,,,
146275714,,Unterer Stadtgraben,residential,40,True,False,47.05499999999999,,"LINESTRING (11.5054935 47.2804127, 11.5051723 47.2804747, 11.5050914 47.2804818, 11.5050426 47.2804802, 11.5048834 47.2804751)",,,,
46649251,,Fassergasse,residential,40,False,True,90.752,,"LINESTRING (11.5043514 47.2809595, 11.5042825 47.2809512, 11.5042461 47.2809494, 11.504202 47.2809499, 11.5041407 47.2809551, 11.504082 47.2809637, 11.5040331 47.2809718, 11.5039768 47.280987, 11.5038346 47.2810435, 11.5034168 47.2812129, 11.5033202 47.2813063)",,,,
146275716,3,Stadtgraben,secondary,40,False,False,6.3919999999999995,,"LINESTRING (11.5043514 47.2809595, 11.5043698 47.2809273, 11.5043847 47.2809067)",L8,,,
"[146275716, 1204457236]",3,Stadtgraben,secondary,40,False,True,31.429,,"LINESTRING (11.5043514 47.2809595, 11.5043237 47.2810204, 11.5043007 47.2810946, 11.5042888 47.2811523, 11.5042735 47.2812365)",L8,,,
"[709241885, 205376982, 131338983]","['2', '3']",Stadtgraben,secondary,40,False,True,140.507,,"LINESTRING (11.5057037 47.2829744, 11.5057642 47.2830138, 11.5058081 47.2830416, 11.5058542 47.2830678, 11.5058979 47.2830874, 11.5059403 47.2831045, 11.5059844 47.2831189, 11.5060316 47.2831316, 11.5060703 47.2831408, 11.5061223 47.2831497, 11.5061806 47.2831567, 11.5062336 47.2831602, 11.5062865 47.283162, 11.507039 47.2831554, 11.5073516 47.2831506, 11.5074835 47.2831511)",L8,,,
146275698,,Krippgasse,living_street,,False,True,77.614,,"LINESTRING (11.5057037 47.2829744, 11.505793 47.2829035, 11.5058301 47.2828744, 11.5061013 47.2827548, 11.5065922 47.2826579)",,,,
709224609,2,Stadtgraben,secondary,40,False,False,18.555,,"LINESTRING (11.5057037 47.2829744, 11.5056222 47.2829174, 11.5055426 47.2828486)",L8,,,
"[143823714, 143823717]",3,Unterer Stadtplatz,primary,50,False,False,90.67099999999999,,"LINESTRING (11.5063005 47.2803744, 11.5060509 47.280325, 11.5057465 47.2802553, 11.5055829 47.2802101, 11.5054929 47.280186, 11.5054923 47.2801858, 11.5051788 47.2800855)",B171,,,
143823715,2,Unterer Stadtplatz,primary,50,False,True,70.72800000000001,,"LINESTRING (11.5063005 47.2803744, 11.5066766 47.2804272, 11.5072203 47.2804976)",B171,,,
146275714,,Unterer Stadtgraben,residential,40,True,False,61.423,,"LINESTRING (11.5063005 47.2803744, 11.5060069 47.2803706, 11.5058321 47.2803683, 11.5056864 47.2803791, 11.5055677 47.2803986, 11.5054935 47.2804127)",,,,
343770079,,Münzergasse,living_street,,False,False,12.858,,"LINESTRING (11.5082155 47.2802309, 11.5081861 47.280117)",,,,
25621865,,Lendgasse,residential,40,False,False,35.0,,"LINESTRING (11.5082155 47.2802309, 11.5083098 47.2803556, 11.5084398 47.2805063)",,,,
