osmid,oneway,highway,maxspeed,reversed,length,geometry,lanes,ref,name,bridge
230872775,True,secondary_link,50,False,78.681,"LINESTRING (13.0082394 46.6740006, 13.0078502 46.6740772, 13.0076257 46.6741475, 13.0075399 46.6742396, 13.0074893 46.6743867)",,,,
909166577,False,primary,70,True,59.132000000000005,"LINESTRING (13.0082394 46.6740006, 13.0078654 46.6740341, 13.0074687 46.6740549)",2,B111,,
121785460,False,primary,50,False,6.154,"LINESTRING (13.0028352 46.6754732, 13.0028151 46.6754196)",2,B110,Plöckenpass Straße,
37913728,False,residential,,False,92.55700000000002,"LINESTRING (13.0028352 46.6754732, 13.002769 46.6754827, 13.0021274 46.6755743, 13.0016376 46.6755875)",,,Kötschach,
"[244878380, 121785460, 121785404]",False,primary,50,True,141.793,"LINESTRING (13.0028352 46.6754732, 13.0028427 46.6754967, 13.0028583 46.6755455, 13.0029455 46.6758189, 13.0029819 46.6759142, 13.0030259 46.6760294, 13.0032979 46.6764034, 13.0034219 46.676541, 13.0035169 46.6766464)",2,B110,"['Plöckenpaßstraße', 'Plöckenpass Straße']",yes
37913728,False,residential,,True,132.059,"LINESTRING (12.9983594 46.6758176, 12.9988078 46.6759545, 12.9991662 46.6760088, 12.9995557 46.6760316, 13.0000379 46.6760336)",,,Kötschach,
"[580219968, 39525241]",False,residential,,True,69.829,"LINESTRING (12.9983594 46.6758176, 12.9983732 46.675716, 12.9980653 46.6753324, 12.998009 46.6752533)",,,Kötschach,yes
39602786,False,secondary,50,False,36.935,"LINESTRING (13.0074687 46.6740549, 13.0074707 46.6741569, 13.0074893 46.6743867)",,L21a,Kötschacher Straße,
909166577,False,primary,70,False,59.132000000000005,"LINESTRING (13.0074687 46.6740549, 13.0078654 46.6740341, 13.0082394 46.6740006)",2,B111,,
"[121785403, 252950820, 252950838]",False,residential,,False,322.03,"LINESTRING (13.0041969 46.678867, 13.0037674 46.6789689, 13.003512 46.6790206, 13.0033778 46.6790263, 13.0029338 46.6790332, 13.0028554 46.6790344, 13.0023596 46.6790921, 13.0019843 46.6791943, 13.0012604 46.6790329, 13.0009847 46.678874, 13.0007828 46.6786753, 13.000467 46.6784967, 13.0004382 46.678466)",,,Schlanke Gasse,yes
821167394,False,primary,50,False,103.32000000000001,"LINESTRING (13.0041969 46.678867, 13.0041648 46.6783921, 13.0041684 46.6783618, 13.0041905 46.6781759, 13.0042357 46.6780904, 13.0042772 46.6780117, 13.0042847 46.6779497)",2,B110,Plöckenpass Straße,
