osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,tunnel,access,bridge,junction,width
4383924,4,Kärntner Straße,residential,50,False,False,12.891,"LINESTRING (15.0911584 47.3763871, 15.0911189 47.3762743)",,,,,,
"[108587986, 449264103, 26973719]",3,Waasenstraße,residential,30,False,False,81.11200000000001,"LINESTRING (15.0911584 47.3763871, 15.0912109 47.3765321, 15.0912176 47.3765587, 15.091248 47.3766673, 15.0912607 47.3767354, 15.0913367 47.3770247, 15.0913528 47.3771041)",,,,,,
"[449261377, 183599293, 108587991]",2,,primary,60,True,False,85.85999999999999,"LINESTRING (15.0911584 47.3763871, 15.0909395 47.3763624, 15.0907305 47.3763446, 15.0904105 47.3763185, 15.0900268 47.3762941)",B116,,,,,
26468347,,Peter Tunner-Straße,residential,30,False,False,89.315,"LINESTRING (15.0915549 47.3839382, 15.0918591 47.3832729, 15.091899 47.3831696)",,,,,,
128132779,,Kaiserfeldgasse,residential,30,False,True,107.96000000000001,"LINESTRING (15.0915549 47.3839382, 15.091652 47.3839624, 15.0927769 47.384217, 15.0929135 47.3842487)",,,,,,
40431897,,Max Tendler-Straße,residential,30,False,True,75.889,"LINESTRING (15.0921859 47.38262, 15.0920159 47.38258, 15.0912319 47.3823997)",,,,,,
185673863,,Peter Tunner-Straße,residential,30,False,False,97.35,"LINESTRING (15.0921859 47.38262, 15.0925419 47.3818698, 15.0925744 47.3817851)",,,,,,
185673864,,Peter Tunner-Straße,residential,30,False,True,64.863,"LINESTRING (15.0921859 47.38262, 15.0921389 47.3826886, 15.0920426 47.3828854, 15.0919381 47.3830887, 15.091899 47.3831696)",,,,,,
26538266,,Erzherzog Johann-Straße,residential,30,False,False,114.133,"LINESTRING (15.0925744 47.3817851, 15.0924625 47.3817601, 15.0911721 47.3814711, 15.0911352 47.3814628)",,,,,,
26538266,,Erzherzog Johann-Straße,residential,30,False,True,110.37300000000002,"LINESTRING (15.0925744 47.3817851, 15.092675 47.3818077, 15.0933611 47.3819613, 15.0938325 47.3820667, 15.0939662 47.3820968)",,,,,,
185673863,,Peter Tunner-Straße,residential,30,False,True,97.35,"LINESTRING (15.0925744 47.3817851, 15.0925419 47.3818698, 15.0921859 47.38262)",,,,,,
30517731,,Dirnböckweg,residential,50,False,False,12.925,"LINESTRING (15.0982543 47.3777622, 15.0982878 47.3776482)",,,,,,
102551070,,Mühltaler Straße,residential,,False,True,53.545,"LINESTRING (15.0982543 47.3777622, 15.0982186 47.377889, 15.098213 47.3779084, 15.0981114 47.3782339)",,,,,,
"[108587989, 134149039]",2,Kärntner Straße,primary,60,True,False,48.494,"LINESTRING (15.0982543 47.3777622, 15.0979827 47.3777396, 15.0976165 47.377702)",B116,,,,,
19744471,,Mühltaler Straße,residential,,False,False,52.061,"LINESTRING (15.0968007 47.3801727, 15.0968671 47.3800939, 15.0971219 47.3798234, 15.0971719 47.379778)",,,,,,
"[26538272, 215845112, 1149993828, 26538749]",,"['Hauptplatz', 'Krottendorfergasse', 'Sauraugasse']",residential,30,False,True,229.73999999999998,"LINESTRING (15.0968007 47.3801727, 15.0966895 47.3801349, 15.0959706 47.3799239, 15.0956775 47.3798366, 15.0954085 47.3797602, 15.0953709 47.3797495, 15.0951888 47.3796955, 15.0949456 47.379622, 15.0949224 47.3796152, 15.0940048 47.3793457)",,,,,,
