osmid,name,highway,oneway,reversed,length,geometry,junction,ref,lanes
34870533,Kampala Street,residential,False,False,15.823,"LINESTRING (34.7513528 -0.1014885, 34.7512106 -0.1014831)",,,
34870533,Kampala Street,residential,False,True,15.151,"LINESTRING (34.7513528 -0.1014885, 34.7514363 -0.1014936, 34.7514889 -0.1014937)",,,
34870553,,living_street,False,True,144.783,"LINESTRING (34.7513528 -0.1014885, 34.751596 -0.1020441, 34.7516449 -0.1021586, 34.7518135 -0.1025194, 34.7518883 -0.1026752)",,,
34870519,Oginga Odinga Road,secondary,True,False,12.949,"LINESTRING (34.7508801 -0.0996233, 34.7508898 -0.0996451, 34.7508917 -0.0996673, 34.7508862 -0.0996884, 34.7508742 -0.0997064, 34.7508524 -0.0997221)",roundabout,,
34870539,Odera Street,residential,False,True,77.056,"LINESTRING (34.7508801 -0.0996233, 34.7509131 -0.09961, 34.7511998 -0.0994737, 34.7514641 -0.0993572, 34.7515099 -0.0993345)",,,
34870549,Ogada Street,residential,False,True,78.665,"LINESTRING (34.7512619 -0.1004688, 34.7512929 -0.1004551, 34.7518963 -0.1001558)",,,
34870552,Oginga Odinga Road,secondary,True,False,8.59,"LINESTRING (34.7512619 -0.1004688, 34.7512655 -0.1004838, 34.7512645 -0.1004992, 34.751259 -0.1005137, 34.7512494 -0.1005258, 34.7512367 -0.1005346)",roundabout,,
34870531,,living_street,False,False,72.287,"LINESTRING (34.7518883 -0.1026752, 34.7518456 -0.1026967, 34.7513423 -0.1029343, 34.7512994 -0.1029501)",,,
34870531,,living_street,False,True,32.153,"LINESTRING (34.7518883 -0.1026752, 34.7520165 -0.1026201, 34.752041 -0.1026119, 34.7520951 -0.1025873, 34.752156 -0.1025665)",,,
34870553,,living_street,False,False,144.783,"LINESTRING (34.7518883 -0.1026752, 34.7518135 -0.1025194, 34.7516449 -0.1021586, 34.751596 -0.1020441, 34.7513528 -0.1014885)",,,
34870525,,residential,False,False,92.786,"LINESTRING (34.754098 -0.099168, 34.7540394 -0.0991017, 34.7539739 -0.0990274, 34.7535833 -0.0985847, 34.7535421 -0.098546)",,,
34870525,,residential,False,True,84.524,"LINESTRING (34.754098 -0.099168, 34.7541485 -0.0992272, 34.7545917 -0.099746)",,,
34870557,Mosque Road,secondary,False,True,135.768,"LINESTRING (34.754098 -0.099168, 34.7540607 -0.0991993, 34.7531828 -0.0999762)",,UCB3;KSM,
34870525,,residential,False,True,92.78599999999999,"LINESTRING (34.7535421 -0.098546, 34.7535833 -0.0985847, 34.7539739 -0.0990274, 34.7540394 -0.0991017, 34.754098 -0.099168)",,,
34870549,Ogada Street,residential,False,False,154.871,"LINESTRING (34.7535421 -0.098546, 34.7535099 -0.0985771, 34.7525646 -0.0994419, 34.7525153 -0.099487)",,,
34870543,Oginga Odinga Road,secondary,True,False,2.905,"LINESTRING (34.75158 -0.1014828, 34.7515847 -0.1014571)",roundabout,,
34870538,Oginga Odinga Street,secondary,False,False,70.566,"LINESTRING (34.7507971 -0.0995993, 34.750529 -0.0990241)",,,
34870519,Oginga Odinga Road,secondary,True,False,10.44,"LINESTRING (34.7507971 -0.0995993, 34.7508157 -0.099594, 34.7508351 -0.0995942, 34.7508536 -0.0995998, 34.7508698 -0.0996106, 34.7508801 -0.0996233)",roundabout,,
34870525,,residential,False,True,84.967,"LINESTRING (34.7545917 -0.099746, 34.755097 -0.1003192)",,,
34870525,,residential,False,False,84.524,"LINESTRING (34.7545917 -0.099746, 34.7541485 -0.0992272, 34.754098 -0.099168)",,,
