osmid,oneway,lanes,highway,junction,reversed,length,name,maxspeed,geometry,ref
195437459,True,2,secondary,roundabout,False,3.94,,,"LINESTRING (36.727715 55.3854872, 36.7277313 55.385453)",
"[41777640, 41777641]",False,2,residential,,True,246.57600000000002,"['Луговая улица', 'улица Новикова']",RU:urban,"LINESTRING (36.7251542 55.38434, 36.7250109 55.384418, 36.7247662 55.3845511, 36.7243452 55.3847262, 36.723534 55.3850255, 36.7222401 55.3854747, 36.7221766 55.3854816, 36.7220863 55.3854914, 36.7218849 55.3854718)",
"[422956176, 422956180, 422714783]",False,4,secondary,,False,357.0340000000001,улица Маршала Жукова,RU:urban,"LINESTRING (36.7251542 55.38434, 36.724967 55.3842663, 36.7248821 55.3842316, 36.7230888 55.3835266, 36.7223572 55.3832389, 36.7219891 55.3830942, 36.7210975 55.3827433, 36.720909 55.3826737, 36.7207482 55.3826111, 36.7205031 55.3825157)",46Н-06113
"[319471202, 422956172, 422956173, 422956179, 422956181]",False,4,secondary,,True,192.924,улица Маршала Жукова,RU:urban,"LINESTRING (36.7251542 55.38434, 36.7254333 55.3844487, 36.7256517 55.3845338, 36.7257276 55.3845634, 36.7258548 55.384613, 36.7263013 55.384787, 36.72644 55.3848411, 36.7265854 55.3848978, 36.7267681 55.384969, 36.7268894 55.3850175, 36.7270507 55.3850834, 36.7273722 55.3852108, 36.7274836 55.3852565, 36.727635 55.3853114, 36.7276712 55.3853223)",46Н-06113
41777640,False,2,residential,,False,361.93899999999996,Луговая улица,RU:urban,"LINESTRING (36.7171826 55.3836118, 36.717297 55.3836571, 36.7180269 55.3839458, 36.7184478 55.3841123, 36.7189186 55.3842985, 36.7195431 55.3845456, 36.7197077 55.3846107, 36.7200668 55.3847527, 36.720309 55.3848485, 36.7207467 55.3850216, 36.7210208 55.38513, 36.7215937 55.3853566, 36.7218318 55.3854508, 36.7218849 55.3854718)",
"[422923824, 342151799]",False,2,residential,,False,220.025,Комсомольская улица,RU:urban,"LINESTRING (36.7171826 55.3836118, 36.717237 55.3834867, 36.717631 55.3831603, 36.7177954 55.383024, 36.7180311 55.3828339, 36.7183925 55.3825426, 36.7185299 55.3824318, 36.718657 55.3823243, 36.7189726 55.3820575, 36.719084 55.3819633)",
"[194794399, 422923838, 422923823]",False,2,residential,,True,248.84299999999996,"['Комсомольская улица', 'улица Новикова']",RU:urban,"LINESTRING (36.7171826 55.3836118, 36.7171158 55.3838071, 36.7171017 55.3841781, 36.7170865 55.3845792, 36.7170812 55.3848565, 36.7170739 55.3852364, 36.7170343 55.3858454)",
"[422923825, 422923826, 422923827, 112250959]",False,2,residential,,False,583.6850000000001,Школьная улица,20,"LINESTRING (36.7231941 55.3880637, 36.7229626 55.3879497, 36.7226403 55.3877938, 36.7220317 55.3874994, 36.721651 55.3873274, 36.7213674 55.3871992, 36.721063 55.3870616, 36.7209751 55.3870219, 36.7206435 55.386872, 36.7204659 55.3868709, 36.7203158 55.3869265, 36.7199137 55.387233, 36.7198816 55.3872575, 36.719862 55.3872739, 36.7192349 55.3877478, 36.7191895 55.3877857, 36.7189922 55.3879262, 36.7181274 55.3885365, 36.7178514 55.3887046, 36.7177246 55.3887268, 36.7175475 55.3886834, 36.7170649 55.3884841, 36.716603 55.3882933, 36.7165208 55.3882593)",
"[422923832, 422923833]",False,2,tertiary,,True,102.603,улица Калинина,20,"LINESTRING (36.7231941 55.3880637, 36.7239839 55.3878629, 36.7240876 55.3878365, 36.7246775 55.3876876)",
"[422923825, 422923826, 422923827, 112250959]",False,2,residential,,True,583.6850000000001,Школьная улица,20,"LINESTRING (36.7165208 55.3882593, 36.716603 55.3882933, 36.7170649 55.3884841, 36.7175475 55.3886834, 36.7177246 55.3887268, 36.7178514 55.3887046, 36.7181274 55.3885365, 36.7189922 55.3879262, 36.7191895 55.3877857, 36.7192349 55.3877478, 36.719862 55.3872739, 36.7198816 55.3872575, 36.7199137 55.387233, 36.7203158 55.3869265, 36.7204659 55.3868709, 36.7206435 55.386872, 36.7209751 55.3870219, 36.721063 55.3870616, 36.7213674 55.3871992, 36.721651 55.3873274, 36.7220317 55.3874994, 36.7226403 55.3877938, 36.7229626 55.3879497, 36.7231941 55.3880637)",
