osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,access,lanes
477570832,Оборонная улица,residential,60,False,True,19.225,"LINESTRING (39.960694 53.2425902, 39.9604545 53.2424935)",,,
477570829,улица Энгельса,primary,60,False,True,33.789,"LINESTRING (39.960694 53.2425902, 39.9606322 53.2424071, 39.9606852 53.2422944)",,,
477570833,Оборонная улица,primary,60,False,False,316.112,"LINESTRING (39.960694 53.2425902, 39.9631636 53.2436535, 39.963866 53.2439301, 39.9642912 53.2441071, 39.9646107 53.2441918)",,,
140494138,улица Максима Горького,primary,,False,True,104.753,"LINESTRING (39.9724731 53.2428854, 39.973418 53.2436389)",Р126,,
142660540,улица Максима Горького,secondary,,False,False,114.186,"LINESTRING (39.9724731 53.2428854, 39.9714563 53.2420582)",,,
274214753,Октябрьская улица,primary,,False,True,210.1,"LINESTRING (39.9724731 53.2428854, 39.96973 53.2438211)",Р126,,
142660532,Октябрьская улица,residential,,False,False,147.04399999999998,"LINESTRING (39.9724731 53.2428854, 39.972751 53.2426701, 39.973975 53.2419173)",,,
157912240,улица Максима Горького,tertiary,,False,False,160.203,"LINESTRING (39.9688679 53.2398961, 39.9689475 53.2399749, 39.9702801 53.2410625)",,,
157912245,улица Крупской,secondary,,False,False,165.063,"LINESTRING (39.9702801 53.2410625, 39.9680403 53.2417004)",,,
142660540,улица Максима Горького,secondary,,False,True,135.605,"LINESTRING (39.9702801 53.2410625, 39.9706155 53.2413535, 39.9709869 53.2416764, 39.9714563 53.2420582)",,,
157912240,улица Максима Горького,tertiary,,False,True,160.203,"LINESTRING (39.9702801 53.2410625, 39.9689475 53.2399749, 39.9688679 53.2398961)",,,
157912248,улица Крупской,tertiary,,False,True,272.27099999999996,"LINESTRING (39.9702801 53.2410625, 39.9715086 53.240307, 39.9730614 53.2392674)",,,
163210766,улица Калинина,residential,,False,True,156.528,"LINESTRING (39.9597841 53.2403794, 39.9614947 53.2394132)",,,
477570827,улица Кирова,primary,60,False,False,172.793,"LINESTRING (39.9597841 53.2403794, 39.9618166 53.2413465)",,,
274214754,улица Ленина,residential,,True,False,149.614,"LINESTRING (39.9689842 53.2429216, 39.9680403 53.2417004)",,,
84041475,улица Ломоносова,residential,,False,False,176.283,"LINESTRING (39.9689842 53.2429216, 39.9681521 53.2431528, 39.9666071 53.243621)",,,
84041475,улица Ломоносова,residential,,False,True,190.551,"LINESTRING (39.9689842 53.2429216, 39.9708941 53.2422797, 39.9714563 53.2420582)",,,
84041475,улица Ломоносова,residential,,False,False,145.046,"LINESTRING (39.9729755 53.2411228, 39.9714563 53.2420582)",,,
142660527,улица Урицкого,residential,,False,False,110.582,"LINESTRING (39.9729755 53.2411228, 39.973975 53.2419173)",,,
84041475,улица Ломоносова,residential,,False,True,145.046,"LINESTRING (39.9714563 53.2420582, 39.9729755 53.2411228)",,,
142660540,улица Максима Горького,secondary,,False,True,114.186,"LINESTRING (39.9714563 53.2420582, 39.9724731 53.2428854)",,,
84041475,улица Ломоносова,residential,,False,False,190.551,"LINESTRING (39.9714563 53.2420582, 39.9708941 53.2422797, 39.9689842 53.2429216)",,,
142660540,улица Максима Горького,secondary,,False,False,135.605,"LINESTRING (39.9714563 53.2420582, 39.9709869 53.2416764, 39.9706155 53.2413535, 39.9702801 53.2410625)",,,
781279906,Московская улица,primary,,False,False,108.476,"LINESTRING (39.9646107 53.2441918, 39.964626 53.2451673)",Р126,,
"[82444585, 643709889]","['улица Кирова', 'Московская улица']",secondary,60,False,True,168.80599999999998,"LINESTRING (39.9646107 53.2441918, 39.9646117 53.2440602, 39.9646183 53.2432171, 39.9647086 53.2426764)",Р126,,
84041475,улица Ломоносова,residential,,False,False,208.451,"LINESTRING (39.9646107 53.2441918, 39.9644415 53.2442399, 39.9617806 53.2449957)",,,
84041475,улица Ломоносова,residential,,False,True,147.317,"LINESTRING (39.9646107 53.2441918, 39.9648796 53.2440969, 39.9666071 53.243621)",,,
477570833,Оборонная улица,primary,60,False,True,316.11199999999997,"LINESTRING (39.9646107 53.2441918, 39.9642912 53.2441071, 39.963866 53.2439301, 39.9631636 53.2436535, 39.960694 53.2425902)",,,
477570831,,residential,60,False,True,158.04,"LINESTRING (39.963217 53.2401986, 39.9618166 53.2413465)",,,
73851074,улица Володарского,residential,,False,True,55.192,"LINESTRING (39.963217 53.2401986, 39.9631078 53.2401553, 39.9625542 53.2399005)",,,
"[477564656, 450776342]",,"['residential', 'unclassified']",,False,False,101.408,"LINESTRING (39.963217 53.2401986, 39.964359 53.2406942, 39.9642917 53.2407487)",,no,
157912245,улица Крупской,secondary,,False,True,165.063,"LINESTRING (39.9680403 53.2417004, 39.9702801 53.2410625)",,,
"[273657248, 477570826]",улица Крупской,secondary,60,False,"[False, True]",246.861,"LINESTRING (39.9680403 53.2417004, 39.9655435 53.2424173, 39.9647086 53.2426764)",,,
"[273657249, 273657244]","['Советская улица', 'улица Ленина']",residential,,True,False,296.622,"LINESTRING (39.9680403 53.2417004, 39.9670075 53.2403886, 39.967592 53.2402368, 39.9688679 53.2398961)",,,
781279906,Московская улица,primary,,False,True,108.476,"LINESTRING (39.964626 53.2451673, 39.9646107 53.2441918)",Р126,,
