osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
91451691,,улица Кирова,residential,,False,True,134.257,"LINESTRING (55.3354154 57.9442098, 55.3338991 57.9451099)"
91290422,,улица Некрасова,tertiary,,False,False,104.544,"LINESTRING (55.3354154 57.9442098, 55.336009 57.9444191, 55.3368411 57.9447666)"
91451690,,улица Гагарина,residential,,False,True,244.475,"LINESTRING (55.3295872 57.9465135, 55.3263703 57.9478989)"
203843307,,Торговая улица,tertiary,60,False,True,115.41,"LINESTRING (55.3295872 57.9465135, 55.3307667 57.9473414)"
91451690,,улица Гагарина,residential,,False,False,286.18,"LINESTRING (55.3295872 57.9465135, 55.3317628 57.9456545, 55.3332265 57.9448276)"
203843307,,Торговая улица,tertiary,60,False,False,106.167,"LINESTRING (55.3295872 57.9465135, 55.3294422 57.9463962, 55.3286003 57.9457152)"
"[91451899, 91454221]",,улица Демьяна Бедного,residential,,False,"[False, True]",252.69000000000003,"LINESTRING (55.3286003 57.9457152, 55.3300596 57.9450125, 55.3298906 57.944772, 55.3284345 57.9441857)"
91451899,,улица Демьяна Бедного,residential,,False,True,252.38,"LINESTRING (55.3286003 57.9457152, 55.3270376 57.9464936, 55.3254344 57.9472407)"
203843307,,Торговая улица,tertiary,60,False,False,111.513,"LINESTRING (55.3286003 57.9457152, 55.3282696 57.9454755, 55.3272578 57.9450175)"
203843307,,Торговая улица,tertiary,60,False,True,106.167,"LINESTRING (55.3286003 57.9457152, 55.3294422 57.9463962, 55.3295872 57.9465135)"
91451898,,улица Братьев Голионко,residential,,False,False,127.592,"LINESTRING (55.3325929 57.9445343, 55.3339447 57.9436388)"
91454219,,Красноармейская улица,residential,,False,False,49.617,"LINESTRING (55.3325929 57.9445343, 55.3332265 57.9448276)"
91454219,,Красноармейская улица,residential,,False,True,108.278,"LINESTRING (55.3325929 57.9445343, 55.3311566 57.9439284)"
91290422,,улица Некрасова,tertiary,,False,False,107.54,"LINESTRING (55.3339447 57.9436388, 55.3354154 57.9442098)"
91451898,,улица Братьев Голионко,residential,,False,False,149.317,"LINESTRING (55.3339447 57.9436388, 55.3354659 57.9425658)"
91451898,,улица Братьев Голионко,residential,,False,True,127.592,"LINESTRING (55.3339447 57.9436388, 55.3325929 57.9445343)"
91290422,,улица Некрасова,tertiary,,False,True,111.372,"LINESTRING (55.3339447 57.9436388, 55.3327215 57.9431716, 55.332406 57.9430591)"
91453247,,,residential,,False,False,91.688,"LINESTRING (55.3254344 57.9472407, 55.3263703 57.9478989)"
91453247,,,residential,,False,True,56.147,"LINESTRING (55.3254344 57.9472407, 55.3247457 57.9468923)"
91451899,,улица Демьяна Бедного,residential,,False,False,252.38,"LINESTRING (55.3254344 57.9472407, 55.3270376 57.9464936, 55.3286003 57.9457152)"
91451898,,улица Братьев Голионко,residential,,False,True,149.317,"LINESTRING (55.3354659 57.9425658, 55.3339447 57.9436388)"
91452487,,улица Степана Разина,residential,,False,True,117.701,"LINESTRING (55.3318962 57.9415825, 55.330738 57.9424442)"
44645110,,улица Свердлова,residential,,False,False,118.712,"LINESTRING (55.3257244 57.9444898, 55.3269209 57.9436316)"
203843307,,Торговая улица,tertiary,60,False,False,103.87,"LINESTRING (55.3257244 57.9444898, 55.3242904 57.9439482)"
203843307,,Торговая улица,tertiary,60,False,True,107.853,"LINESTRING (55.3257244 57.9444898, 55.3272578 57.9450175)"
91290422,,улица Некрасова,tertiary,,False,False,119.858,"LINESTRING (55.330738 57.9424442, 55.332406 57.9430591)"
91452487,,улица Степана Разина,residential,,False,False,117.701,"LINESTRING (55.330738 57.9424442, 55.3318962 57.9415825)"
91452487,,улица Степана Разина,residential,,False,True,118.867,"LINESTRING (55.330738 57.9424442, 55.3295791 57.9433185)"
91290422,,улица Некрасова,tertiary,,False,True,108.174,"LINESTRING (55.330738 57.9424442, 55.329889 57.9421361, 55.3292401 57.9418838)"
44645110,,улица Свердлова,residential,,False,True,120.0,"LINESTRING (55.3292401 57.9418838, 55.3280453 57.942757)"
91290422,,улица Некрасова,tertiary,,False,True,102.885,"LINESTRING (55.3292401 57.9418838, 55.3278216 57.941346)"
"[208859044, 44645110]",,"['улица Ширинкина', 'улица Свердлова']",residential,,False,False,206.414,"LINESTRING (55.3292401 57.9418838, 55.3300676 57.9412471, 55.3303476 57.9410489, 55.3304539 57.9409737, 55.3312725 57.940591, 55.3315117 57.9404903)"
91290422,,улица Некрасова,tertiary,,False,False,108.174,"LINESTRING (55.3292401 57.9418838, 55.329889 57.9421361, 55.330738 57.9424442)"
91452487,,улица Степана Разина,residential,,False,False,115.66,"LINESTRING (55.3272578 57.9450175, 55.3284345 57.9441857)"
203843307,,Торговая улица,tertiary,60,False,False,107.853,"LINESTRING (55.3272578 57.9450175, 55.3257244 57.9444898)"
91452487,,улица Степана Разина,residential,,False,True,255.883,"LINESTRING (55.3272578 57.9450175, 55.3252182 57.9465769, 55.3247457 57.9468923)"
203843307,,Торговая улица,tertiary,60,False,True,111.513,"LINESTRING (55.3272578 57.9450175, 55.3282696 57.9454755, 55.3286003 57.9457152)"
91453247,,,residential,,False,False,56.147,"LINESTRING (55.3247457 57.9468923, 55.3254344 57.9472407)"
91452487,,улица Степана Разина,residential,,False,False,255.883,"LINESTRING (55.3247457 57.9468923, 55.3252182 57.9465769, 55.3272578 57.9450175)"
91451476,,улица Королёва,residential,,False,False,96.852,"LINESTRING (55.3294443 57.9478573, 55.3307667 57.9473414)"
91452487,,улица Степана Разина,residential,,False,False,118.867,"LINESTRING (55.3295791 57.9433185, 55.330738 57.9424442)"
91454219,,Красноармейская улица,residential,,False,False,115.182,"LINESTRING (55.3295791 57.9433185, 55.3311566 57.9439284)"
91454219,,Красноармейская улица,residential,,False,True,109.966,"LINESTRING (55.3295791 57.9433185, 55.3280453 57.942757)"
91452487,,улица Степана Разина,residential,,False,True,118.011,"LINESTRING (55.3295791 57.9433185, 55.3285442 57.9440602, 55.3284345 57.9441857)"
44645110,,улица Свердлова,residential,,False,False,117.734,"LINESTRING (55.3269209 57.9436316, 55.3280453 57.942757)"
44645110,,улица Свердлова,residential,,False,True,118.712,"LINESTRING (55.3269209 57.9436316, 55.3257244 57.9444898)"
91454221,,,residential,,False,False,108.564,"LINESTRING (55.3269209 57.9436316, 55.3274703 57.9438158, 55.3284345 57.9441857)"
