osmid,highway,oneway,reversed,length,geometry,ref,maxspeed
156135465,residential,False,True,143.863,"LINESTRING (58.4130311 56.2130891, 58.4117968 56.2141858)",,
156135536,residential,False,True,533.612,"LINESTRING (58.4038791 56.217015, 58.404909 56.2165138, 58.4061151 56.2161456, 58.4066262 56.2157806, 58.4070682 56.2151739, 58.4076234 56.2145594, 58.4089547 56.2132919)",,
60257681,tertiary,False,True,201.903,"LINESTRING (58.4117968 56.2141858, 58.4089547 56.2132919)",65К-1405000,60
156135465,residential,False,False,143.863,"LINESTRING (58.4117968 56.2141858, 58.4130311 56.2130891)",,
60257681,tertiary,False,False,201.903,"LINESTRING (58.4089547 56.2132919, 58.4117968 56.2141858)",65К-1405000,60
156135536,residential,False,False,533.612,"LINESTRING (58.4089547 56.2132919, 58.4076234 56.2145594, 58.4070682 56.2151739, 58.4066262 56.2157806, 58.4061151 56.2161456, 58.404909 56.2165138, 58.4038791 56.217015)",,
