osmid,oneway,name,highway,maxspeed,reversed,length,geometry,bridge,width
108437517,True,улица Степана Лебедева,tertiary,40,False,31.926000000000002,"LINESTRING (48.9198937 56.8146576, 48.9194924 56.8145713, 48.9193996 56.8145656)",,
108712398,False,улица Кирова,tertiary,40,True,29.999,"LINESTRING (48.9198937 56.8146576, 48.9200816 56.8147975, 48.9201587 56.8148839)",,
106617728,False,улица Степана Лебедева,residential,,True,138.163,"LINESTRING (48.9201587 56.8148839, 48.9204165 56.8148356, 48.9208164 56.8147287, 48.9212483 56.8146259, 48.9214977 56.8146157, 48.922328 56.8146402)",,
108712398,False,улица Кирова,tertiary,40,False,29.999,"LINESTRING (48.9201587 56.8148839, 48.9200816 56.8147975, 48.9198937 56.8146576)",,
74274467,False,улица Карла Маркса,tertiary,,False,7.43,"LINESTRING (48.9142276 56.8110896, 48.9143496 56.8110918)",,
60116227,False,Советская улица,tertiary,40,False,304.367,"LINESTRING (48.9142276 56.8110896, 48.9141599 56.8108328, 48.9141133 56.8106112, 48.9137717 56.808987, 48.91381 56.8088401, 48.9139254 56.8086997, 48.9140881 56.8085484, 48.9141897 56.8084179)",,
"[107938289, 60116235, 107938302]",False,улица Строителей,tertiary,60;40,True,182.085,"LINESTRING (48.9142276 56.8110896, 48.9138698 56.811143, 48.9135385 56.8112153, 48.9129876 56.8113666, 48.9122815 56.8115772, 48.9117934 56.8117182, 48.9115359 56.8117931)",yes,
60116229,True,улица Кирова,tertiary,40,False,41.606,"LINESTRING (48.9200962 56.8120319, 48.9200193 56.8124037)",,
108437522,False,улица Кирова,residential,,False,140.822,"LINESTRING (48.9200962 56.8120319, 48.9201376 56.8118453, 48.9202281 56.8114381, 48.9203675 56.8110163, 48.9204455 56.8107805)",,
106614496,False,улица Механизаторов,residential,40,False,408.64,"LINESTRING (48.9097231 56.8154345, 48.909826 56.8152782, 48.9099277 56.815145, 48.9100664 56.8149426, 48.9102327 56.8146559, 48.9103745 56.8143541, 48.9105086 56.8140276, 48.9105703 56.8138705, 48.9106588 56.8136195, 48.910815 56.8132413, 48.9108492 56.8131585, 48.911037 56.8127063, 48.9112194 56.812304, 48.9112972 56.81205, 48.9112784 56.8118738)",,
108437522,False,улица Кирова,residential,,True,140.822,"LINESTRING (48.9204455 56.8107805, 48.9203675 56.8110163, 48.9202281 56.8114381, 48.9201376 56.8118453, 48.9200962 56.8120319)",,
