osmid,name,highway,oneway,reversed,length,geometry,lanes,tunnel,maxspeed
"[223440536, 132057647]",улица Жукова,residential,False,False,277.66,"LINESTRING (41.825898 48.35182, 41.8261421 48.3518568, 41.8262242 48.3518589, 41.8267894 48.3518524, 41.8294854 48.3518215, 41.8296447 48.3518455)",,,
"[220224884, 223440540, 220224885, 224357454]",улица Подтёлкова,secondary,False,False,123.001,"LINESTRING (41.825898 48.35182, 41.8260109 48.3515849, 41.8261205 48.3512412, 41.8261537 48.350812, 41.826137 48.3507345)","['1', '2']",yes,
223440540,улица Подтёлкова,secondary,False,True,145.10199999999998,"LINESTRING (41.825898 48.35182, 41.8258287 48.3529862, 41.8258201 48.3531239)",2,,
978755225,улица Кирова,secondary,False,True,77.161,"LINESTRING (41.8258515 48.3488271, 41.8258038 48.3495203)",,,
132057399,Коммунистическая улица,tertiary,False,True,179.671,"LINESTRING (41.8258515 48.3488271, 41.8255183 48.348829, 41.8234203 48.3488412)",,,
985584103,Коммунистическая улица,tertiary,False,False,182.602,"LINESTRING (41.8258515 48.3488271, 41.8260539 48.3488317, 41.8281057 48.3488784, 41.828321 48.3488833)",,,
"[212502600, 223440537, 223440538]",улица Ленина,tertiary,False,True,283.332,"LINESTRING (41.8258201 48.3531239, 41.8261458 48.3531202, 41.8262451 48.3531191, 41.8262953 48.3531185, 41.8269023 48.3531116, 41.8275812 48.3531038, 41.8282156 48.3530965, 41.8293159 48.3530839, 41.8296539 48.3530852)",,,
223440540,улица Подтёлкова,secondary,False,False,145.10199999999998,"LINESTRING (41.8258201 48.3531239, 41.8258287 48.3529862, 41.825898 48.35182)",2,,
749205772,улица Подтёлкова,secondary,False,True,173.031,"LINESTRING (41.8258201 48.3531239, 41.8258147 48.3532441, 41.8258058 48.3534972, 41.8258039 48.3535453, 41.8257691 48.3544495, 41.8257603 48.3546795)",2,,
83475429,улица Луначарского,secondary,True,False,164.32500000000002,"LINESTRING (41.8257603 48.3546795, 41.8255262 48.3546835, 41.824898 48.3546941, 41.8248435 48.354695, 41.8240265 48.3547098, 41.8238254 48.3547135, 41.8235372 48.3547188)",2,,40
