osmid,oneway,highway,reversed,length,name,maxspeed,geometry,bridge,junction
46945733,True,residential,False,51.799,,,"LINESTRING (58.8078874 54.9383024, 58.8086961 54.9383368)",,
43315537,False,tertiary,True,280.371,Октябрьская улица,60,"LINESTRING (58.8061275 54.9394658, 58.8071011 54.939833, 58.8074221 54.9399342, 58.8089974 54.9404107, 58.8090181 54.9404151, 58.8099668 54.9406817)",,
916689074,False,unclassified,False,141.969,,60,"LINESTRING (58.8061275 54.9394658, 58.8056177 54.9393014, 58.8051063 54.9391452, 58.8047863 54.9390467, 58.8044904 54.9389508, 58.8041863 54.9388445)",,
"[916689075, 1058425134, 1058425135]",False,tertiary,"[False, True]",480.91600000000005,,,"LINESTRING (58.8061275 54.9394658, 58.8065688 54.9390187, 58.8066363 54.9389709, 58.8066977 54.9389399, 58.8067713 54.9389188, 58.8068616 54.9389029, 58.8069737 54.9389013, 58.8070964 54.9389068, 58.8072964 54.9389367, 58.8075247 54.9390006, 58.8086194 54.9392832, 58.808736 54.9393235, 58.8088322 54.9393822, 58.8088967 54.9394537, 58.8089248 54.9395326, 58.8089142 54.9396129, 58.8088658 54.9396885, 58.8087832 54.9397536, 58.8086728 54.9398032, 58.808543 54.9398336, 58.8084036 54.9398425, 58.8082653 54.9398291, 58.8081387 54.9397945, 58.8080334 54.9397413, 58.8079592 54.9396757, 58.8079179 54.9396012, 58.8079126 54.939523, 58.8079437 54.9394469, 58.8080048 54.9393666, 58.808716 54.9385685, 58.8088443 54.9384153)",yes,
1214486405,False,residential,True,125.30000000000001,Комсомольская улица,,"LINESTRING (58.8106421 54.93901, 58.8094722 54.9387018, 58.8090116 54.9384187)",,
1052882785,True,tertiary,False,5.977,,,"LINESTRING (58.8086961 54.9383368, 58.8086705 54.9382851)",,roundabout
46945737,True,tertiary,False,54.536,,,"LINESTRING (58.8090631 54.9381314, 58.8097153 54.9382958, 58.8098437 54.93833)",,
1052882785,True,tertiary,False,29.134000000000004,,,"LINESTRING (58.8090631 54.9381314, 58.8091349 54.9381623, 58.809185 54.938205, 58.809208 54.9382549, 58.8092004 54.9383084, 58.8091615 54.9383572)",,roundabout
1052882785,True,tertiary,False,11.947,,,"LINESTRING (58.8091615 54.9383572, 58.809096 54.9383955, 58.8090116 54.9384187)",,roundabout
46945735,True,residential,False,105.863,,,"LINESTRING (58.8074695 54.9377517, 58.8089992 54.938118)",,
46945729,False,residential,False,352.57,улица Ленина,,"LINESTRING (58.8074695 54.9377517, 58.8066243 54.9372286, 58.8037417 54.9354135)",,
"[46946593, 46945730]",False,tertiary,False,307.272,"['улица Ракшина', 'улица Ленина']",60,"LINESTRING (58.8098437 54.93833, 58.8102953 54.9384413, 58.8106537 54.9385371, 58.8126382 54.9390676, 58.8127575 54.9391005, 58.8139471 54.9394282, 58.8142046 54.939496)",,
46945738,True,tertiary,False,44.076,,,"LINESTRING (58.8098437 54.93833, 58.8097336 54.9383178, 58.8095669 54.9383179, 58.8094234 54.9383299, 58.8091615 54.9383572)",,
"[46946593, 46945730]",False,tertiary,True,307.272,"['улица Ленина', 'улица Ракшина']",60,"LINESTRING (58.8142046 54.939496, 58.8139471 54.9394282, 58.8127575 54.9391005, 58.8126382 54.9390676, 58.8106537 54.9385371, 58.8102953 54.9384413, 58.8098437 54.93833)",,
"[46947092, 46947087]",False,residential,True,367.389,"['улица Леонова', 'Кооперативная улица']",,"LINESTRING (58.8142046 54.939496, 58.8143012 54.9393727, 58.8141295 54.9391539, 58.8138023 54.9386116, 58.8135877 54.938177, 58.8135368 54.9380863, 58.8133838 54.9378134, 58.8133087 54.9376716, 58.8131907 54.93757, 58.813121 54.937496, 58.8115868 54.9367317)",,
916689074,False,unclassified,True,141.969,,60,"LINESTRING (58.8041863 54.9388445, 58.8044904 54.9389508, 58.8047863 54.9390467, 58.8051063 54.9391452, 58.8056177 54.9393014, 58.8061275 54.9394658)",,
46947092,False,residential,False,423.508,улица Леонова,,"LINESTRING (58.8056188 54.9344543, 58.8060545 54.9346101, 58.8090548 54.9357949, 58.8095054 54.9359243, 58.8102671 54.9361585, 58.8111764 54.9365222)",,
46947095,False,residential,True,160.515,,,"LINESTRING (58.8056188 54.9344543, 58.8051387 54.9347162, 58.8037417 54.9354135)",,
46947092,False,residential,False,35.071,улица Леонова,,"LINESTRING (58.8111764 54.9365222, 58.8115868 54.9367317)",,
46947092,False,residential,True,423.5079999999999,улица Леонова,,"LINESTRING (58.8111764 54.9365222, 58.8102671 54.9361585, 58.8095054 54.9359243, 58.8090548 54.9357949, 58.8060545 54.9346101, 58.8056188 54.9344543)",,
46947094,False,residential,False,16.575,,,"LINESTRING (58.8111764 54.9365222, 58.8112488 54.936516, 58.8113373 54.9364991, 58.8114044 54.9364621)",,
46947092,False,residential,True,35.071,улица Леонова,,"LINESTRING (58.8115868 54.9367317, 58.8111764 54.9365222)",,
"[46947092, 46947087]",False,residential,False,367.389,"['Кооперативная улица', 'улица Леонова']",,"LINESTRING (58.8115868 54.9367317, 58.813121 54.937496, 58.8131907 54.93757, 58.8133087 54.9376716, 58.8133838 54.9378134, 58.8135368 54.9380863, 58.8135877 54.938177, 58.8138023 54.9386116, 58.8141295 54.9391539, 58.8143012 54.9393727, 58.8142046 54.939496)",,
46947093,False,residential,True,32.461,,,"LINESTRING (58.8115868 54.9367317, 58.8114821 54.9366269, 58.8114366 54.9365514, 58.8114044 54.9364621)",,
46947093,False,residential,False,32.461,,,"LINESTRING (58.8114044 54.9364621, 58.8114366 54.9365514, 58.8114821 54.9366269, 58.8115868 54.9367317)",,
46947094,False,residential,True,16.575000000000003,,,"LINESTRING (58.8114044 54.9364621, 58.8113373 54.9364991, 58.8112488 54.936516, 58.8111764 54.9365222)",,
46945729,False,residential,True,352.57,улица Ленина,,"LINESTRING (58.8037417 54.9354135, 58.8066243 54.9372286, 58.8074695 54.9377517)",,
46947095,False,residential,False,160.515,,,"LINESTRING (58.8037417 54.9354135, 58.8051387 54.9347162, 58.8056188 54.9344543)",,
43315537,False,tertiary,False,280.371,Октябрьская улица,60,"LINESTRING (58.8099668 54.9406817, 58.8090181 54.9404151, 58.8089974 54.9404107, 58.8074221 54.9399342, 58.8071011 54.939833, 58.8061275 54.9394658)",,
1052882785,True,tertiary,False,13.097000000000001,,,"LINESTRING (58.8088443 54.9384153, 58.8087507 54.9383803, 58.8086961 54.9383368)",,roundabout
"[916689075, 1058425134, 1058425135]",False,tertiary,"[False, True]",480.91600000000005,,,"LINESTRING (58.8088443 54.9384153, 58.808716 54.9385685, 58.8080048 54.9393666, 58.8079437 54.9394469, 58.8079126 54.939523, 58.8079179 54.9396012, 58.8079592 54.9396757, 58.8080334 54.9397413, 58.8081387 54.9397945, 58.8082653 54.9398291, 58.8084036 54.9398425, 58.808543 54.9398336, 58.8086728 54.9398032, 58.8087832 54.9397536, 58.8088658 54.9396885, 58.8089142 54.9396129, 58.8089248 54.9395326, 58.8088967 54.9394537, 58.8088322 54.9393822, 58.808736 54.9393235, 58.8086194 54.9392832, 58.8075247 54.9390006, 58.8072964 54.9389367, 58.8070964 54.9389068, 58.8069737 54.9389013, 58.8068616 54.9389029, 58.8067713 54.9389188, 58.8066977 54.9389399, 58.8066363 54.9389709, 58.8065688 54.9390187, 58.8061275 54.9394658)",yes,
1052882785,True,tertiary,False,10.81,,,"LINESTRING (58.8090116 54.9384187, 58.8089186 54.9384239, 58.8088443 54.9384153)",,roundabout
1214486405,False,residential,False,125.30000000000001,Комсомольская улица,,"LINESTRING (58.8090116 54.9384187, 58.8094722 54.9387018, 58.8106421 54.93901)",,
1052882785,True,tertiary,False,4.345,,,"LINESTRING (58.8089992 54.938118, 58.8090631 54.9381314)",,roundabout
46945734,True,residential,False,99.791,,,"LINESTRING (58.8086705 54.9382851, 58.8084308 54.9382614, 58.8082333 54.938205, 58.8081194 54.9381441, 58.8074695 54.9377517)",,
1052882785,True,tertiary,False,32.585,,,"LINESTRING (58.8086705 54.9382851, 58.8086772 54.9382315, 58.8087153 54.9381825, 58.8087802 54.9381438, 58.8088641 54.9381202, 58.8089314 54.9381142, 58.8089992 54.938118)",,roundabout
