osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,junction
52156587,True,улица Энгельса,residential,40,False,110.906,"LINESTRING (39.7330428 52.0544027, 39.7327598 52.0534206)",,
133628530,False,улица Достоевского,residential,,False,143.3,"LINESTRING (39.7366503 52.0518468, 39.7345727 52.0520157)",,
448927684,False,улица К.Маркса,secondary,,False,149.651,"LINESTRING (39.7366503 52.0518468, 39.7369077 52.0531833)",,
448927684,False,улица К.Маркса,secondary,,True,240.374,"LINESTRING (39.7366503 52.0518468, 39.7361873 52.0497039)",,
133628530,False,улица Достоевского,residential,,True,144.014,"LINESTRING (39.7366503 52.0518468, 39.7386041 52.0516693, 39.7387338 52.0516576)",,
120698293,False,улица Карла Маркса,tertiary,,False,73.188,"LINESTRING (39.7375349 52.0539666, 39.7378201 52.054601)",42К-725,
120698296,True,улица Карла Маркса,tertiary,,False,33.26,"LINESTRING (39.7375349 52.0539666, 39.7372191 52.0537391)",,
120698307,False,улица Ленина,secondary,,False,148.308,"LINESTRING (39.7387297 52.0522853, 39.7374635 52.0533682)",,
120698311,True,улица Ленина,secondary,,False,70.828,"LINESTRING (39.7387297 52.0522853, 39.7388161 52.0520556, 39.7387338 52.0516576)",,
133628530,False,улица Достоевского,residential,,False,22.802,"LINESTRING (39.7390607 52.0516171, 39.7387338 52.0516576)",,
133628530,False,улица Достоевского,residential,,True,148.44,"LINESTRING (39.7390607 52.0516171, 39.7412233 52.051501)",,
120698312,True,улица Ленина,secondary,,False,78.785,"LINESTRING (39.7390607 52.0516171, 39.7389138 52.0521008, 39.7387297 52.0522853)",,
448927684,False,улица К.Маркса,secondary,,True,149.651,"LINESTRING (39.7369077 52.0531833, 39.7366503 52.0518468)",,
120698297,True,улица К.Маркса,secondary,,False,40.085,"LINESTRING (39.7369077 52.0531833, 39.736992 52.0533251, 39.7371781 52.0535006)",,
120698307,False,улица Ленина,secondary,,True,148.308,"LINESTRING (39.7374635 52.0533682, 39.7387297 52.0522853)",,
120698309,True,улица Ленина,secondary,,False,23.994,"LINESTRING (39.7374635 52.0533682, 39.7374289 52.0534354, 39.7373963 52.0534904, 39.7373507 52.0535725)",,
120698292,True,,secondary,,False,14.974,"LINESTRING (39.7371781 52.0535006, 39.737232 52.0535065, 39.7372812 52.0535214, 39.7373218 52.0535439, 39.7373507 52.0535725)",,roundabout
120698306,True,улица Ленина,secondary,,False,24.773000000000003,"LINESTRING (39.7371781 52.0535006, 39.737251 52.0534482, 39.7373505 52.0534027, 39.7374635 52.0533682)",,
120698292,True,,secondary,,False,6.077,"LINESTRING (39.7373507 52.0535725, 39.7373641 52.0535986, 39.7373676 52.0536258)",,roundabout
120698292,True,,secondary,,False,20.836,"LINESTRING (39.7369738 52.0536148, 39.7369866 52.0535782, 39.737017 52.0535457, 39.7370621 52.0535205, 39.7371176 52.0535049, 39.7371781 52.0535006)",,roundabout
120698300,True,улица К.Маркса,secondary,,False,48.523,"LINESTRING (39.7369738 52.0536148, 39.7368907 52.053327, 39.7369077 52.0531833)",,
120698299,True,улица Карла Маркса,tertiary,,False,39.584,"LINESTRING (39.7373676 52.0536258, 39.7375349 52.0539666)",,
120698292,True,,secondary,,False,17.284,"LINESTRING (39.7373676 52.0536258, 39.7373553 52.0536639, 39.7373241 52.0536977, 39.7372771 52.0537237, 39.7372191 52.0537391)",,roundabout
252111571,False,улица Циолковского,residential,,False,196.814,"LINESTRING (39.7373676 52.0536258, 39.7377505 52.0536326, 39.7396708 52.0537652, 39.7402279 52.0537153)",,
120698292,True,,secondary,,False,6.641,"LINESTRING (39.7369921 52.053673, 39.7369771 52.0536446, 39.7369738 52.0536148)",,roundabout
120698308,True,улица Ленина,secondary,,False,33.442,"LINESTRING (39.737116 52.0537381, 39.7367755 52.053954)",,
120698292,True,,secondary,,False,11.455,"LINESTRING (39.737116 52.0537381, 39.7370651 52.0537241, 39.7370226 52.0537018, 39.7369921 52.053673)",,roundabout
120698292,True,,secondary,,False,7.115,"LINESTRING (39.7372191 52.0537391, 39.7371675 52.0537429, 39.737116 52.0537381)",,roundabout
120698305,True,улица Ленина,secondary,,False,34.578,"LINESTRING (39.7367755 52.053954, 39.7369921 52.053673)",,
133625827,False,улица Исполатова,residential,,False,138.422,"LINESTRING (39.74233 52.0472005, 39.7403178 52.0473354)",,
252111570,False,Свободная улица,residential,,True,234.803,"LINESTRING (39.74233 52.0472005, 39.7427947 52.0492927)",,
120698312,True,улица Ленина,secondary,,False,237.674,"LINESTRING (39.7386421 52.0494952, 39.7386636 52.0496043, 39.7390478 52.0515519, 39.7390607 52.0516171)",,
133625826,False,улица Басова,residential,,True,145.459,"LINESTRING (39.7386421 52.0494952, 39.7387798 52.0494868, 39.7407589 52.0493665)",,
133625827,False,улица Исполатова,residential,,False,26.076,"LINESTRING (39.7382208 52.0475164, 39.7378404 52.0475326)",,
120698312,True,улица Ленина,secondary,,False,221.918,"LINESTRING (39.7382208 52.0475164, 39.7382355 52.0475671, 39.7386421 52.0494952)",,
133625827,False,улица Исполатова,residential,,True,144.83599999999998,"LINESTRING (39.7382208 52.0475164, 39.7383558 52.0475107, 39.7403178 52.0473354)",,
133625827,False,улица Исполатова,residential,,True,138.422,"LINESTRING (39.7403178 52.0473354, 39.74233 52.0472005)",,
158779636,False,Советская улица,residential,,True,227.854,"LINESTRING (39.7403178 52.0473354, 39.7407589 52.0493665)",,
133625827,False,улица Исполатова,residential,,False,144.83599999999998,"LINESTRING (39.7403178 52.0473354, 39.7383558 52.0475107, 39.7382208 52.0475164)",,
133625826,False,улица Басова,residential,,False,139.456,"LINESTRING (39.7427947 52.0492927, 39.7407589 52.0493665)",,
133625826,False,улица Басова,residential,,True,172.049,"LINESTRING (39.7427947 52.0492927, 39.7452983 52.0491396)",,
252111570,False,Свободная улица,residential,,False,234.803,"LINESTRING (39.7427947 52.0492927, 39.74233 52.0472005)",,
252111570,False,Свободная улица,residential,,True,227.93,"LINESTRING (39.7427947 52.0492927, 39.7432668 52.0511869, 39.7431801 52.0513093)",,
448927684,False,улица К.Маркса,secondary,,False,240.374,"LINESTRING (39.7361873 52.0497039, 39.7366503 52.0518468)",,
623825465,False,улица Басова,residential,,False,142.565,"LINESTRING (39.7361873 52.0497039, 39.7341256 52.0498943)",,
448927684,False,улица К.Маркса,secondary,,True,227.559,"LINESTRING (39.7361873 52.0497039, 39.7361682 52.049601, 39.7358087 52.0476707)",,
623825465,False,улица Басова,residential,,True,145.33900000000003,"LINESTRING (39.7361873 52.0497039, 39.738144 52.0495346, 39.738292 52.049522)",,
133625826,False,улица Басова,residential,,True,139.456,"LINESTRING (39.7407589 52.0493665, 39.7427947 52.0492927)",,
158779636,False,Советская улица,residential,,False,227.854,"LINESTRING (39.7407589 52.0493665, 39.7403178 52.0473354)",,
158779636,False,Советская улица,residential,,True,239.461,"LINESTRING (39.7407589 52.0493665, 39.7412233 52.051501)",,
133625826,False,улица Басова,residential,,False,145.459,"LINESTRING (39.7407589 52.0493665, 39.7387798 52.0494868, 39.7386421 52.0494952)",,
133625827,False,улица Исполатова,residential,,False,147.382,"LINESTRING (39.7358087 52.0476707, 39.7338309 52.0478231, 39.7336702 52.0478352)",,
133625827,False,улица Исполатова,residential,,True,139.811,"LINESTRING (39.7358087 52.0476707, 39.7377082 52.0475356, 39.7378404 52.0475326)",,
448927684,False,улица К.Маркса,secondary,,False,227.559,"LINESTRING (39.7358087 52.0476707, 39.7361682 52.049601, 39.7361873 52.0497039)",,
133628530,False,улица Достоевского,residential,,False,135.493,"LINESTRING (39.7431801 52.0513093, 39.7412233 52.051501)",,
133628530,False,улица Достоевского,residential,,True,137.548,"LINESTRING (39.7431801 52.0513093, 39.7450752 52.0508946)",,
252111570,False,Свободная улица,residential,,True,164.119,"LINESTRING (39.7431801 52.0513093, 39.7437686 52.0527402)",,
252111570,False,Свободная улица,residential,,False,227.93,"LINESTRING (39.7431801 52.0513093, 39.7432668 52.0511869, 39.7427947 52.0492927)",,
133628533,True,улица Радищева,residential,,False,237.862,"LINESTRING (39.7341256 52.0498943, 39.7345727 52.0520157)",,
623825465,False,улица Басова,residential,,True,142.565,"LINESTRING (39.7341256 52.0498943, 39.7361873 52.0497039)",,
133628530,False,улица Достоевского,residential,,False,148.44,"LINESTRING (39.7412233 52.051501, 39.7390607 52.0516171)",,
133628530,False,улица Достоевского,residential,,True,135.493,"LINESTRING (39.7412233 52.051501, 39.7431801 52.0513093)",,
158779636,False,Советская улица,residential,,False,239.461,"LINESTRING (39.7412233 52.051501, 39.7407589 52.0493665)",,
158779636,False,Советская улица,residential,,True,176.335,"LINESTRING (39.7412233 52.051501, 39.7413717 52.0522989, 39.7415664 52.0530724)",,
