osmid,name,highway,oneway,reversed,length,bridge,geometry,lanes,junction
"[217796304, 217796305, 217796308]",улица Матросова,tertiary,False,False,139.03199999999998,yes,"LINESTRING (40.5894191 44.8893654, 40.5892843 44.8889034, 40.5892732 44.8888537, 40.589257 44.888801, 40.5891654 44.8881298)",,
271822488,улица Калинина,residential,True,False,115.004,,"LINESTRING (40.5889503 44.8838799, 40.5890432 44.8841255, 40.5895898 44.8845891, 40.5896233 44.8847634)",,
1155283843,улица Ленина,tertiary,False,False,50.117000000000004,,"LINESTRING (40.5889503 44.8838799, 40.5891822 44.8837033, 40.5893937 44.8835569)",,
1155283849,улица Ленина,tertiary,True,False,60.196,,"LINESTRING (40.5889503 44.8838799, 40.5889445 44.8840681, 40.5889519 44.8841867, 40.5891686 44.8843638)",,
132702660,улица Ленина,tertiary,False,True,15.682,,"LINESTRING (40.5926822 44.8818732, 40.5925177 44.8819526)",,
132702660,улица Ленина,tertiary,False,False,227.727,,"LINESTRING (40.5901629 44.8831398, 40.5902553 44.8830995, 40.5905867 44.8829342, 40.5913932 44.8825304, 40.5922021 44.8821158, 40.5924432 44.8819922, 40.5925177 44.8819526)",,
1155283851,улица Ленина,tertiary,False,True,76.339,,"LINESTRING (40.5901629 44.8831398, 40.590034 44.8832181, 40.5893937 44.8835569)",,
217796289,улица Калинина,tertiary,False,False,104.036,,"LINESTRING (40.5923304 44.8857731, 40.5911464 44.8853588)",2,
217796289,улица Калинина,tertiary,False,True,153.96,,"LINESTRING (40.5923304 44.8857731, 40.5930569 44.8859417, 40.5941867 44.8862059)",2,
50462281,переулок Шаповалова,residential,False,False,141.52700000000002,,"LINESTRING (40.5941867 44.8862059, 40.5942109 44.8861365, 40.5946183 44.8849704)",,
217796289,улица Калинина,tertiary,False,False,153.96,,"LINESTRING (40.5941867 44.8862059, 40.5930569 44.8859417, 40.5923304 44.8857731)",2,
217796289,улица Калинина,tertiary,False,True,104.036,,"LINESTRING (40.5911464 44.8853588, 40.5923304 44.8857731)",2,
