osmid,highway,oneway,reversed,length,bridge,lanes,access,geometry,name
323053798,tertiary,False,False,14.613,,,,"LINESTRING (91.416695 52.8511729, 91.4168061 52.8512859)",
"[110656973, 110656959]","['unclassified', 'residential']",False,False,80.16799999999999,yes,2,yes,"LINESTRING (91.416695 52.8511729, 91.416881 52.8510903, 91.4175404 52.8508655, 91.417725 52.8508106)",
323053798,tertiary,False,True,190.173,,,,"LINESTRING (91.4183635 52.8527105, 91.4180682 52.8523669, 91.4178216 52.8521354, 91.4172295 52.851625, 91.4168061 52.8512859)",
110656961,residential,False,True,261.637,,,,"LINESTRING (91.4134809 52.8523725, 91.4140014 52.8522144, 91.4148626 52.8520439, 91.4156261 52.8518454, 91.4160446 52.8517383, 91.4162955 52.8516581, 91.4165514 52.8515604, 91.4166536 52.8515101, 91.4166993 52.8514678, 91.4168061 52.8512859)",
323053798,tertiary,False,True,14.613,,,,"LINESTRING (91.4168061 52.8512859, 91.416695 52.8511729)",
110656961,residential,False,False,261.637,,,,"LINESTRING (91.4168061 52.8512859, 91.4166993 52.8514678, 91.4166536 52.8515101, 91.4165514 52.8515604, 91.4162955 52.8516581, 91.4160446 52.8517383, 91.4156261 52.8518454, 91.4148626 52.8520439, 91.4140014 52.8522144, 91.4134809 52.8523725)",
323053798,tertiary,False,False,190.173,,,,"LINESTRING (91.4168061 52.8512859, 91.4172295 52.851625, 91.4178216 52.8521354, 91.4180682 52.8523669, 91.4183635 52.8527105)",
"[110656973, 110656959]","['residential', 'unclassified']",False,True,80.168,yes,2,yes,"LINESTRING (91.417725 52.8508106, 91.4175404 52.8508655, 91.416881 52.8510903, 91.416695 52.8511729)",
264244110,residential,False,False,179.737,,,,"LINESTRING (91.417725 52.8508106, 91.4176933 52.8507082, 91.4176877 52.8506902, 91.417395 52.849469, 91.4173218 52.8492128)",Абаканская улица
110941271,residential,False,False,162.356,,,,"LINESTRING (91.4173218 52.8492128, 91.4174014 52.8491865, 91.4180129 52.8489841, 91.4180688 52.8489656, 91.4184039 52.8488547, 91.4188783 52.8486977, 91.4193475 52.8485424, 91.419442 52.8485111)",
264244110,residential,False,True,179.737,,,,"LINESTRING (91.4173218 52.8492128, 91.417395 52.849469, 91.4176877 52.8506902, 91.4176933 52.8507082, 91.417725 52.8508106)",Абаканская улица
110941271,residential,False,True,162.356,,,,"LINESTRING (91.419442 52.8485111, 91.4193475 52.8485424, 91.4188783 52.8486977, 91.4184039 52.8488547, 91.4180688 52.8489656, 91.4180129 52.8489841, 91.4174014 52.8491865, 91.4173218 52.8492128)",
