osmid,lanes,name,highway,oneway,reversed,length,geometry,access,width,maxspeed
94377634,4,улица Гоголя,secondary,False,True,437.96000000000004,"LINESTRING (65.3496418 55.4441569, 65.3494246 55.4440511, 65.348542 55.443621, 65.3479588 55.4433368, 65.3476126 55.4431681, 65.3472168 55.4429752, 65.3471344 55.4429351, 65.3465903 55.4426699, 65.3465435 55.4426471, 65.3456382 55.442206, 65.3453772 55.4420788, 65.3450488 55.4419187, 65.3445093 55.4416559, 65.3443748 55.4415903)",,,
94377506,,улица Коли Мяготина,primary,False,False,194.058,"LINESTRING (65.3411289 55.4437357, 65.3410152 55.4436843, 65.3399582 55.4431777, 65.3389245 55.4426769, 65.338781 55.4426079)",yes,20,
"[500565281, 137560219]",4,улица Ленина,secondary,False,True,155.636,"LINESTRING (65.3411289 55.4437357, 65.3413205 55.4436048, 65.341833 55.4432668, 65.3419699 55.4431765, 65.3426618 55.4427201, 65.3427339 55.4426726)",,,
86298139,,Станционная улица,secondary,False,True,8.766,"LINESTRING (65.3345782 55.4451892, 65.3347036 55.4452232)",,,60
44949815,,Комсомольская улица,tertiary,False,False,155.119,"LINESTRING (65.3466187 55.4372538, 65.3449861 55.438297)",,,
1229209829,,улица Максима Горького,tertiary,False,False,213.671,"LINESTRING (65.3466187 55.4372538, 65.3474214 55.437628, 65.3484804 55.4381216, 65.3488527 55.4382951, 65.3492322 55.4384762)",,,
"[137564397, 1033883975]",4,улица Ленина,secondary,False,False,157.345,"LINESTRING (65.3492322 55.4384762, 65.3491136 55.438553, 65.3483361 55.4390564, 65.347804 55.4393893, 65.3475673 55.4395297)",,,
1229209829,,улица Максима Горького,tertiary,False,True,213.671,"LINESTRING (65.3492322 55.4384762, 65.3488527 55.4382951, 65.3484804 55.4381216, 65.3474214 55.437628, 65.3466187 55.4372538)",,,
"[95523242, 1123248813]",4,улица Карла Маркса,secondary,False,False,204.955,"LINESTRING (65.3425006 55.4371099, 65.3428918 55.4372967, 65.3449861 55.438297)",,,
44949815,,Комсомольская улица,tertiary,False,True,155.119,"LINESTRING (65.3449861 55.438297, 65.3466187 55.4372538)",,,
1123248813,4,улица Карла Маркса,secondary,False,False,212.83399999999997,"LINESTRING (65.3449861 55.438297, 65.3454832 55.4385344, 65.3461408 55.4388484, 65.3467759 55.4391518, 65.3474045 55.4394519, 65.3475673 55.4395297)",,,
"[95523242, 1123248813]",4,улица Карла Маркса,secondary,False,True,204.955,"LINESTRING (65.3449861 55.438297, 65.3428918 55.4372967, 65.3425006 55.4371099)",,,
94377506,,улица Коли Мяготина,primary,False,True,211.151,"LINESTRING (65.3362334 55.4413761, 65.3363554 55.4414394, 65.3372828 55.4418883, 65.3386537 55.4425467, 65.338781 55.4426079)",yes,20,
86298139,,Станционная улица,secondary,False,False,8.766,"LINESTRING (65.3347036 55.4452232, 65.3345782 55.4451892)",,,60
45532542,,Комсомольская улица,unclassified,False,True,180.079,"LINESTRING (65.3347036 55.4452232, 65.3353084 55.444572, 65.335868 55.444137, 65.3362264 55.4438583)",,,
