osmid,highway,oneway,reversed,length,ref,name,maxspeed,geometry
75033704,tertiary,False,False,36.4,,,,"LINESTRING (41.1634075 57.4443915, 41.1630603 57.4441227)"
180782228,trunk,False,False,34.406,Р-132,«Золотое кольцо»,RU:urban,"LINESTRING (41.1634075 57.4443915, 41.1628382 57.444435)"
610926510,trunk,False,True,38.013000000000005,Р-132,«Золотое кольцо»,RU:rural,"LINESTRING (41.1634075 57.4443915, 41.1637262 57.4443846, 41.1640424 57.4443798)"
181341605,tertiary,False,True,44.013,,улица им. 50-летия Ленинского Комсомола,,"LINESTRING (41.1568506 57.4395092, 41.1574343 57.4392684)"
97519320,unclassified,False,True,318.11,,улица Зеленова,,"LINESTRING (41.1568506 57.4395092, 41.1567683 57.4394511, 41.1564241 57.4392081, 41.1562332 57.4390734, 41.1555774 57.4386105, 41.1554991 57.4385552, 41.1554529 57.4385226, 41.1554346 57.4385097, 41.1552978 57.4384132, 41.1550992 57.438273, 41.1544327 57.4378026, 41.1540219 57.4375126, 41.1537338 57.4373122, 41.1536276 57.4372343)"
109868585,tertiary,False,False,258.767,,улица им. 50-летия Ленинского Комсомола,40,"LINESTRING (41.1568506 57.4395092, 41.1566491 57.439592, 41.1559269 57.4398956, 41.1553679 57.440129, 41.1551314 57.4402273, 41.1539945 57.4406938, 41.1539137 57.4407269, 41.1536544 57.4408333, 41.1534233 57.4409281)"
97519320,unclassified,False,False,318.11,,улица Зеленова,,"LINESTRING (41.1536276 57.4372343, 41.1537338 57.4373122, 41.1540219 57.4375126, 41.1544327 57.4378026, 41.1550992 57.438273, 41.1552978 57.4384132, 41.1554346 57.4385097, 41.1554529 57.4385226, 41.1554991 57.4385552, 41.1555774 57.4386105, 41.1562332 57.4390734, 41.1564241 57.4392081, 41.1567683 57.4394511, 41.1568506 57.4395092)"
97519331,residential,False,False,259.849,,Парковая улица,,"LINESTRING (41.1536276 57.4372343, 41.151072 57.4383156, 41.1502141 57.4386785)"
"[75033704, 446410284]",tertiary,False,False,233.782,,,,"LINESTRING (41.1600153 57.4415479, 41.1598012 57.4410808, 41.1597161 57.440983, 41.1588095 57.4403344, 41.1587418 57.440289, 41.1583128 57.4400013, 41.1582746 57.4399736, 41.1580091 57.4397806)"
75033704,tertiary,False,True,341.418,,,,"LINESTRING (41.1600153 57.4415479, 41.1600958 57.4417617, 41.1602777 57.4419682, 41.1614964 57.4429118, 41.1621509 57.4434185, 41.1626466 57.4438023, 41.1630603 57.4441227)"
172199701,residential,False,False,341.551,,Набережная улица,,"LINESTRING (41.1600153 57.4415479, 41.1596402 57.4416903, 41.1591139 57.44191, 41.1565791 57.4429531, 41.1554735 57.443408)"
172323847,tertiary,True,False,75.613,,,,"LINESTRING (41.1580091 57.4397806, 41.157005 57.4395454, 41.1568506 57.4395092)"
"[75033704, 446410284]",tertiary,False,True,233.782,,,,"LINESTRING (41.1580091 57.4397806, 41.1582746 57.4399736, 41.1583128 57.4400013, 41.1587418 57.440289, 41.1588095 57.4403344, 41.1597161 57.440983, 41.1598012 57.4410808, 41.1600153 57.4415479)"
172199701,residential,False,True,341.551,,Набережная улица,,"LINESTRING (41.1554735 57.443408, 41.1565791 57.4429531, 41.1591139 57.44191, 41.1596402 57.4416903, 41.1600153 57.4415479)"
172839214,residential,False,False,294.16700000000003,,,,"LINESTRING (41.1554735 57.443408, 41.1546415 57.4428103, 41.1540142 57.4423701, 41.1535658 57.4420554, 41.1533549 57.4419074, 41.153188 57.4417903, 41.1531044 57.4417316, 41.1526886 57.4414398, 41.1526063 57.4413811, 41.1524965 57.4413028)"
172323784,residential,False,False,102.77300000000001,,,,"LINESTRING (41.1597364 57.4356362, 41.1602379 57.4359851, 41.1603514 57.436064, 41.1606532 57.436274, 41.1607872 57.4363672)"
"[172323794, 172323891]",residential,False,False,141.27700000000002,,,,"LINESTRING (41.1597364 57.4356362, 41.16023 57.4354283, 41.1604751 57.4356013, 41.1611499 57.4360775, 41.1612814 57.4361703)"
97519331,residential,False,True,259.849,,Парковая улица,,"LINESTRING (41.1502141 57.4386785, 41.151072 57.4383156, 41.1536276 57.4372343)"
172839227,residential,False,True,315.373,,Пионерская улица,,"LINESTRING (41.1502141 57.4386785, 41.1504007 57.4388093, 41.1513934 57.4395052, 41.1519788 57.4399156, 41.1520192 57.4399439, 41.1522341 57.4400911, 41.1523806 57.4401972, 41.152691 57.4404189, 41.1528642 57.4405362, 41.1533645 57.4408868, 41.1534233 57.4409281)"
109868585,tertiary,False,False,69.368,,улица им. 50-летия Ленинского Комсомола,40,"LINESTRING (41.1534233 57.4409281, 41.1533202 57.4409703, 41.1531321 57.4410474, 41.1524965 57.4413028)"
109868585,tertiary,False,True,258.76700000000005,,улица им. 50-летия Ленинского Комсомола,40,"LINESTRING (41.1534233 57.4409281, 41.1536544 57.4408333, 41.1539137 57.4407269, 41.1539945 57.4406938, 41.1551314 57.4402273, 41.1553679 57.440129, 41.1559269 57.4398956, 41.1566491 57.439592, 41.1568506 57.4395092)"
172839227,residential,False,False,315.373,,Пионерская улица,,"LINESTRING (41.1534233 57.4409281, 41.1533645 57.4408868, 41.1528642 57.4405362, 41.152691 57.4404189, 41.1523806 57.4401972, 41.1522341 57.4400911, 41.1520192 57.4399439, 41.1519788 57.4399156, 41.1513934 57.4395052, 41.1504007 57.4388093, 41.1502141 57.4386785)"
181341605,tertiary,False,False,44.013,,улица им. 50-летия Ленинского Комсомола,,"LINESTRING (41.1574343 57.4392684, 41.1568506 57.4395092)"
173676940,tertiary,True,False,67.527,,,,"LINESTRING (41.1574343 57.4392684, 41.1575298 57.4393378, 41.1579538 57.4396484, 41.1580091 57.4397806)"
180782068,tertiary,False,True,253.71900000000002,,улица им. 50-летия Ленинского Комсомола,40,"LINESTRING (41.1574343 57.4392684, 41.1576486 57.4391799, 41.1580178 57.4390276, 41.1589561 57.4386404, 41.1593578 57.4384746, 41.1595031 57.4384146, 41.1599704 57.4382218, 41.1603151 57.4380795, 41.1607987 57.43788)"
172323894,residential,False,False,36.799,,Советская улица,,"LINESTRING (41.1612814 57.4361703, 41.1607872 57.4363672)"
172323794,residential,False,False,133.288,,,,"LINESTRING (41.1612814 57.4361703, 41.1615108 57.4363338, 41.1615263 57.4363449, 41.1618391 57.4365679, 41.1620234 57.4366993, 41.1620784 57.4367385, 41.1625462 57.4370721, 41.1626232 57.437127)"
"[172323794, 172323891]",residential,False,True,141.277,,,,"LINESTRING (41.1612814 57.4361703, 41.1611499 57.4360775, 41.1604751 57.4356013, 41.16023 57.4354283, 41.1597364 57.4356362)"
180782068,tertiary,False,False,35.196,,улица им. 50-летия Ленинского Комсомола,40,"LINESTRING (41.1626232 57.437127, 41.1621565 57.4373196)"
172323794,residential,False,True,133.28799999999998,,,,"LINESTRING (41.1626232 57.437127, 41.1625462 57.4370721, 41.1620784 57.4367385, 41.1620234 57.4366993, 41.1618391 57.4365679, 41.1615263 57.4363449, 41.1615108 57.4363338, 41.1612814 57.4361703)"
180782068,tertiary,False,True,35.196,,улица им. 50-летия Ленинского Комсомола,40,"LINESTRING (41.1621565 57.4373196, 41.1626232 57.437127)"
172323784,residential,False,True,133.909,,,,"LINESTRING (41.1621565 57.4373196, 41.1620799 57.4372676, 41.1619918 57.4372078, 41.1616259 57.4369519, 41.1607872 57.4363672)"
180782068,tertiary,False,False,102.40299999999999,,улица им. 50-летия Ленинского Комсомола,40,"LINESTRING (41.1621565 57.4373196, 41.1620396 57.4373679, 41.1617209 57.4374994, 41.1615769 57.4375588, 41.1613879 57.4376368, 41.1607987 57.43788)"
172323894,residential,False,True,36.799,,Советская улица,,"LINESTRING (41.1607872 57.4363672, 41.1612814 57.4361703)"
172323784,residential,False,False,133.90900000000002,,,,"LINESTRING (41.1607872 57.4363672, 41.1616259 57.4369519, 41.1619918 57.4372078, 41.1620799 57.4372676, 41.1621565 57.4373196)"
172323784,residential,False,True,102.773,,,,"LINESTRING (41.1607872 57.4363672, 41.1606532 57.436274, 41.1603514 57.436064, 41.1602379 57.4359851, 41.1597364 57.4356362)"
109868585,tertiary,False,True,69.36800000000001,,улица им. 50-летия Ленинского Комсомола,40,"LINESTRING (41.1524965 57.4413028, 41.1531321 57.4410474, 41.1533202 57.4409703, 41.1534233 57.4409281)"
172839214,residential,False,True,294.16700000000003,,,,"LINESTRING (41.1524965 57.4413028, 41.1526063 57.4413811, 41.1526886 57.4414398, 41.1531044 57.4417316, 41.153188 57.4417903, 41.1533549 57.4419074, 41.1535658 57.4420554, 41.1540142 57.4423701, 41.1546415 57.4428103, 41.1554735 57.443408)"
180782228,trunk,False,True,34.406,Р-132,«Золотое кольцо»,RU:urban,"LINESTRING (41.1628382 57.444435, 41.1634075 57.4443915)"
1167691321,tertiary,True,False,40.471,,,,"LINESTRING (41.1628382 57.444435, 41.1629828 57.4443777, 41.1630518 57.4443205, 41.1630748 57.444251, 41.1630603 57.4441227)"
180782068,tertiary,False,False,253.719,,улица им. 50-летия Ленинского Комсомола,40,"LINESTRING (41.1607987 57.43788, 41.1603151 57.4380795, 41.1599704 57.4382218, 41.1595031 57.4384146, 41.1593578 57.4384746, 41.1589561 57.4386404, 41.1580178 57.4390276, 41.1576486 57.4391799, 41.1574343 57.4392684)"
180782068,tertiary,False,True,102.40299999999999,,улица им. 50-летия Ленинского Комсомола,40,"LINESTRING (41.1607987 57.43788, 41.1613879 57.4376368, 41.1615769 57.4375588, 41.1617209 57.4374994, 41.1620396 57.4373679, 41.1621565 57.4373196)"
75033704,tertiary,False,True,36.4,,,,"LINESTRING (41.1630603 57.4441227, 41.1634075 57.4443915)"
